,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.1417578033596448,0.23888480516850802,0.3314523151133707,0.48223960389864434,0.6939018806358715,0.7330165014073655,0.785528834399681,0.8239053420045159,0.8211386024671241,0.8204456838084283,0.8138648280103513,0.8153285356230857,0.8259907586715145,0.8253177753683976,0.8324303304826891,0.8377264713125576,0.847768981824343,0.8552012834194544,0.868467986058935,0.8731175213014855,0.8799608487095821,0.883201997986492,0.8868085634356927,0.8942624363105479,0.8962208509725884,0.9004012874398536,0.9085456760970908,0.9159997844340907,0.9182888701570318,0.9410893615155216,0.966280228604031
Layer_1,0.1417578033596448,0.0,0.10979380322518063,0.24967140984476638,0.41793605082353347,0.6437382290199289,0.6912014771933247,0.742887976812008,0.7915824929116496,0.7860386976690004,0.7829315961505623,0.7755183539460859,0.7778426396441597,0.7915612966139526,0.7927505095091928,0.8003344510809307,0.8093376592546091,0.8211068112424511,0.8301319253556949,0.8473278135976569,0.8544876347437049,0.8617271794819324,0.8662492224945093,0.8726338862237825,0.8805874828844165,0.8849071995290355,0.888523016549055,0.8966557902515081,0.9080835180959674,0.9093375050574907,0.9423531480865778,0.962116856243916
Layer_2,0.23888480516850802,0.10979380322518063,0.0,0.1624909098962601,0.3537433069812578,0.6220834176136176,0.6725988955062301,0.7277533829602719,0.7791558090752992,0.7714789456197417,0.7727910772539571,0.7640777800802712,0.7665905918038155,0.7797327924956072,0.7813003048068866,0.789182436676127,0.7961775497468547,0.8112543751893719,0.8196369768848778,0.8368112290435205,0.8448560830696893,0.8520791854260887,0.8557831147940407,0.8614566894545602,0.8701579341638976,0.8746833881572267,0.8777630863609028,0.8867565994192889,0.8966270301073033,0.8969777538261874,0.9277499634299632,0.9487500036719585
Layer_3,0.3314523151133707,0.24967140984476638,0.1624909098962601,0.0,0.26360232941348666,0.5597299986399167,0.6203718789770015,0.693379777704078,0.749492710933736,0.7483419081185511,0.7528254945657958,0.7495973941173639,0.7530909380299649,0.7662050822638372,0.7705330381522307,0.7752271650098173,0.7810547148273383,0.7968592958358542,0.8040384790943257,0.8219847165591203,0.8288791176972089,0.8367907872132158,0.8396065285784802,0.8462835072519153,0.8558946694876697,0.8597635974486669,0.8626909693375071,0.8735110631287342,0.8822570862179893,0.8827256574360295,0.9168195795636993,0.927508709633404
Layer_4,0.48223960389864434,0.41793605082353347,0.3537433069812578,0.26360232941348666,0.0,0.4937478954874034,0.5461253026144901,0.6163884368614522,0.6690610145370458,0.6821670026368142,0.6987602720487127,0.6985726629999405,0.7051051186548697,0.7210937868391852,0.7275268232524639,0.7352907950276727,0.742159693395867,0.7608684709846338,0.7717046294663403,0.7906524066330467,0.8013905031601979,0.8102094976873695,0.8159962502246407,0.8228775868520299,0.8314528964905344,0.8349741037437703,0.8388162098159856,0.8513016486807401,0.8612135104365177,0.8629533239837849,0.8898228324467681,0.9156237495033396
Layer_5,0.6939018806358715,0.6437382290199289,0.6220834176136176,0.5597299986399167,0.4937478954874034,0.0,0.13174568523060193,0.2471844764833661,0.32856854305806266,0.3676845540676226,0.4070679937152956,0.42177335533521687,0.44388215718554436,0.47208277704186563,0.4969871908694774,0.5089466559115635,0.5257817012281519,0.5440311400154201,0.555712221612899,0.5959916048417025,0.6098354471501125,0.6317916634774032,0.639535612827144,0.651549276821834,0.6766384007694485,0.6907559860006499,0.7003095849042638,0.7224552582683962,0.779637703499669,0.8076788640774049,0.8925033445720981,0.9147025886602718
Layer_6,0.7330165014073655,0.6912014771933247,0.6725988955062301,0.6203718789770015,0.5461253026144901,0.13174568523060193,0.0,0.13849469748410312,0.23384276918462804,0.28307096866385845,0.3414319405342886,0.3603016909617659,0.38603619246283677,0.41736988480417186,0.447032766348021,0.46095838300719016,0.4782712422463857,0.502727252406043,0.5134961086887497,0.5558316699556403,0.5685602094822493,0.593680614896918,0.6014484897634224,0.6128186957451479,0.6422222517827414,0.6581488105237338,0.6659643137362236,0.6925699849117983,0.7492735974740826,0.7805121116443895,0.8695051096666553,0.8981288310009178
Layer_7,0.785528834399681,0.742887976812008,0.7277533829602719,0.693379777704078,0.6163884368614522,0.2471844764833661,0.13849469748410312,0.0,0.11255487094249617,0.1824267135107742,0.26801018193547205,0.297435301869351,0.33063552139920355,0.36649580506102947,0.4031242750688814,0.4188412323679522,0.4354393514426979,0.47180171800284576,0.48178815351071463,0.5291651094379628,0.5428198776852391,0.571932519853945,0.5785319565701543,0.5927636757383182,0.6258255545840119,0.6445307468874937,0.6536569726652635,0.680588423241659,0.7360024604882304,0.7687914921527608,0.851343595681378,0.8833294663026038
Layer_8,0.8239053420045159,0.7915824929116496,0.7791558090752992,0.749492710933736,0.6690610145370458,0.32856854305806266,0.23384276918462804,0.11255487094249617,0.0,0.08278730841175051,0.1896032129614984,0.22700519653542134,0.26225998067738676,0.2995045353017021,0.34039093328244757,0.35833417844518495,0.37623774836924506,0.41885519371864544,0.4267065831621,0.47776242487748855,0.49360030711331787,0.526322991022021,0.5343432792818614,0.5498786482236895,0.5840601264747023,0.6064389309709332,0.6158235216121221,0.6450179924640765,0.7008970765355764,0.735925849212866,0.8198458882724526,0.8604751126650022
Layer_9,0.8211386024671241,0.7860386976690004,0.7714789456197417,0.7483419081185511,0.6821670026368142,0.3676845540676226,0.28307096866385845,0.1824267135107742,0.08278730841175051,0.0,0.11971479756826264,0.15295003770707963,0.1872339525933543,0.2201510454473878,0.25875609776311775,0.28028027768217084,0.2999207134817,0.3456378442942364,0.3562414260988446,0.4045939262678738,0.4215856660935451,0.4528914568221149,0.46250297403745627,0.4800377009737013,0.5119380685367318,0.5355681918079398,0.548286245090858,0.5807356924233527,0.6397554293750838,0.6778455327564726,0.7652246589474166,0.834899330766449
Layer_10,0.8204456838084283,0.7829315961505623,0.7727910772539571,0.7528254945657958,0.6987602720487127,0.4070679937152956,0.3414319405342886,0.26801018193547205,0.1896032129614984,0.11971479756826264,0.0,0.03038868813315539,0.06501395647687858,0.10612140626423092,0.14699882635027536,0.17610310517208777,0.20317607171021945,0.23195053250158937,0.25323918513056687,0.3043999384896468,0.32344594668600035,0.3559559821399092,0.3696532576519578,0.39292968691225233,0.4257434448387465,0.4514158130375505,0.46728558339221277,0.502077950892343,0.583094900329029,0.6210486929402987,0.7424513424619312,0.8285777053317508
Layer_11,0.8138648280103513,0.7755183539460859,0.7640777800802712,0.7495973941173639,0.6985726629999405,0.42177335533521687,0.3603016909617659,0.297435301869351,0.22700519653542134,0.15295003770707963,0.03038868813315539,0.0,0.030102531701009065,0.06691209006563353,0.10258410911302308,0.1366205122703221,0.16455053907256942,0.1952039577939489,0.22116119928969213,0.26584369163841226,0.2879606850512393,0.3180638274923882,0.3342516211385516,0.3594410662080888,0.3888091781801322,0.41333419265169086,0.4311025219799357,0.467088425554866,0.5506760793128627,0.5904755408797081,0.710518358331738,0.8140442593482359
Layer_12,0.8153285356230857,0.7778426396441597,0.7665905918038155,0.7530909380299649,0.7051051186548697,0.44388215718554436,0.38603619246283677,0.33063552139920355,0.26225998067738676,0.1872339525933543,0.06501395647687858,0.030102531701009065,0.0,0.033620855341574676,0.06657794701281773,0.10142460301896766,0.13062116872278223,0.16230911856103783,0.190289530912254,0.22981934563045517,0.25351942932869354,0.28218749055698406,0.3004754384358724,0.3276483728493168,0.3523962473303055,0.3760716836536448,0.3953240021245583,0.43102401519387984,0.5166304252071521,0.5578499181069476,0.6751966589938218,0.7990032864900811
Layer_13,0.8259907586715145,0.7915612966139526,0.7797327924956072,0.7662050822638372,0.7210937868391852,0.47208277704186563,0.41736988480417186,0.36649580506102947,0.2995045353017021,0.2201510454473878,0.10612140626423092,0.06691209006563353,0.033620855341574676,0.0,0.02995269758402569,0.0637220414225729,0.0898650083553586,0.12870621612870625,0.1545652867242218,0.18926020829429596,0.21380180115586514,0.24127360887941426,0.2606229847518271,0.29060254460177787,0.31162726532524476,0.335184332389113,0.3556495295207487,0.39283002164889125,0.4773821001361375,0.5198060496238096,0.6280224033548244,0.7758244890765418
Layer_14,0.8253177753683976,0.7927505095091928,0.7813003048068866,0.7705330381522307,0.7275268232524639,0.4969871908694774,0.447032766348021,0.4031242750688814,0.34039093328244757,0.25875609776311775,0.14699882635027536,0.10258410911302308,0.06657794701281773,0.02995269758402569,0.0,0.03614170721180609,0.06209481079787333,0.100177543071525,0.12850601901586284,0.15194929217237804,0.1777655335355254,0.1997595255634611,0.22172221470621156,0.25464935916842835,0.2692210200768236,0.29087406201600835,0.3150802346451374,0.3514817839367872,0.4395119613257712,0.4838997737293259,0.5921862548633641,0.7710634123634648
Layer_15,0.8324303304826891,0.8003344510809307,0.789182436676127,0.7752271650098173,0.7352907950276727,0.5089466559115635,0.46095838300719016,0.4188412323679522,0.35833417844518495,0.28028027768217084,0.17610310517208777,0.1366205122703221,0.10142460301896766,0.0637220414225729,0.03614170721180609,0.0,0.029042802317820055,0.0698425175223948,0.09422133512715646,0.12320572806615306,0.1506313748968907,0.1747895701316221,0.19752782036494662,0.23160004542559312,0.24838934849755476,0.2715719527245349,0.29605395851517974,0.3335769666110171,0.421427401190015,0.4660759142536691,0.5737070220352488,0.7572847534944346
Layer_16,0.8377264713125576,0.8093376592546091,0.7961775497468547,0.7810547148273383,0.742159693395867,0.5257817012281519,0.4782712422463857,0.4354393514426979,0.37623774836924506,0.2999207134817,0.20317607171021945,0.16455053907256942,0.13062116872278223,0.0898650083553586,0.06209481079787333,0.029042802317820055,0.0,0.05319520696863398,0.07363581559777162,0.10929018390852345,0.13641845023016966,0.1618763701921599,0.18291513593737754,0.21411610323322494,0.23518313075752165,0.25879284400221364,0.2827351088410611,0.3222368386414674,0.40798290800013376,0.4539908088200606,0.5590538437692578,0.7462344810330018
Layer_17,0.847768981824343,0.8211068112424511,0.8112543751893719,0.7968592958358542,0.7608684709846338,0.5440311400154201,0.502727252406043,0.47180171800284576,0.41885519371864544,0.3456378442942364,0.23195053250158937,0.1952039577939489,0.16230911856103783,0.12870621612870625,0.100177543071525,0.0698425175223948,0.05319520696863398,0.0,0.030857783082466846,0.06333972263492393,0.08994715800546994,0.11525147982448168,0.13697866120365776,0.17163478488515968,0.19104925078705234,0.2153179236458131,0.24140889799858486,0.280388394845108,0.36893743520677336,0.4134721804797698,0.5448784109366711,0.7412946344910831
Layer_18,0.8552012834194544,0.8301319253556949,0.8196369768848778,0.8040384790943257,0.7717046294663403,0.555712221612899,0.5134961086887497,0.48178815351071463,0.4267065831621,0.3562414260988446,0.25323918513056687,0.22116119928969213,0.190289530912254,0.1545652867242218,0.12850601901586284,0.09422133512715646,0.07363581559777162,0.030857783082466846,0.0,0.04523507036409058,0.07055849300653207,0.09979156091699436,0.1176432101185648,0.14884803580222414,0.1753790282890701,0.20234833273313554,0.22866318530474014,0.27075337914537934,0.356235028582455,0.4016373394260047,0.5332819713275029,0.7306478241737703
Layer_19,0.868467986058935,0.8473278135976569,0.8368112290435205,0.8219847165591203,0.7906524066330467,0.5959916048417025,0.5558316699556403,0.5291651094379628,0.47776242487748855,0.4045939262678738,0.3043999384896468,0.26584369163841226,0.22981934563045517,0.18926020829429596,0.15194929217237804,0.12320572806615306,0.10929018390852345,0.06333972263492393,0.04523507036409058,0.0,0.029174652820137266,0.05022624088641955,0.07225563660886422,0.10669818786594537,0.11977098243925827,0.1431951094220448,0.17055848902312581,0.20445224318125518,0.2913738223590585,0.33857277365222904,0.4624174801567165,0.7050479502340109
Layer_20,0.8731175213014855,0.8544876347437049,0.8448560830696893,0.8288791176972089,0.8013905031601979,0.6098354471501125,0.5685602094822493,0.5428198776852391,0.49360030711331787,0.4215856660935451,0.32344594668600035,0.2879606850512393,0.25351942932869354,0.21380180115586514,0.1777655335355254,0.1506313748968907,0.13641845023016966,0.08994715800546994,0.07055849300653207,0.029174652820137266,0.0,0.027682552857051415,0.047883323720983556,0.0815321607827945,0.10112912653900384,0.1260099550137063,0.15138056056602972,0.1880676679001979,0.2707945137703448,0.31955321844633633,0.44596889500340703,0.6828814016122685
Layer_21,0.8799608487095821,0.8617271794819324,0.8520791854260887,0.8367907872132158,0.8102094976873695,0.6317916634774032,0.593680614896918,0.571932519853945,0.526322991022021,0.4528914568221149,0.3559559821399092,0.3180638274923882,0.28218749055698406,0.24127360887941426,0.1997595255634611,0.1747895701316221,0.1618763701921599,0.11525147982448168,0.09979156091699436,0.05022624088641955,0.027682552857051415,0.0,0.023610777194923695,0.06052750505256809,0.0734330221925184,0.09719909711708112,0.12413827592871601,0.15791786913008693,0.24075260096939738,0.2902052659269828,0.41083939118428275,0.6719942853208647
Layer_22,0.883201997986492,0.8662492224945093,0.8557831147940407,0.8396065285784802,0.8159962502246407,0.639535612827144,0.6014484897634224,0.5785319565701543,0.5343432792818614,0.46250297403745627,0.3696532576519578,0.3342516211385516,0.3004754384358724,0.2606229847518271,0.22172221470621156,0.19752782036494662,0.18291513593737754,0.13697866120365776,0.1176432101185648,0.07225563660886422,0.047883323720983556,0.023610777194923695,0.0,0.036343328734092496,0.057047027286010916,0.08353415134009722,0.10953747791701121,0.14463371697456304,0.2233224841144415,0.2728480510688238,0.39607598262180765,0.6581363912540611
