Layer,Spectral_Norm
0,226818.30773300596
1,228273.27143579058
2,228325.6445965767
3,228339.21526787017
4,228371.82471879324
5,228348.94128878912
6,228331.79972320131
7,228421.64112790427
8,228345.59018198648
9,228398.60004440942
10,228326.37230798934
11,228389.68447960747
12,228374.52071348825
13,228361.03423155678
14,228357.06926533912
15,228324.09991939864
16,228353.127489037
17,228332.76394634775
18,228359.4632454978
19,228345.25430578657
20,228325.91480570368
21,228365.89287469123
22,228327.90792306265
23,228350.1288172139
