Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,0.04789876565337181,0.05264534056186676,0.05443553999066353,0.05543559044599533,0.04485885426402092,1.012247920036316,1.0147290229797363,1.0153629779815674,1.0164071321487427,1.0185754299163818,1.017133355140686,1.0168776512145996,1.0647855997085571,1.0674999952316284,1.085269808769226,1.108371376991272,1.0051817893981934,1.0127789974212646,1.041712760925293,1.0685687065124512,0.9180487990379333,1.2573456764221191,13.565077781677246
1,0.04789876565337181,0.0,0.00015131405962165445,0.0003231081645935774,0.0004572223697323352,0.0004228079051245004,1.069717526435852,1.072839617729187,1.0718892812728882,1.0712168216705322,1.0726913213729858,1.0689290761947632,1.0628749132156372,1.1063809394836426,1.1053521633148193,1.1117345094680786,1.121303915977478,1.0053335428237915,1.0046263933181763,1.0225515365600586,1.0378814935684204,0.8480184078216553,1.166952133178711,13.914974212646484
2,0.05264534056186676,0.00015131405962165445,0.0,5.6751840020297095e-05,0.00013292187941260636,0.0005868947482667863,1.0759321451187134,1.0790690183639526,1.0780037641525269,1.0772150754928589,1.0786161422729492,1.0747017860412598,1.0682978630065918,1.1114675998687744,1.1101146936416626,1.1157407760620117,1.1243847608566284,1.0072911977767944,1.0058385133743286,1.0229377746582031,1.0374784469604492,0.8449975252151489,1.1627171039581299,13.932442665100098
3,0.05443553999066353,0.0003231081645935774,5.6751840020297095e-05,0.0,4.804786658496596e-05,0.0006619513151235878,1.0783566236495972,1.0814942121505737,1.0803415775299072,1.079480767250061,1.0808204412460327,1.0768194198608398,1.0702260732650757,1.113179326057434,1.1115756034851074,1.116733193397522,1.124765396118164,1.0068540573120117,1.004809856414795,1.0212918519973755,1.0351996421813965,0.8410410284996033,1.1575688123703003,13.9374418258667
4,0.05543559044599533,0.0004572223697323352,0.00013292187941260636,4.804786658496596e-05,0.0,0.0006827135221101344,1.0790197849273682,1.0821483135223389,1.0809377431869507,1.0800405740737915,1.0813502073287964,1.0773050785064697,1.070605993270874,1.1134270429611206,1.1116857528686523,1.1165852546691895,1.1243021488189697,1.0060354471206665,1.0036863088607788,1.0198124647140503,1.033388376235962,0.8384485840797424,1.1542866230010986,13.940858840942383
5,0.04485885426402092,0.0004228079051245004,0.0005868947482667863,0.0006619513151235878,0.0006827135221101344,0.0,1.0590119361877441,1.0620546340942383,1.0609632730484009,1.0602118968963623,1.0615266561508179,1.0577349662780762,1.0516283512115479,1.094651222229004,1.0931906700134277,1.0991584062576294,1.108115792274475,0.9915449619293213,0.9899382591247559,1.0071334838867188,1.021876573562622,0.8325221538543701,1.1501790285110474,13.89241886138916
6,1.012247920036316,1.069717526435852,1.0759321451187134,1.0783566236495972,1.0790197849273682,1.0590119361877441,0.0,0.00017246321658603847,0.0004243888834025711,0.0007709703058935702,0.001622130279429257,0.002281462773680687,0.004082802217453718,0.007599628996104002,0.01351124420762062,0.025665506720542908,0.04687073826789856,0.08753659576177597,0.13261087238788605,0.19209544360637665,0.2692655920982361,0.5726557970046997,0.9516428709030151,13.969396591186523
7,1.0147290229797363,1.072839617729187,1.0790690183639526,1.0814942121505737,1.0821483135223389,1.0620546340942383,0.00017246321658603847,0.0,0.0002529042540118098,0.0005852726753801107,0.001384165370836854,0.00203674822114408,0.003835564712062478,0.007289755158126354,0.013144881464540958,0.02524399384856224,0.04644716531038284,0.08719633519649506,0.13240192830562592,0.19210214912891388,0.26952189207077026,0.5741421580314636,0.9540722370147705,13.969796180725098
8,1.0153629779815674,1.0718892812728882,1.0780037641525269,1.0803415775299072,1.0809377431869507,1.0609632730484009,0.0004243888834025711,0.0002529042540118098,0.0,0.00028655401547439396,0.0009357882663607597,0.0015048910863697529,0.003025426995009184,0.006152129266411066,0.01172646414488554,0.023178940638899803,0.04357559233903885,0.08331005275249481,0.12770408391952515,0.1864912509918213,0.2631327211856842,0.5658538341522217,0.9444268345832825,13.975507736206055
9,1.0164071321487427,1.0712168216705322,1.0772150754928589,1.079480767250061,1.0800405740737915,1.0602118968963623,0.0007709703058935702,0.0005852726753801107,0.00028655401547439396,0.0,0.0006195266614668071,0.0010434389114379883,0.00231298734433949,0.005137546919286251,0.010395237244665623,0.02127891033887863,0.040976572781801224,0.07987044751644135,0.12368336319923401,0.1818767637014389,0.2578733563423157,0.5593287944793701,0.9369924664497375,13.977551460266113
