Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3.5762786865234375e-07,0.2754737138748169,0.2762908339500427,0.27611279487609863,0.27664923667907715,0.2773624658584595,1.0222289115190506,1.0229653287678957,1.0207844618707895,1.017682595178485,1.0165693443268538,1.0128547670319676,1.0043261866085231,0.9971436252817512,0.9936159239150584,0.9774800855666399,0.9602523110806942,0.9392510131001472,0.9331137761473656,0.927109956741333,0.9220914542675018,0.8741629421710968,0.9011422917246819,1.1495342403650284
1,0.2754737138748169,-3.5762786865234375e-07,0.00034749507904052734,0.0009939074516296387,0.0015748143196105957,0.0035639405250549316,1.010258107446134,1.0116789946332574,1.0081097157672048,1.0041845464147627,1.0026103153359145,0.9973516496829689,0.9842710085213184,0.9748657178133726,0.9668085686862469,0.9422366730868816,0.9137698113918304,0.880512073636055,0.862701490521431,0.8408648073673248,0.8184190094470978,0.712652713060379,0.715929239988327,1.1856031268835068
2,0.2762908339500427,0.00034749507904052734,-1.1920928955078125e-07,0.0003483295440673828,0.000802159309387207,0.0025054216384887695,1.0122416643425822,1.01362806558609,1.0099786603823304,1.0059860502369702,1.0043275258503854,0.9989894325844944,0.985764347948134,0.976079547777772,0.9677273668348789,0.9427371621131897,0.9137237593531609,0.8794224858283997,0.8608886152505875,0.8384497463703156,0.8155311942100525,0.7079230844974518,0.71133092045784,1.1844692528247833
3,0.27611279487609863,0.0009939074516296387,0.0003483295440673828,-2.384185791015625e-07,0.0003548860549926758,0.0017698407173156738,1.0131118623539805,1.014476552605629,1.0107078272849321,1.0066324230283499,1.0048759174533188,0.999448032293003,0.9860498504713178,0.9760906435549259,0.967377882450819,0.941876158118248,0.9121605455875397,0.8766015321016312,0.8571869730949402,0.8339588940143585,0.8102502971887589,0.7001564204692841,0.7031491100788116,1.1832768023014069
4,0.27664923667907715,0.0015748143196105957,0.000802159309387207,0.0003548860549926758,-1.1920928955078125e-07,0.0010799765586853027,1.0122197167947888,1.0135561479255557,1.0097050135955215,1.0055917561985552,1.003791628871113,0.9983213501982391,0.9848269317299128,0.9747259449213743,0.9658215939998627,0.9400559328496456,0.9100178778171539,0.8739067912101746,0.8540645688772202,0.8303960710763931,0.8063089847564697,0.6950879693031311,0.6979258060455322,1.1830011159181595
5,0.2773624658584595,0.0035639405250549316,0.0025054216384887695,0.0017698407173156738,0.0010799765586853027,0.0,0.9941053898073733,0.9954156773164868,0.9914286658167839,0.9872148791328073,0.9852575603872538,0.9797568768262863,0.9661476798355579,0.9558085277676582,0.9465920962393284,0.9205228760838509,0.8900798782706261,0.8534005582332611,0.8331335335969925,0.8093753308057785,0.7852961272001266,0.6752361357212067,0.6801945567131042,1.1798107028007507
6,1.0222289115190506,1.010258107446134,1.0122416643425822,1.0131118623539805,1.0122197167947888,0.9941053898073733,2.980232238769531e-07,8.45789909362793e-05,0.00020837783813476562,0.00037807226181030273,0.0007947683334350586,0.00112229585647583,0.0020105838775634766,0.0033307671546936035,0.006135225296020508,0.011611878871917725,0.02104485034942627,0.04337221384048462,0.06545227766036987,0.09334981441497803,0.1289474368095398,0.29546308517456055,0.41526222229003906,0.9208683371543884
7,1.0229653287678957,1.0116789946332574,1.01362806558609,1.014476552605629,1.0135561479255557,0.9954156773164868,8.45789909362793e-05,0.0,0.0001246333122253418,0.00028771162033081055,0.0006794929504394531,0.0010025501251220703,0.0018886923789978027,0.0032075047492980957,0.0059833526611328125,0.01143866777420044,0.02087390422821045,0.0431479811668396,0.06527161598205566,0.09325861930847168,0.12894803285598755,0.29581642150878906,0.415959894657135,0.9206871390342712
8,1.0207844618707895,1.0081097157672048,1.0099786603823304,1.0107078272849321,1.0097050135955215,0.9914286658167839,0.00020837783813476562,0.0001246333122253418,-1.1920928955078125e-07,0.00014060735702514648,0.00045925378799438477,0.0007406473159790039,0.001489400863647461,0.0026676058769226074,0.00530850887298584,0.010462701320648193,0.019528567790985107,0.04120904207229614,0.06293368339538574,0.09050464630126953,0.12584733963012695,0.2914099097251892,0.41158515214920044,0.921388752758503
9,1.017682595178485,1.0041845464147627,1.0059860502369702,1.0066324230283499,1.0055917561985552,0.9872148791328073,0.00037807226181030273,0.00028771162033081055,0.00014060735702514648,-4.76837158203125e-07,0.0003040432929992676,0.0005134940147399902,0.001138150691986084,0.0021912455558776855,0.004680156707763672,0.009570598602294922,0.018317878246307373,0.0394822359085083,0.06091707944869995,0.08822000026702881,0.1232689619064331,0.2878435254096985,0.4081237316131592,0.9215528592467308
10,1.0165693443268538,1.0026103153359145,1.0043275258503854,1.0048759174533188,1.003791628871113,0.9852575603872538,0.0007947683334350586,0.0006794929504394531,0.00045925378799438477,0.0003040432929992676,1.7881393432617188e-07,0.00023174285888671875,0.0007416605949401855,0.0016632676124572754,0.0038872957229614258,0.008575975894927979,0.017085254192352295,0.037682294845581055,0.05878424644470215,0.08575797080993652,0.1205410361289978,0.2843294143676758,0.4048374891281128,0.9210133925080299
11,1.0128547670319676,0.9973516496829689,0.9989894325844944,0.999448032293003,0.9983213501982391,0.9797568768262863,0.00112229585647583,0.0010025501251220703,0.0007406473159790039,0.0005134940147399902,0.00023174285888671875,2.980232238769531e-07,0.00039124488830566406,0.0011497735977172852,0.0031538009643554688,0.007467746734619141,0.015539348125457764,0.03548985719680786,0.05615067481994629,0.08268916606903076,0.11702167987823486,0.27932292222976685,0.3997081518173218,0.9214110746979713
12,1.0043261866085231,0.9842710085213184,0.985764347948134,0.9860498504713178,0.9848269317299128,0.9661476798355579,0.0020105838775634766,0.0018886923789978027,0.001489400863647461,0.001138150691986084,0.0007416605949401855,0.00039124488830566406,2.384185791015625e-07,0.0005002021789550781,0.0020756125450134277,0.005631744861602783,0.012808561325073242,0.03142911195755005,0.05121493339538574,0.07677054405212402,0.11020892858505249,0.2691025137901306,0.38910967111587524,0.9229157269001007
13,0.9971436252817512,0.9748657178133726,0.976079547777772,0.9760906435549259,0.9747259449213743,0.9558085277676582,0.0033307671546936035,0.0032075047492980957,0.0026676058769226074,0.0021912455558776855,0.0016632676124572754,0.0011497735977172852,0.0005002021789550781,4.172325134277344e-07,0.0010775923728942871,0.0037680864334106445,0.009855091571807861,0.026809751987457275,0.045455098152160645,0.06999635696411133,0.10252326726913452,0.2577873468399048,0.37750691175460815,0.9231413826346397
14,0.9936159239150584,0.9668085686862469,0.9677273668348789,0.967377882450819,0.9658215939998627,0.9465920962393284,0.006135225296020508,0.0059833526611328125,0.00530850887298584,0.004680156707763672,0.0038872957229614258,0.0031538009643554688,0.0020756125450134277,0.0010775923728942871,-4.76837158203125e-07,0.0015794038772583008,0.006275475025177002,0.020452022552490234,0.037272870540618896,0.06008446216583252,0.09070855379104614,0.24067217111587524,0.3600272536277771,0.9199309125542641
