Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.7244732975959778,0.723655641078949,0.7238336205482483,0.7232968211174011,0.7225848436355591,-0.022399328649044037,-0.02313007228076458,-0.02095016837120056,-0.01784275844693184,-0.016724683344364166,-0.013013545423746109,-0.004481242969632149,0.0026944084092974663,0.006233952008187771,0.02237292192876339,0.03961823508143425,0.06063571944832802,0.06678213179111481,0.07280094176530838,0.07784566283226013,0.12581698596477509,0.09890242666006088,-0.14926718175411224
1,0.7244732975959778,1.000000238418579,0.9996522068977356,0.9990058541297913,0.9984245300292969,0.9964355230331421,-0.010464034974575043,-0.011878213845193386,-0.008309794589877129,-0.004377750679850578,-0.002797595225274563,0.002457267139106989,0.015543350949883461,0.024940839037299156,0.033013131469488144,0.05759057775139809,0.08608067780733109,0.11936011165380478,0.13718362152576447,0.1590406596660614,0.18152004480361938,0.2873460352420807,0.2841513156890869,-0.18528534471988678
2,0.723655641078949,0.9996522068977356,0.9999998211860657,0.9996510744094849,0.9991971254348755,0.9974939823150635,-0.012451842427253723,-0.013831392861902714,-0.010182841680943966,-0.006183215882629156,-0.004518618807196617,0.0008155997493304312,0.014046275988221169,0.023723185062408447,0.03209088370203972,0.057086843997240067,0.08612403273582458,0.12044767290353775,0.13899488747119904,0.16145460307598114,0.18440748751163483,0.29207685589790344,0.28875237703323364,-0.18414433300495148
3,0.7238336205482483,0.9990058541297913,0.9996510744094849,0.9999997615814209,0.999644935131073,0.99822998046875,-0.013321899808943272,-0.014679761603474617,-0.010911873541772366,-0.006829410791397095,-0.00506683811545372,0.0003572045243345201,0.013761006295681,0.023712366819381714,0.03244071081280708,0.057948287576436996,0.08768780529499054,0.12326934933662415,0.1426973193883896,0.16594623029232025,0.1896892488002777,0.29984450340270996,0.29693514108657837,-0.18295200169086456
4,0.7232968211174011,0.9984245300292969,0.9991971254348755,0.999644935131073,0.9999999403953552,0.9989199638366699,-0.012430137023329735,-0.013759712688624859,-0.009909394197165966,-0.0057890936732292175,-0.0039828564040362835,0.0014835691545158625,0.0149836465716362,0.02507682703435421,0.033996786922216415,0.05976838245987892,0.0898304358124733,0.1259641945362091,0.14581994712352753,0.1695094257593155,0.19363099336624146,0.304913729429245,0.3021593391895294,-0.18267516791820526
5,0.7225848436355591,0.9964355230331421,0.9974939823150635,0.99822998046875,0.9989199638366699,1.000000238418579,0.0056970682926476,0.004393250681459904,0.008379528298974037,0.01259998045861721,0.014563094824552536,0.020060162991285324,0.03367471322417259,0.04400660842657089,0.05323776230216026,0.07931260764598846,0.10977832227945328,0.14647898077964783,0.16675880551338196,0.19053679704666138,0.21464839577674866,0.3247663974761963,0.319887638092041,-0.17949919402599335
6,-0.022399328649044037,-0.010464034974575043,-0.012451842427253723,-0.013321899808943272,-0.012430137023329735,0.0056970682926476,0.9999998807907104,0.9999155402183533,0.9997919797897339,0.9996224045753479,0.9992063641548157,0.9988783597946167,0.9979901909828186,0.9966692328453064,0.9938644170761108,0.988386869430542,0.9789556264877319,0.9566285014152527,0.9345486760139465,0.906654417514801,0.8710673451423645,0.7045667767524719,0.5848250985145569,0.0794919803738594
7,-0.02313007228076458,-0.011878213845193386,-0.013831392861902714,-0.014679761603474617,-0.013759712688624859,0.004393250681459904,0.9999155402183533,0.9999997615814209,0.9998752474784851,0.9997121691703796,0.9993206858634949,0.998997688293457,0.9981114864349365,0.9967923164367676,0.9940158724784851,0.9885600209236145,0.9791256785392761,0.9568510055541992,0.9347279667854309,0.9067436456680298,0.8710645437240601,0.7042103409767151,0.5841225981712341,0.07966165244579315
8,-0.02095016837120056,-0.008309794589877129,-0.010182841680943966,-0.010911873541772366,-0.009909394197165966,0.008379528298974037,0.9997919797897339,0.9998752474784851,1.0,0.9998593926429749,0.9995412230491638,0.9992597103118896,0.9985109567642212,0.997332751750946,0.9946908354759216,0.9895363450050354,0.9804713129997253,0.9587907791137695,0.9370665550231934,0.9094985723495483,0.8741658926010132,0.7086181044578552,0.5884987711906433,0.07896238565444946
9,-0.01784275844693184,-0.004377750679850578,-0.006183215882629156,-0.006829410791397095,-0.0057890936732292175,0.01259998045861721,0.9996224045753479,0.9997121691703796,0.9998593926429749,1.0000001192092896,0.9996963143348694,0.9994868636131287,0.9988619089126587,0.9978089332580566,0.9953188300132751,0.9904279708862305,0.9816812872886658,0.960516631603241,0.9390820860862732,0.9117817878723145,0.8767423033714294,0.7121821641921997,0.5919566750526428,0.07878808677196503
10,-0.016724683344364166,-0.002797595225274563,-0.004518618807196617,-0.00506683811545372,-0.0039828564040362835,0.014563094824552536,0.9992063641548157,0.9993206858634949,0.9995412230491638,0.9996963143348694,1.0000001192092896,0.9997690320014954,0.999258816242218,0.9983375072479248,0.9961121678352356,0.991422712802887,0.9829139709472656,0.9623162746429443,0.9412146210670471,0.914243221282959,0.8794692158699036,0.7156944274902344,0.59524005651474,0.07931842654943466
