Layer,KL_noise
0,0.905005859375
1,0.591916015625
2,0.4529970703125
3,0.3981455078125
4,0.337607421875
5,0.2638687744140625
6,0.20451605224609376
7,0.1678978271484375
8,0.132345458984375
9,0.11189810180664063
10,0.08917661285400391
11,0.06971805572509765
12,0.05470855712890625
13,0.044965162515640256
14,0.033164189338684084
15,0.026507905960083008
16,0.02175639247894287
17,0.016906984329223634
18,0.013592519879341125
19,0.012358981132507324
20,0.009662740230560303
21,0.009055590152740479
22,0.006968925476074219
23,0.0024711966514587404
