Layer,Outlier_IoU
0,0.003718750085681677
1,0.0032578124664723873
2,0.00328710931353271
3,0.003331054700538516
4,0.0032939452212303877
5,0.003475585952401161
6,0.0035419922787696123
7,0.0033710936550050974
8,0.0034863280598074198
9,0.0033769530709832907
10,0.0033945313189178705
11,0.003434570273384452
12,0.003352539148181677
13,0.003312499960884452
14,0.003343750024214387
15,0.003554687602445483
16,0.003547851461917162
17,0.0037128906697034836
18,0.003986327908933163
19,0.004060546867549419
20,0.00401074206456542
21,0.003683593822643161
22,0.0035468749701976776
23,0.0030849608592689037
