Layer,Attn_vs_MLP_Ratio
0,0.7052809852549112
1,0.06490722089060261
2,0.37666642795384647
3,0.5098121309018963
4,0.4105609467082244
5,0.26279405396830474
6,0.21772806011156756
7,0.4539816380361168
8,0.5437397074892326
9,0.5869413632631765
10,0.5448366616789726
11,0.47243124353977295
12,0.5348430832914917
13,0.40526404473160466
14,0.5073012270015206
15,0.4909584777607686
16,0.34897866782992215
17,0.2071805420037376
18,0.36716971910497936
19,0.34431301521094043
20,0.31737583820735116
21,0.2009362386799145
22,0.31503028475364414
23,0.6024279152836856
