Layer,SVD_Entropy
0,6.86975281055157
1,6.929578487689678
2,6.979769743405855
3,7.020855059990516
4,7.059679178091196
5,7.059813169332651
6,7.088081506582407
7,7.092452599452092
8,7.106888954456036
9,7.1054127766535835
10,7.110035566183237
11,7.100165110367995
12,7.109859796670767
13,7.125534717853252
14,7.128260685847356
15,7.12402893946721
16,7.131886702317458
17,7.116636899801401
18,7.143800625434289
19,7.1371001830467815
20,7.140786501077505
21,7.143303504356971
22,7.140126961928147
23,7.118247325603779
24,7.145661464104285
25,7.133442145127517
26,7.080444556016189
27,7.400660923549107
28,7.415875639234271
29,7.340893064226423
30,7.349556037357876
31,7.401740346636091
32,7.403996331351144
33,7.409159047263009
