Layer,Spectral_Norm
0,8.121434193391066
1,5.7760338599865255
2,5.72692452944242
3,5.962195836580717
4,4.86405060841487
5,4.884961485862732
6,4.755001068115234
7,4.6838771013113165
8,4.743582560465886
9,4.5058101415634155
10,4.311797857284546
11,4.390480059843797
12,4.513572903779837
13,4.194057537959172
14,4.117611105625446
15,4.503460425596971
16,4.117517810601455
17,4.469782774264996
18,4.014616186802204
19,4.084440414722149
20,4.287402611512404
21,4.564533050243671
22,4.304668527383071
23,5.1018198270064135
24,4.898766040802002
25,5.333340131319487
26,5.284242464945867
27,6.670773642403739
28,5.532722609383719
29,5.211086852209909
30,6.7296866689409525
31,6.694825751440866
32,5.3803903715951105
33,6.030247415815081
