Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.9999999999986642,0.8835023370892929,0.46949882686146677,0.3323070829105261,0.07400336135540116,0.038483152652845,0.02741893562944199,0.0166748882137869,0.009991489139569766,0.006903082528227042,0.004448845256509611,0.003009892908536434,0.0023079948986252387,0.0018401733084588152,0.0015795927580376044,0.0014489097628810948,0.001351507639982684,0.0011123519944391193,0.0009750837948199406,0.0009004309492378044,0.0008609227621516042,0.0007904462779007588,0.0007280766828931931,0.0006795946060467287,0.0006413489629259547,0.0005796219395897013,0.0005086812771605419,0.00043660444764660294,0.0003656575691083712,0.00034113779380587117,0.0003505490884037314,0.000365361747031658,0.0003600630629997924,374.9631107668859
1,1.131858918779993,0.9999999999988198,0.5314064345406048,0.3761247355665439,0.08376136456992135,0.04355749955295274,0.03103436683567989,0.0188736209444593,0.011308956094530583,0.007813315526658557,0.005035465181859195,0.003406774133104167,0.0026123246105111916,0.0020828165712827792,0.0017878761512275382,0.0016399614376265627,0.001529715976115744,0.0012590255257303121,0.0011036572897262648,0.0010191608006417054,0.0009744431067233014,0.0008946736694596179,0.0008240800870895141,0.0007692052160097931,0.0007259165437390106,0.000656050261846038,0.0005757554403713259,0.0004941746380484802,0.0004138727808152744,0.0003861198544526213,0.0003967721121804896,0.00041353795195937413,0.00040754058918010186,424.40534113555714
2,2.129930774657938,1.8817988172512101,0.9999999999993728,0.7077910825288819,0.15762203677921144,0.08196645114126332,0.058400434805591525,0.035516357570573094,0.021281180203058633,0.01470308791689394,0.009475732423543467,0.0064108635343250045,0.00491586936234199,0.00391944176039578,0.003364423226775598,0.003086077493666902,0.002878617714588285,0.0023692327452111803,0.0020768609824600125,0.001917855589238621,0.0018337058857126672,0.001683595853016896,0.001550752933207152,0.0014474894657123985,0.0013660288934327686,0.001234554606800678,0.0010834559067179896,0.0009299372493962723,0.0007788253094315719,0.0007265998854270098,0.000746645291420391,0.0007781952288865565,0.0007669093987018821,798.6454689849303
3,3.009264777746164,2.658692464062779,1.4128462828692439,0.9999999999995561,0.22269570876192782,0.11580599581499,0.08251083723307934,0.050179153774670596,0.030067036344980785,0.020773203110096325,0.013387753332075354,0.009057564714458746,0.006945367755660037,0.005537568722101137,0.004753412849951831,0.00436015311557645,0.004067044337860167,0.00334736167732581,0.0029342853191066344,0.0027096351403374888,0.0025907445445062212,0.002378662142790487,0.0021909755173316757,0.0020450801111254325,0.0019299888443796841,0.0017442358872185328,0.0015307566504601977,0.0013138583861119963,0.001100360443435575,0.001026573947259413,0.0010548950246057843,0.0010994702364796412,0.0010835250932541207,1128.3632821864305
4,13.51289970729931,11.93867847226811,6.344290560082158,4.490432283401133,0.9999999999999011,0.5200189822192784,0.37050932724204017,0.2253260920636307,0.13501399066975686,0.09328066187526676,0.060116799764588946,0.04067238100281857,0.031187703590122948,0.02486607736128634,0.021344878517766966,0.019578972310765212,0.018262787192759186,0.015031100940090256,0.013176209525632277,0.01216743311041502,0.011633562940701263,0.01068122127729526,0.009838427195172023,0.009183293753143296,0.008666484213410425,0.007832373137836395,0.006873759081260507,0.005899792112817238,0.004941094058582886,0.0046097607940742465,0.004736934674091149,0.004937096644529051,0.004865496058625686,5066.838909736659
5,25.985397013066297,22.958158991267876,12.200113413180388,8.635131479695493,1.9230067251240759,0.9999999999999486,0.7124919280077107,0.43330359038433136,0.25963281204380734,0.17937934011018072,0.11560501024025344,0.07821326219523655,0.059974163744988644,0.0478176339932139,0.04104634493662635,0.037650495424623294,0.035119462591189234,0.02890490819381524,0.025337939529437283,0.02339805569882775,0.022371419772124965,0.02054006034877919,0.01891936166096127,0.01765953564608622,0.016665707425571535,0.015061706217742037,0.013218284940147953,0.011345339909782651,0.009501757104126443,0.008864601008218953,0.009109157234751603,0.009494070050017813,0.009356381641802804,9743.5652985449
6,36.471145835611665,32.22234258213039,17.12316018413602,12.119620083052682,2.6989873843219097,1.4035246726178907,0.9999999999999634,0.6081522798383565,0.36440105752466584,0.25176332960256764,0.16225448415044796,0.10977424321695228,0.08417521853572128,0.06711322909569112,0.057609557839342476,0.05284339926474852,0.04929103223581766,0.04056875180977681,0.035562423282867205,0.03283974846459408,0.03139883961167071,0.028828481476573513,0.026553790881341507,0.024785593986258406,0.023390731558422043,0.02113947628832433,0.018552189043192103,0.015923464482617205,0.01333595052886447,0.01244168622794937,0.012784926925730293,0.013325161558763258,0.0131319124807,13675.334295771974
7,59.970417023355864,52.984003596425204,28.156040438896127,19.92859434198576,4.438012441619433,2.3078507129676606,1.644325004036383,0.9999999999999778,0.5991937703851303,0.4139807379649704,0.26679910530561635,0.18050453292081256,0.1384114165585184,0.11035596070367103,0.09472883642671454,0.08689172270930699,0.08105047678012132,0.06670821298336471,0.058476181808146316,0.05399921952659944,0.05162989707120008,0.04740339292033127,0.04366306229814474,0.0407555719315,0.03846196476421768,0.0347601694331272,0.030505828323331714,0.0261833507996537,0.02192863690720488,0.02045817575699301,0.021022575018757095,0.02191089633389965,0.021593132042833245,22486.694121094963
8,100.08518110061328,88.4254914105151,46.98987511301815,33.25901457416094,7.406639823319345,3.851593302587683,2.7442291380624253,1.6689092067115732,0.9999999999999866,0.6908962649910058,0.44526348318696357,0.30124567684472303,0.2309960874085072,0.18417407883386125,0.15809382725362203,0.14501439601659474,0.13526588690671007,0.11132995081121634,0.09759143819295736,0.09011979462318316,0.08616561056369862,0.07911195887410882,0.07286968666259636,0.06801734922127764,0.06418952710322044,0.058011566793801476,0.0509114577471721,0.043697635212101855,0.03659690402507023,0.0341428378733699,0.035084768997589215,0.036567296618948794,0.03603697686802389,37528.25084720323
9,144.86281974894638,127.98663980571007,68.01292392806529,48.13894105303002,10.720335596857941,5.574778006127719,3.971984329801124,2.415571325650869,1.4473952902509837,0.9999999999999908,0.6444722684855677,0.4360215738735278,0.33434264898148236,0.2665726942904477,0.22882426098464823,0.20989315381301304,0.19578320764039697,0.16113844646803038,0.14125338800930837,0.13043896629598298,0.12471569891149946,0.11450627667691617,0.1054712412775083,0.09844799091823499,0.09290761921264037,0.08396566855742973,0.07368900416306985,0.06324775140110263,0.05297018652365463,0.04941818273371917,0.05078152940665504,0.05292733290347792,0.05215975059366212,54318.213527600165
