Layer,Variance_Shift
0,108.36030578613281
1,131.49148559570312
2,245.018310546875
3,399.6754150390625
4,1749.1842041015625
5,3437.80517578125
6,4825.8095703125
7,7387.7548828125
8,9871.8701171875
9,14882.5625
10,18944.783203125
11,26750.041015625
12,35009.625
13,44428.9921875
14,51652.92578125
15,53939.6875
16,55187.6875
17,68576.9296875
18,75243.609375
19,79422.203125
20,81106.203125
21,82565.7109375
22,87899.9765625
23,98239.0078125
24,99634.53125
25,106077.2109375
26,116843.828125
27,129621.3515625
28,141451.875
29,148305.578125
30,154369.34375
31,128946.7109375
32,112360.8984375
33,0.21580611169338226
