Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,11.622825478317372,12.185113146922323,12.39055829822059,12.503855635190048,11.24795584117284,53.430959652286965,53.49640700565902,53.51310906280206,53.54062649653517,53.59769820023834,53.55975485090991,53.55302657648323,54.800009056689404,54.869821059140655,55.324635399444894,55.91035787618273,53.24415267169763,53.44498920122459,54.203028023608844,54.89728477411587,50.88414886379271,59.54933368462193,195.59635422529772
1,0.9428833910289596,0.0,0.052995076215105144,0.07744080201125628,0.09212121117016739,0.0885864674887729,4.4558488555540565,4.462345682902794,4.460368671830322,4.458969802129521,4.462037365048178,4.4542048568169,4.441574356247361,4.531565401765883,4.529457655207355,4.5425152250313445,4.56202422793808,4.3196740469696735,4.318154610098398,4.356507317549493,4.389042659025216,3.967332106886787,4.653957058578665,16.07078600109369
2,0.9453691798651093,0.050682861368471714,0.0,0.031039264566826805,0.04750284185518027,0.0998163319048208,4.273797230113309,4.28002309916128,4.277910415828757,4.2763440502476815,4.279123915017288,4.271353213573613,4.25860765169018,4.343800921138025,4.341156507050596,4.352142599303493,4.368969047124317,4.135224236057189,4.132240153335992,4.167215950640239,4.196729265048889,3.7874698911826163,4.442817800975659,15.379249666072711
3,0.9461892555081901,0.0728971769264139,0.030551088335756448,0.0,0.028110831772062844,0.10433973563518832,4.211316863733019,4.217440028323542,4.215191700190901,4.213512205570912,4.216124600825533,4.208314420979638,4.19541037804959,4.27877286095938,4.275690767840346,4.285599204958271,4.300982322788413,4.0693026547016515,4.065170065558349,4.098374696318243,4.126185322272762,3.719164433146224,4.363250790835388,15.140082344473
4,0.9466789763355281,0.08597499356126108,0.04635605828723888,0.02787053728841558,0.0,0.10505764730607556,4.176601233451187,4.182652059986844,4.180312800212627,4.17857750463975,4.181109273766584,4.173281463893312,4.160286743666817,4.242670578838955,4.239351487130913,4.248682767934121,4.263339237026595,4.032877411177203,4.028166015911861,4.0603967587036225,4.087333494298446,3.681684429394439,4.319817007275222,15.012502938839834
5,0.941303844224643,0.09138551100459148,0.10766783056475938,0.11434543342049694,0.11612483738807003,0.0,4.573578511078307,4.580145376057108,4.577790835216685,4.576170941088764,4.579006505069855,4.570821619106204,4.557608467882386,4.64990122402634,4.64679817521469,4.659463619404507,4.678411585454925,4.425496810960765,4.421909741979533,4.460149208519616,4.492674839435495,4.055120980761593,4.7663785049903895,16.565128761505918
6,1.000591181316264,1.0286032175396729,1.0315867048690286,1.032748277277232,1.033065664195351,1.0234428717573856,0.0,0.013060552106664158,0.020487796856077965,0.027614173467188106,0.04005493796867174,0.04750287605592745,0.06354661815129092,0.08669806465046384,0.11560081821188067,0.15932656674021786,0.2153099912784454,0.2942443315855703,0.36216198837329916,0.43588495033437424,0.5160642546600562,0.7525930410447439,0.9701755218186049,3.7170823406141404
7,1.00060419750977,1.0288561257750946,1.031839016166932,1.0329980103789687,1.0333100730453653,1.0236717994763889,0.01304474355445158,0.0,0.015796662725136763,0.024030696160457023,0.03695568320710263,0.04482867177590773,0.061517959217660775,0.08480934599450092,0.11388477703303727,0.15782155934864459,0.21407547059702198,0.29331650856913105,0.3614386080468839,0.4353649726433049,0.5156848121741797,0.7526568866212527,0.9702372429624015,3.7126364195323562
8,1.0005630544636743,1.0280370499167855,1.0309654019658059,1.0320826386647806,1.032367388383833,1.0227841625363352,0.020455770456374422,0.01579108307726732,0.0,0.016808812743963942,0.030375448195558714,0.038520008416932365,0.054616918091155944,0.07788369877996072,0.10752694910611962,0.1511752538231852,0.20727915114331474,0.2866042122807372,0.3548430553550257,0.42880830149116034,0.5093559784857841,0.7469405308166822,0.9649795510652868,3.712083047065304
9,1.000505095689431,1.0271269355991044,1.029998569514236,1.0310814552352618,1.0313487259868013,1.0218375679559628,0.027555240660186078,0.024008470997459994,0.01679920061330868,0.0,0.024701050971629546,0.03205670855790043,0.04772786922785007,0.07113172118861898,0.10118185745839953,0.14476386691523135,0.20088770278048068,0.28046491307438975,0.34901258304913757,0.42322771048839475,0.5039515081237671,0.742196823351637,0.9606243678773331,3.7102316596658227
