Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,5.960464477539063e-08,0.03311663866043091,0.9892879063263535,0.990633612498641,0.9831583611667156,0.9810569733381271,0.9708666633814573,0.9728149585425854,0.9597068950533867,0.9512345343828201,0.9399930909276009,0.9327546656131744,0.9090204015374184,0.8945055305957794,0.8586907684803009,0.8119032829999924,0.7721246033906937,0.7230642437934875,0.6926288902759552,0.6774769723415375,0.803350031375885,0.9512217864394188
1,0.03311663866043091,2.384185791015625e-07,0.9783181212842464,0.9778436496853828,0.9687022417783737,0.9652797318994999,0.9530850350856781,0.9533287659287453,0.9368809834122658,0.9262635782361031,0.913675382733345,0.9052663743495941,0.878438264131546,0.8629530966281891,0.8225251883268356,0.7683514952659607,0.7232168614864349,0.6665419936180115,0.6280420422554016,0.6046049892902374,0.738039642572403,0.9355124309659004
2,0.9892879063263535,0.9783181212842464,-1.1920928955078125e-07,0.0001824498176574707,0.0006105899810791016,0.0012798905372619629,0.002180159091949463,0.005205750465393066,0.0069800615310668945,0.009777307510375977,0.013896465301513672,0.01799750328063965,0.025467395782470703,0.035555124282836914,0.05237126350402832,0.07696312665939331,0.10759377479553223,0.14791351556777954,0.21044999361038208,0.28084611892700195,0.34490102529525757,0.992664251010865
3,0.990633612498641,0.9778436496853828,0.0001824498176574707,-2.384185791015625e-07,0.0002580881118774414,0.0007457733154296875,0.0016151070594787598,0.004295051097869873,0.006011605262756348,0.008783400058746338,0.012819409370422363,0.016972243785858154,0.024430036544799805,0.034355878829956055,0.050920069217681885,0.07529217004776001,0.10567909479141235,0.14579278230667114,0.20803064107894897,0.2781572937965393,0.3423529863357544,0.9919598260894418
4,0.9831583611667156,0.9687022417783737,0.0006105899810791016,0.0002580881118774414,0.0,0.0003497600555419922,0.0010148286819458008,0.0035419464111328125,0.004864335060119629,0.007434070110321045,0.011203587055206299,0.015260517597198486,0.022304952144622803,0.032000720500946045,0.04793047904968262,0.07145589590072632,0.10104304552078247,0.14034152030944824,0.20184069871902466,0.2713947296142578,0.3374180793762207,0.9914836473762989
5,0.9810569733381271,0.9652797318994999,0.0012798905372619629,0.0007457733154296875,0.0003497600555419922,5.960464477539063e-08,0.0007382035255432129,0.0027509331703186035,0.004071354866027832,0.00646519660949707,0.010121464729309082,0.014195144176483154,0.021101176738739014,0.03064703941345215,0.046111345291137695,0.06927275657653809,0.09858846664428711,0.137556791305542,0.19876843690872192,0.26807117462158203,0.33463960886001587,0.9903420489281416
6,0.9708666633814573,0.9530850350856781,0.002180159091949463,0.0016151070594787598,0.0010148286819458008,0.0007382035255432129,-3.5762786865234375e-07,0.0020287036895751953,0.002642691135406494,0.004634082317352295,0.007754683494567871,0.011372089385986328,0.017570197582244873,0.02664119005203247,0.040956199169158936,0.06264382600784302,0.09084075689315796,0.12849485874176025,0.1883774995803833,0.2566746473312378,0.3261656165122986,0.9869894944131374
7,0.9728149585425854,0.9533287659287453,0.005205750465393066,0.004295051097869873,0.0035419464111328125,0.0027509331703186035,0.0020287036895751953,0.0,0.0021720528602600098,0.004065155982971191,0.006908893585205078,0.010849356651306152,0.017218291759490967,0.025859355926513672,0.03982377052307129,0.06176227331161499,0.09005200862884521,0.12813705205917358,0.18804961442947388,0.25648921728134155,0.32498419284820557,0.9850881528109312
8,0.9597068950533867,0.9368809834122658,0.0069800615310668945,0.006011605262756348,0.004864335060119629,0.004071354866027832,0.002642691135406494,0.0021720528602600098,0.0,0.0015241503715515137,0.0033386945724487305,0.006404459476470947,0.011633813381195068,0.019402623176574707,0.03167504072189331,0.05130326747894287,0.07733333110809326,0.1133461594581604,0.17084503173828125,0.23783159255981445,0.30968785285949707,0.9812426008284092
9,0.9512345343828201,0.9262635782361031,0.009777307510375977,0.008783400058746338,0.007434070110321045,0.00646519660949707,0.004634082317352295,0.004065155982971191,0.0015241503715515137,-2.384185791015625e-07,0.0016211271286010742,0.00376737117767334,0.008456885814666748,0.015218019485473633,0.026253879070281982,0.04454386234283447,0.06939637660980225,0.10435020923614502,0.16066628694534302,0.2269253134727478,0.3018534779548645,0.9780531730502844
10,0.9399930909276009,0.913675382733345,0.013896465301513672,0.012819409370422363,0.011203587055206299,0.010121464729309082,0.007754683494567871,0.006908893585205078,0.0033386945724487305,0.0016211271286010742,-1.1920928955078125e-07,0.0024225711822509766,0.005917370319366455,0.011812567710876465,0.02151656150817871,0.03828340768814087,0.06197237968444824,0.0955573320388794,0.15055060386657715,0.21616017818450928,0.2940146327018738,0.9734159037470818
11,0.9327546656131744,0.9052663743495941,0.01799750328063965,0.016972243785858154,0.015260517597198486,0.014195144176483154,0.011372089385986328,0.010849356651306152,0.006404459476470947,0.00376737117767334,0.0024225711822509766,1.1920928955078125e-07,0.003127872943878174,0.007508635520935059,0.01608562469482422,0.03165125846862793,0.054643332958221436,0.08759498596191406,0.14173763990402222,0.2075519561767578,0.2885130047798157,0.9708791486918926
12,0.9090204015374184,0.878438264131546,0.025467395782470703,0.024430036544799805,0.022304952144622803,0.021101176738739014,0.017570197582244873,0.017218291759490967,0.011633813381195068,0.008456885814666748,0.005917370319366455,0.003127872943878174,2.980232238769531e-07,0.003995299339294434,0.010471701622009277,0.022792458534240723,0.04308652877807617,0.07308286428451538,0.12468576431274414,0.18885910511016846,0.27615225315093994,0.9627227820456028
13,0.8945055305957794,0.8629530966281891,0.035555124282836914,0.034355878829956055,0.032000720500946045,0.03064703941345215,0.02664119005203247,0.025859355926513672,0.019402623176574707,0.015218019485473633,0.011812567710876465,0.007508635520935059,0.003995299339294434,-1.1920928955078125e-07,0.005713045597076416,0.01643538475036621,0.03457486629486084,0.06318783760070801,0.11332738399505615,0.17656409740447998,0.26696842908859253,0.9552768915891647
14,0.8586907684803009,0.8225251883268356,0.05237126350402832,0.050920069217681885,0.04793047904968262,0.046111345291137695,0.040956199169158936,0.03982377052307129,0.03167504072189331,0.026253879070281982,0.02151656150817871,0.01608562469482422,0.010471701622009277,0.005713045597076416,1.1920928955078125e-07,0.00778275728225708,0.02233642339706421,0.04657292366027832,0.09223294258117676,0.15226030349731445,0.24755549430847168,0.9418555125594139
15,0.8119032829999924,0.7683514952659607,0.07696312665939331,0.07529217004776001,0.07145589590072632,0.06927275657653809,0.06264382600784302,0.06176227331161499,0.05130326747894287,0.04454386234283447,0.03828340768814087,0.03165125846862793,0.022792458534240723,0.01643538475036621,0.00778275728225708,7.152557373046875e-07,0.008082091808319092,0.024533450603485107,0.06143379211425781,0.11513614654541016,0.22093629837036133,0.9246025085449219
16,0.7721246033906937,0.7232168614864349,0.10759377479553223,0.10567909479141235,0.10104304552078247,0.09858846664428711,0.09084075689315796,0.09005200862884521,0.07733333110809326,0.06939637660980225,0.06197237968444824,0.054643332958221436,0.04308652877807617,0.03457486629486084,0.02233642339706421,0.008082091808319092,0.0,0.00862950086593628,0.035080671310424805,0.08015793561935425,0.18742769956588745,0.8976206853985786
17,0.7230642437934875,0.6665419936180115,0.14791351556777954,0.14579278230667114,0.14034152030944824,0.137556791305542,0.12849485874176025,0.12813705205917358,0.1133461594581604,0.10435020923614502,0.0955573320388794,0.08759498596191406,0.07308286428451538,0.06318783760070801,0.04657292366027832,0.024533450603485107,0.00862950086593628,3.5762786865234375e-07,0.014647603034973145,0.04801380634307861,0.15705037117004395,0.8768193796277046
18,0.6926288902759552,0.6280420422554016,0.21044999361038208,0.20803064107894897,0.20184069871902466,0.19876843690872192,0.1883774995803833,0.18804961442947388,0.17084503173828125,0.16066628694534302,0.15055060386657715,0.14173763990402222,0.12468576431274414,0.11332738399505615,0.09223294258117676,0.06143379211425781,0.035080671310424805,0.014647603034973145,5.960464477539063e-08,0.01577448844909668,0.11272752285003662,0.8289511054754257
19,0.6774769723415375,0.6046049892902374,0.28084611892700195,0.2781572937965393,0.2713947296142578,0.26807117462158203,0.2566746473312378,0.25648921728134155,0.23783159255981445,0.2269253134727478,0.21616017818450928,0.2075519561767578,0.18885910511016846,0.17656409740447998,0.15226030349731445,0.11513614654541016,0.08015793561935425,0.04801380634307861,0.01577448844909668,-2.384185791015625e-07,0.07311838865280151,0.7723002433776855
20,0.803350031375885,0.738039642572403,0.34490102529525757,0.3423529863357544,0.3374180793762207,0.33463960886001587,0.3261656165122986,0.32498419284820557,0.30968785285949707,0.3018534779548645,0.2940146327018738,0.2885130047798157,0.27615225315093994,0.26696842908859253,0.24755549430847168,0.22093629837036133,0.18742769956588745,0.15705037117004395,0.11272752285003662,0.07311838865280151,3.5762786865234375e-07,0.5682238340377808
21,0.9512217864394188,0.9355124309659004,0.992664251010865,0.9919598260894418,0.9914836473762989,0.9903420489281416,0.9869894944131374,0.9850881528109312,0.9812426008284092,0.9780531730502844,0.9734159037470818,0.9708791486918926,0.9627227820456028,0.9552768915891647,0.9418555125594139,0.9246025085449219,0.8976206853985786,0.8768193796277046,0.8289511054754257,0.7723002433776855,0.5682238340377808,0.0
