Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.002054194686934352,0.014952637255191803,0.014950783923268318,0.015725187957286835,0.017081178724765778,0.018415171653032303,0.022234054282307625,0.023646702989935875,0.02597169019281864,0.029584020376205444,0.03155583515763283,0.03532532602548599,0.041127387434244156,0.04538634046912193,0.050935640931129456,0.05834073945879936,0.06724146008491516,0.08520371466875076,0.10314564406871796,0.1353437453508377,0.4217878580093384
1,0.002054194686934352,0.0,0.01510667148977518,0.015015339478850365,0.015605666674673557,0.016876058652997017,0.018163202330470085,0.021940892562270164,0.023378385230898857,0.02570527419447899,0.029343530535697937,0.03131602704524994,0.03513309732079506,0.04097805544734001,0.04513345658779144,0.05067547783255577,0.05810386687517166,0.06700408458709717,0.08495989441871643,0.10287709534168243,0.1350913941860199,0.4215664863586426
2,0.014952637255191803,0.01510667148977518,0.0,0.002698431722819805,0.004819178953766823,0.007004016079008579,0.008373754099011421,0.013154052197933197,0.014774428680539131,0.017131883651018143,0.020870544016361237,0.022989585995674133,0.026753656566143036,0.03289490565657616,0.03731389716267586,0.04295516386628151,0.050552669912576675,0.05946628004312515,0.07783863693475723,0.0958520919084549,0.12784667313098907,0.42753711342811584
3,0.014950783923268318,0.015015339478850365,0.002698431722819805,0.0,0.003357795998454094,0.005643123760819435,0.007380838040262461,0.01224434282630682,0.014028726145625114,0.016603104770183563,0.020410411059856415,0.022589754313230515,0.026422329246997833,0.03254925459623337,0.036997076123952866,0.04263924062252045,0.0502135269343853,0.05908986181020737,0.07742512971162796,0.09550502896308899,0.1275779902935028,0.42746612429618835
4,0.015725187957286835,0.015605666674673557,0.004819178953766823,0.003357795998454094,0.0,0.004297834821045399,0.0063651567324995995,0.011538838967680931,0.01319438498467207,0.01596161723136902,0.01967354118824005,0.021993320435285568,0.025807833299040794,0.03206053003668785,0.036515410989522934,0.04221878945827484,0.04973490536212921,0.05858631059527397,0.0768507868051529,0.09492039680480957,0.1271243840456009,0.42730456590652466
5,0.017081178724765778,0.016876058652997017,0.007004016079008579,0.005643123760819435,0.004297834821045399,0.0,0.005806777626276016,0.010709776543080807,0.01251612976193428,0.015254674479365349,0.019163809716701508,0.02161637879908085,0.025445954874157906,0.03173999860882759,0.036199964582920074,0.04183715209364891,0.04936976358294487,0.05813460052013397,0.0763229951262474,0.09458241611719131,0.126930832862854,0.42704686522483826
6,0.018415171653032303,0.018163202330470085,0.008373754099011421,0.007380838040262461,0.0063651567324995995,0.005806777626276016,0.0,0.009065991267561913,0.010475730523467064,0.0133914053440094,0.017442576587200165,0.01994653232395649,0.02410181239247322,0.030689828097820282,0.03506091982126236,0.04078998416662216,0.048477813601493835,0.05727111175656319,0.07568198442459106,0.09395834803581238,0.12643462419509888,0.4264155924320221
7,0.022234054282307625,0.021940892562270164,0.013154052197933197,0.01224434282630682,0.011538838967680931,0.010709776543080807,0.009065991267561913,0.0,0.009239106439054012,0.012069192714989185,0.016247201710939407,0.01960158720612526,0.024004457518458366,0.03040977567434311,0.034900300204753876,0.04078473150730133,0.048615068197250366,0.057454079389572144,0.07572877407073975,0.09407375752925873,0.1264634132385254,0.42582839727401733
8,0.023646702989935875,0.023378385230898857,0.014774428680539131,0.014028726145625114,0.01319438498467207,0.01251612976193428,0.010475730523467064,0.009239106439054012,0.0,0.009298708289861679,0.012885442934930325,0.01670052483677864,0.0212395079433918,0.027841841802001,0.03267179802060127,0.03857266157865524,0.04632146283984184,0.055228546261787415,0.07363266497850418,0.09213188290596008,0.12501206994056702,0.4252864122390747
9,0.02597169019281864,0.02570527419447899,0.017131883651018143,0.016603104770183563,0.01596161723136902,0.015254674479365349,0.0133914053440094,0.012069192714989185,0.009298708289861679,0.0,0.009629051201045513,0.013388396240770817,0.01881980709731579,0.025607723742723465,0.030472278594970703,0.03667377680540085,0.0448233038187027,0.0537574365735054,0.07232916355133057,0.09089528024196625,0.12385812401771545,0.4248605966567993
10,0.029584020376205444,0.029343530535697937,0.020870544016361237,0.020410411059856415,0.01967354118824005,0.019163809716701508,0.017442576587200165,0.016247201710939407,0.012885442934930325,0.009629051201045513,0.0,0.011891614645719528,0.01671452261507511,0.02368614822626114,0.028606271371245384,0.03493007272481918,0.0437617227435112,0.05255454406142235,0.0712965726852417,0.08971009403467178,0.12257111072540283,0.4238361418247223
11,0.03155583515763283,0.03131602704524994,0.022989585995674133,0.022589754313230515,0.021993320435285568,0.02161637879908085,0.01994653232395649,0.01960158720612526,0.01670052483677864,0.013388396240770817,0.011891614645719528,0.0,0.012461526319384575,0.019613903015851974,0.02564724162220955,0.032185062766075134,0.041429176926612854,0.050391461700201035,0.06888079643249512,0.08764353394508362,0.12097450345754623,0.42342284321784973
12,0.03532532602548599,0.03513309732079506,0.026753656566143036,0.026422329246997833,0.025807833299040794,0.025445954874157906,0.02410181239247322,0.024004457518458366,0.0212395079433918,0.01881980709731579,0.01671452261507511,0.012461526319384575,0.0,0.015775389969348907,0.022445233538746834,0.029277196153998375,0.038706958293914795,0.0482177697122097,0.06658817827701569,0.08585745096206665,0.1187957376241684,0.42251771688461304
