Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,0.24180275,0.27634835,0.21243398,0.21220809,0.35625756,0.46134079,0.41419765,0.6569302,0.99883425,1.3874217,1.1408898,0.9418893,0.7316261,0.7527167,0.9928671,1.8322288,3.6044443,4.297461,5.334796,7.121268,10.097443,21.073402
1,0.24180275,0.0,0.07237502,0.14757153,0.18517938,0.2508636,0.35594684,0.3503623,0.55153626,0.8934403,1.2820277,1.0354958,0.83649534,0.62623215,0.7240422,0.96419257,1.7268348,3.4990504,4.192067,5.229402,7.1161885,10.092363,21.06885
2,0.27634835,0.07237502,0.0,0.08248207,0.1501158,0.22926314,0.33434635,0.34816816,0.5299358,0.8718398,1.2604274,1.0138954,0.81489486,0.60463166,0.70131284,0.9261726,1.7052344,3.47745,4.1704664,5.2078013,7.060137,10.036312,21.054995
3,0.21243398,0.14757153,0.08248207,0.0,0.08620143,0.17664135,0.28172457,0.28377485,0.477314,0.81921804,1.2078055,0.96127355,0.7622731,0.5623873,0.69855076,0.87316895,1.6526126,3.424828,4.1178446,5.15518,6.977655,9.95383,21.059258
4,0.21220809,0.18517938,0.1501158,0.08620143,0.0,0.16717306,0.27225628,0.22511315,0.4678457,0.8097497,1.1983372,0.95180523,0.75280476,0.55329037,0.68945384,0.83952665,1.6431442,3.4153597,4.1083765,5.1457114,6.9386673,9.914843,21.040287
5,0.35625756,0.2508636,0.22926314,0.17664135,0.16717306,0.0,0.10508323,0.13083988,0.30067265,0.6425767,1.0311642,0.7846322,0.5856317,0.55435985,0.6905233,0.8081123,1.4759712,3.2481866,3.9412036,4.9785385,6.9085774,9.884752,21.030193
6,0.46134079,0.35594684,0.33434635,0.28172457,0.27225628,0.10508323,0.0,0.11068203,0.23327455,0.53749347,0.92608094,0.679549,0.4805485,0.5671588,0.7033223,0.8209113,1.370888,3.1431036,3.8361201,4.873455,6.878215,9.85439,21.057156
7,0.41419765,0.3503623,0.34816816,0.28377485,0.22511315,0.13083988,0.11068203,0.0,0.24273255,0.58463657,0.97322404,0.7266921,0.5276916,0.529207,0.66537046,0.78295946,1.4180311,3.1902466,3.8832633,4.9205985,6.8296423,9.805818,21.071276
8,0.6569302,0.55153626,0.5299358,0.477314,0.4678457,0.30067265,0.23327455,0.24273255,0.0,0.34190404,0.7304915,0.48395956,0.32171714,0.5299881,0.6661516,0.7837406,1.1752986,2.947514,3.6405308,4.677866,6.811706,9.787881,21.089605
9,0.99883425,0.8934403,0.8718398,0.81921804,0.8097497,0.6425767,0.53749347,0.58463657,0.34190404,0.0,0.38858747,0.20273615,0.26622438,0.48216242,0.6183259,0.7359149,0.94689465,2.60561,3.298627,4.4461465,6.772608,9.748782,21.108547
