Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,6.444174e-05,0.00018150538,0.00032295726,0.0007503254,0.0010671625,0.0015233587,0.0017511976,0.0027653994,0.0035641408,0.005701055,0.006580865,0.007526762,0.009825612,0.016148247,0.023201503,0.029811103,0.050781704,0.0659246,0.10582811,0.17449394,0.24784005,2.8957644
1,6.444174e-05,0.0,9.443282e-05,0.000237615,0.0006803038,0.000969535,0.0014098405,0.001645758,0.0026324391,0.0033821897,0.0054316847,0.0063281856,0.00728942,0.009609716,0.01592741,0.022917133,0.029450715,0.050114855,0.06520511,0.104926415,0.17343795,0.24711715,2.8954744
2,0.00018150538,9.443282e-05,0.0,0.000109773406,0.0005549197,0.0008342095,0.0012632135,0.0014945011,0.0024742587,0.0031859167,0.0051975856,0.0060633672,0.00702941,0.00936684,0.015661096,0.022539757,0.029008629,0.049488306,0.06453492,0.10403924,0.17236869,0.24580657,2.8941298
3,0.00032295726,0.000237615,0.000109773406,0.0,0.00039643396,0.00063759566,0.0010559858,0.0012831081,0.0022391821,0.0029247357,0.004869934,0.005735607,0.0067513464,0.009081507,0.015323909,0.022068117,0.028291915,0.048565146,0.063486315,0.10271264,0.17068006,0.24410406,2.8938956
4,0.0007503254,0.0006803038,0.0005549197,0.00039643396,0.0,0.00028828823,0.0007187978,0.0010193501,0.001997442,0.0027270135,0.0046756463,0.0055792714,0.006559226,0.008887652,0.01497932,0.021690397,0.02779414,0.047670327,0.062326863,0.10140692,0.16912685,0.24231996,2.891026
5,0.0010671625,0.000969535,0.0008342095,0.00063759566,0.00028828823,0.0,0.00043183385,0.0007819017,0.001723393,0.0024065985,0.0042781094,0.0052569667,0.0063132206,0.008678813,0.014752213,0.021354683,0.027124489,0.046549436,0.061090205,0.09968453,0.16689485,0.2405502,2.8905888
6,0.0015233587,0.0014098405,0.0012632135,0.0010559858,0.0007187978,0.00043183385,0.0,0.00046903896,0.0013998399,0.0020298169,0.0038147925,0.004862615,0.00592699,0.008236794,0.014282698,0.020999257,0.026596667,0.045866948,0.06047847,0.09888779,0.16592997,0.23975386,2.8909578
7,0.0017511976,0.001645758,0.0014945011,0.0012831081,0.0010193501,0.0007819017,0.00046903896,0.0,0.0010315401,0.0017565283,0.003504699,0.004544934,0.0055958014,0.00803086,0.014071823,0.020540051,0.026108805,0.045451123,0.05999665,0.098496035,0.16547889,0.23944747,2.890811
8,0.0027653994,0.0026324391,0.0024742587,0.0022391821,0.001997442,0.001723393,0.0013998399,0.0010315401,0.0,0.0012057174,0.0028766724,0.003952858,0.005227521,0.00770072,0.01368282,0.01997442,0.025498312,0.044016045,0.05825846,0.095929764,0.16218595,0.236853,2.8872433
9,0.0035641408,0.0033821897,0.0031859167,0.0029247357,0.0027270135,0.0024065985,0.0020298169,0.0017565283,0.0012057174,0.0,0.0016961982,0.0029508346,0.004430215,0.0070068743,0.012949724,0.019133067,0.02387477,0.04193046,0.05604787,0.09281481,0.15812236,0.23386055,2.8884134
