Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.3399651025620595,11.374685827208515,11.37858427677441,11.398570084482289,11.412527342096414,11.45113084416501,11.580489713348818,11.758541680010289,11.935760463719129,12.113298666296645,12.238851447997067,12.52083577221168,12.974701121450142,13.578151673836825,14.518557383211306,16.173454996563716,18.32992682319051,22.33533552905046,27.166345799936433,32.05727404763997,82.16477751790298
1,0.27753741270821314,0.0,9.288313551933479,9.28847613676499,9.299358324400592,9.307835513224198,9.334381610496527,9.435902878113984,9.571077634986054,9.710503945930409,9.85112333107314,9.949716500855482,10.170542832008497,10.533550776467882,11.010548752796995,11.758857614047871,13.091895360201438,14.83880182745412,18.098759652134554,22.039159345136994,26.07086730786257,67.05983071491798
2,0.9996224793131984,0.9998763016131926,0.0,0.03454217013395593,0.061638276662479854,0.08997891675299054,0.11197733911074993,0.18137178098193177,0.2117123180043384,0.24952926189597135,0.2905950804968912,0.3328990226321102,0.3983301332866928,0.4873723827621604,0.594449628258839,0.742210141058528,0.9501167310332056,1.1744295252945542,1.5765621736704014,2.04129846050426,2.501311893896053,7.290030109032971
3,0.9998876401581628,0.9998163691294174,0.03453949509232307,0.0,0.038431361955491336,0.06688940869899875,0.09325496012579802,0.16352732788740312,0.1957084272275933,0.23548491095992458,0.2779223911267108,0.3222915655788244,0.3892871780446346,0.47848929590281497,0.5854353635830452,0.7334299506785784,0.941409972433898,1.1660751084667753,1.5685072681832095,2.033549124400777,2.4944526955471376,7.2877848038259785
4,0.9987984942151508,0.9981442081483476,0.06145841973442716,0.03832218923980006,0.0,0.04727831727511226,0.07226540500555806,0.14753459510732936,0.17549459673451828,0.21603379808188586,0.25872687021255913,0.30455850902033743,0.37123665371258324,0.46070637427168026,0.5664894503905977,0.7132667395144079,0.9201305636715646,1.1442586543137454,1.546239755904955,2.010902912730735,2.4764060781082002,7.267116648284925
5,0.998603289933753,0.9976372694416614,0.08958912979124006,0.06660480310947639,0.0472112682523987,0.0,0.0615266501583911,0.12934744997771114,0.16091266414245933,0.20212318251987957,0.2463099279532615,0.29406391977722207,0.3621728262636742,0.45178488588772764,0.5560561275865875,0.7028048266951754,0.9097949846145575,1.1340189060204577,1.536125293638956,2.0007211265780804,2.468054985703243,7.255941803455717
6,0.9973065047347945,0.9958149226508671,0.11097210242665721,0.09242495457685279,0.0718262529213566,0.06123960537733492,0.0,0.1127960142107485,0.13273219316290819,0.17395047116558407,0.21787825901116983,0.264310088146351,0.33229848762937236,0.42344780268047094,0.5268437431726355,0.6721339853630753,0.8784010768079606,1.1022965049744247,1.503692212137187,1.9668436574517123,2.439593313234735,7.217092770260718
7,0.9971527593444992,0.9952473640440652,0.17770837027127018,0.16023675486525782,0.144977676197782,0.12728624651980056,0.11151884152347853,0.0,0.1188015316023774,0.16131286828281488,0.20370376119836459,0.2541556049743573,0.32040806354410944,0.4077658609781217,0.5081133802105652,0.6529674956652777,0.8574140503685342,1.0795817340634768,1.476484522217455,1.9351597289518583,2.403589565505196,7.131637464002019
8,0.9953509984564082,0.9924221210762335,0.20392586678273178,0.1885251742401992,0.1695348701689127,0.15566890025215388,0.1290086377352129,0.11679118445249882,0.0,0.09369222239462119,0.13478512414988078,0.18872505181743954,0.2560516463513533,0.346873659720574,0.44554827407457864,0.5868591761394644,0.7881861254092678,1.0079863072466808,1.400001596012497,1.854429834081941,2.3274597785411792,7.007740027402078
9,0.994351554329594,0.9909333278660729,0.23654552732709053,0.2232492339333307,0.20539225281372378,0.1924397698266813,0.16639305569913326,0.15607168013542852,0.09220842619687218,0.0,0.09262736873553885,0.1437030616798541,0.21541367092997807,0.30589323653783246,0.40312585730418043,0.5435493047415454,0.7422088809481003,0.9604738658793752,1.3480077068333207,1.79748408819712,2.2719637697999846,6.894733419737378
10,0.9930314189053479,0.9892342036409244,0.27107671760076874,0.2592752921484277,0.24205529872131656,0.23076573305965126,0.20508513641272674,0.19393886152107723,0.1305328239561387,0.09114860554705821,0.0,0.11805064410866752,0.18154479159596956,0.27053938214271167,0.36550145059345196,0.5039695111426941,0.7012843126699879,0.9162725232369586,1.2991916008598154,1.7440599298387849,2.2187508006771117,6.781686385525544
11,0.9920386017280002,0.9878964349859367,0.3070462689232119,0.29728560373252366,0.2817287320547379,0.27240714121780096,0.245992220656347,0.23925048652801542,0.1807151938186233,0.1398183158796768,0.11672280211167563,0.0,0.132137799801972,0.21646541105914763,0.3151094372961557,0.45474093065486,0.6556048236941372,0.8722511791641532,1.2549987719228612,1.6991089211218615,2.1799251481988233,6.702668540014975
