Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.0017002641689032316,0.0085974782705307,0.009339896030724049,0.01050657220184803,0.012218587100505829,0.013292303308844566,0.018036605790257454,0.019649116322398186,0.021684760227799416,0.024873629212379456,0.026913248002529144,0.03080480545759201,0.03736455738544464,0.04197954386472702,0.047929275780916214,0.05699429288506508,0.0672011524438858,0.08683782815933228,0.1082587018609047,0.14101654291152954,0.462445467710495
1,0.0017002641689032316,0.0,0.008572299964725971,0.009076731279492378,0.01010474655777216,0.011803528293967247,0.012954783625900745,0.017688624560832977,0.019318003207445145,0.021375440061092377,0.024576859548687935,0.026668813079595566,0.030555617064237595,0.037106119096279144,0.04164684936404228,0.04762335121631622,0.05674968287348747,0.06687642633914948,0.08653268218040466,0.10792546719312668,0.14070670306682587,0.4622918367385864
2,0.0085974782705307,0.008572299964725971,0.0,0.0027060071006417274,0.004578538239002228,0.006793547421693802,0.007903176359832287,0.013164389878511429,0.014730090275406837,0.01682768017053604,0.019991740584373474,0.02210729941725731,0.026048365980386734,0.032795537263154984,0.03744863346219063,0.04351120442152023,0.05266587808728218,0.06273515522480011,0.08234179019927979,0.10385818034410477,0.13669420778751373,0.4652799069881439
3,0.009339896030724049,0.009076731279492378,0.0027060071006417274,0.0,0.003061193972826004,0.0054024141281843185,0.006791701540350914,0.01217739749699831,0.014025110751390457,0.01628413237631321,0.019504381343722343,0.021697405725717545,0.02575458027422428,0.03248381242156029,0.03706534206867218,0.043133486062288284,0.052277881652116776,0.06233883649110794,0.08201940357685089,0.10356194525957108,0.13648147881031036,0.4652228057384491
4,0.01050657220184803,0.01010474655777216,0.004578538239002228,0.003061193972826004,0.0,0.004302027635276318,0.005857197567820549,0.011433538980782032,0.013165012001991272,0.015706397593021393,0.018804941326379776,0.021100839599967003,0.025204721838235855,0.03203226998448372,0.036487411707639694,0.04256005212664604,0.0516982339322567,0.06182987242937088,0.08150600641965866,0.10309868305921555,0.13604103028774261,0.46506956219673157
5,0.012218587100505829,0.011803528293967247,0.006793547421693802,0.0054024141281843185,0.004302027635276318,0.0,0.005393831990659237,0.010629006661474705,0.01253175176680088,0.01512568723410368,0.018437370657920837,0.020909244194626808,0.025199390947818756,0.0319676548242569,0.03621292859315872,0.04226694256067276,0.051493532955646515,0.06155288219451904,0.08132795244455338,0.1029876098036766,0.1359148472547531,0.4649870693683624
6,0.013292303308844566,0.012954783625900745,0.007903176359832287,0.006791701540350914,0.005857197567820549,0.005393831990659237,0.0,0.009200863540172577,0.010808602906763554,0.013542144559323788,0.01697431318461895,0.019291851669549942,0.023841528221964836,0.03080933727324009,0.035142138600349426,0.04130050539970398,0.05051438510417938,0.060643307864665985,0.08065324276685715,0.1021646112203598,0.1352783441543579,0.4644414484500885
7,0.018036605790257454,0.017688624560832977,0.013164389878511429,0.01217739749699831,0.011433538980782032,0.010629006661474705,0.009200863540172577,0.0,0.009549065493047237,0.012400230392813683,0.016041096299886703,0.018849167972803116,0.023387975990772247,0.03027723915874958,0.034649807959795,0.04080820083618164,0.05032924935221672,0.06063281372189522,0.08027883619070053,0.1016913428902626,0.13499750196933746,0.46369490027427673
8,0.019649116322398186,0.019318003207445145,0.014730090275406837,0.014025110751390457,0.013165012001991272,0.01253175176680088,0.010808602906763554,0.009549065493047237,0.0,0.009111023508012295,0.012440739199519157,0.016139090061187744,0.020416520535945892,0.027708159759640694,0.0323030948638916,0.03852912783622742,0.0482928566634655,0.058286152780056,0.07822073996067047,0.09984616935253143,0.13334012031555176,0.4628782868385315
9,0.021684760227799416,0.021375440061092377,0.01682768017053604,0.01628413237631321,0.015706397593021393,0.01512568723410368,0.013542144559323788,0.012400230392813683,0.009111023508012295,0.0,0.009310201741755009,0.012886249460279942,0.018119467422366142,0.02572970651090145,0.030409352853894234,0.03721412643790245,0.0469355434179306,0.05726879835128784,0.0773235410451889,0.09866946935653687,0.1322898268699646,0.462681382894516
