Layer,Variance_Shift
0,6.638013474002946e-06
1,1.2241593140061013e-05
2,0.006432555615901947
3,0.006429812405258417
4,0.006419716868549585
5,0.0064231278374791145
6,0.0064552356489002705
7,0.006394924595952034
8,0.006462629418820143
9,0.0065243965946137905
10,0.006590239237993956
11,0.006626185495406389
12,0.006712733302265406
13,0.006805296987295151
14,0.00697280652821064
15,0.007219389081001282
16,0.007565620820969343
17,0.008446972817182541
18,0.01060034241527319
19,0.013887693174183369
20,0.01749795861542225
21,0.10405611246824265
