Layer,Outlier_IoU
0,0.0034941406920552254
1,0.0032070311717689037
2,0.003221679711714387
3,0.003039062488824129
4,0.0030283203814178705
5,0.002902343636378646
6,0.002973632887005806
7,0.003090820275247097
8,0.003090820275247097
9,0.0030029297340661287
10,0.002925781300291419
11,0.0029843749944120646
12,0.003033203072845936
13,0.0030175780411809683
14,0.003025390673428774
15,0.0029990235343575478
16,0.003279296914115548
17,0.003173828125
18,0.0031933593563735485
19,0.003239257726818323
20,0.003310546977445483
21,0.003142578061670065
