Layer,Accuracy
Baseline,0.6748566748566749
0,0.0
1,0.6117936117936118
2,0.5823095823095823
3,0.1678951678951679
4,0.0
5,0.33742833742833744
6,0.25552825552825553
7,0.4651924651924652
8,0.44717444717444715
9,0.5716625716625716
10,0.5282555282555282
11,0.46846846846846846
12,0.515970515970516
13,0.5233415233415234
14,0.47583947583947583
15,0.5814905814905815
16,0.6363636363636364
17,0.4045864045864046
18,0.6560196560196561
19,0.6617526617526618
20,0.6756756756756757
21,0.6576576576576577
22,0.6732186732186732
23,0.6723996723996724
24,0.6814086814086814
25,0.6855036855036855
26,0.6797706797706797
27,0.674037674037674
28,0.678951678951679
29,0.6773136773136773
30,0.6781326781326781
31,0.6723996723996724
32,0.6797706797706797
33,0.6781326781326781
