Layer,Value
0,7.780056476593018
1,7.79102087020874
2,7.791616439819336
3,7.790175437927246
4,7.789792060852051
5,7.7923126220703125
6,7.789812088012695
7,7.791308403015137
8,7.7903008460998535
9,7.784088134765625
10,7.789271354675293
11,7.78493070602417
12,7.78719425201416
13,7.784006118774414
14,7.7901458740234375
15,7.787557125091553
16,7.785423755645752
17,7.790038108825684
18,7.793220520019531
19,7.7907304763793945
20,7.793853759765625
21,7.7931952476501465
22,7.794262886047363
23,7.801050662994385
24,7.800033092498779
25,7.79866886138916
26,7.798375606536865
27,7.795986175537109
28,7.795303821563721
29,7.7944769859313965
30,7.7969207763671875
31,7.799881935119629
32,7.801469802856445
33,7.797416687011719
