Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,0.947085,0.9511409,0.97349393,0.9746297,0.98971456,0.99637306,0.9993468,1.0019664,1.0042508,1.0032169,1.0015713,1.0001609,1.0002522,0.99916416,0.99932826,0.9981488,0.99905366,0.9966345,0.9946742,0.9928789,0.9922341,0.9913949,0.9893254,0.9878542,0.98852104,0.98926175,0.9901133,0.98694944,0.9881325,0.98537016,0.98664045,0.9833943,0.98643464,0.9346558
1,0.947085,0.0,0.008108079,0.013815641,0.017911911,0.039474964,0.044669926,0.049008965,0.053761363,0.06046921,0.06467998,0.06904936,0.071710944,0.07264078,0.073942184,0.07420963,0.07546425,0.07639861,0.07760173,0.078814566,0.08069056,0.08237386,0.082609355,0.08263177,0.085286975,0.08760899,0.08893472,0.09272581,0.095201194,0.09435719,0.09662205,0.098389864,0.10260689,0.10146296,0.99752736
2,0.9511409,0.008108079,0.0,0.007830024,0.020959258,0.043915212,0.05702579,0.065838754,0.07435578,0.08524364,0.09145057,0.09796631,0.10180497,0.10314268,0.104887426,0.10549259,0.107103765,0.108266234,0.10973686,0.11111629,0.11313224,0.11470801,0.114800096,0.11476916,0.11721909,0.119555056,0.12082511,0.12451935,0.12678754,0.12583822,0.12818825,0.12979764,0.13387555,0.13316274,0.99751395
3,0.97349393,0.013815641,0.007830024,1.1920929e-07,0.008652806,0.0217008,0.03341788,0.041921377,0.05039054,0.061261594,0.06774813,0.074781,0.07888788,0.08031398,0.08211398,0.082973,0.08468193,0.0859161,0.08749932,0.08905029,0.091016114,0.09267515,0.09291971,0.09285432,0.09544885,0.097850025,0.09915149,0.1029675,0.1052441,0.10432589,0.10671812,0.10856396,0.11302245,0.112048686,0.9981833
4,0.9746297,0.017911911,0.020959258,0.008652806,5.9604645e-08,0.011942744,0.017089486,0.02213341,0.027766407,0.035580456,0.04046744,0.045916796,0.04929596,0.05040306,0.05201906,0.052708805,0.05410391,0.055184424,0.056518316,0.057920396,0.059784412,0.061398745,0.06167394,0.061743975,0.06436485,0.066612005,0.06788522,0.071905136,0.074489534,0.07374042,0.07602531,0.07825041,0.08289921,0.081519246,0.99582064
5,0.98971456,0.039474964,0.043915212,0.0217008,0.011942744,0.0,0.0056211352,0.011607349,0.017755687,0.026682556,0.03235221,0.03910321,0.043063045,0.044480085,0.046095133,0.047214627,0.048900366,0.05022514,0.051828444,0.053341508,0.0548898,0.056625307,0.0572955,0.057167232,0.059963167,0.0620628,0.063198686,0.0673663,0.06995565,0.06930816,0.071618736,0.074329615,0.07928026,0.07766831,0.99880713
6,0.99637306,0.044669926,0.05702579,0.03341788,0.017089486,0.0056211352,0.0,0.0026658773,0.005862236,0.011371136,0.015324414,0.020190299,0.023320198,0.02432692,0.025714755,0.026724875,0.028208494,0.029252589,0.030504048,0.03181374,0.033220172,0.035081804,0.035808682,0.035868883,0.03850907,0.040498316,0.04175687,0.04590273,0.048496306,0.047979653,0.050244153,0.053269565,0.058472276,0.05659306,0.9985992
7,0.9993468,0.049008965,0.065838754,0.041921377,0.02213341,0.011607349,0.0026658773,0.0,0.0017540455,0.005217552,0.0082041025,0.012009621,0.0145174265,0.015398443,0.016573012,0.017509222,0.018752515,0.019725978,0.020881474,0.022060037,0.023404062,0.02517885,0.025946379,0.026123106,0.02892536,0.030968964,0.032373965,0.036642373,0.039164126,0.0386644,0.04096198,0.044011652,0.049125314,0.04693252,0.99776065
8,1.0019664,0.053761363,0.07435578,0.05039054,0.027766407,0.017755687,0.005862236,0.0017540455,0.0,0.0018656254,0.003922224,0.0068826675,0.009090126,0.0097929835,0.010779142,0.0115816,0.012675762,0.013602376,0.014655113,0.01577121,0.017103672,0.0189057,0.019678414,0.019861817,0.022686243,0.024701357,0.026261747,0.030547857,0.033214927,0.03271091,0.035028636,0.038212657,0.04327649,0.041049838,1.0000341
9,1.0042508,0.06046921,0.08524364,0.061261594,0.035580456,0.026682556,0.011371136,0.005217552,0.0018656254,0.0,0.0010154247,0.0025720596,0.0040516853,0.004545331,0.0052773952,0.005945921,0.00680387,0.0075604916,0.008479297,0.009488463,0.010723352,0.012432873,0.013294458,0.013674259,0.01665163,0.018651903,0.020267785,0.024594784,0.027296841,0.026770592,0.029003024,0.032249868,0.03726238,0.034778297,1.000684
