Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1.0,307.2611,219.55194,433.55035,738.4605,1897.2197,3531.725,5343.859,8060.0737,15632.887,25127.582,54397.13,110730.57,146459.16,175633.14,213978.11,263682.7,323745.88,387568.4,399856.12,402211.88,404407.16,439377.94,391264.16,363944.78,378571.28,445095.75,499726.5,560847.25,740568.5,837124.4,915743.75,1.004523e+06,1.3255592e+06,14.367895
1,0.0032545608,1.0,0.71454513,1.4110161,2.4033647,6.174617,11.494214,17.391912,26.232,50.87818,81.77924,177.03876,360.3794,476.66022,571.60876,696.4048,858.1713,1053.6506,1261.3649,1301.3561,1309.023,1316.1677,1429.9823,1273.393,1184.4805,1232.0833,1448.5912,1626.3903,1825.3114,2410.225,2724.4722,2980.3438,3269.2812,4314.1133,0.04676119
2,0.004554731,1.3994917,1.0,1.9747052,3.363489,8.641325,16.086058,24.339838,36.711464,71.20359,114.44937,247.76428,504.34793,667.082,799.9617,974.6127,1201.0037,1474.5753,1765.2697,1821.2369,1831.9668,1841.9657,2001.2483,1782.1028,1657.6705,1724.2903,2027.2913,2276.1196,2554.508,3373.09,3812.8762,4170.9663,4575.332,6037.566,0.0654419
3,0.002306537,0.7087092,0.5064047,1.0,1.7032865,4.3760076,8.146055,12.325809,18.590858,36.05783,57.9577,125.468994,255.40417,337.81345,405.10437,493.54843,608.1939,746.7319,893.94086,922.28296,927.71655,932.7801,1013.4415,902.4653,839.45215,873.1887,1026.6298,1152.6377,1293.615,1708.1487,1930.8584,2112.197,2316.9695,3057.4517,0.033140082
4,0.0013541685,0.41608334,0.29731032,0.58710027,1.0,2.5691552,4.7825513,7.2364855,10.914698,21.169563,34.02698,73.66288,149.94786,198.33037,237.83688,289.76242,357.0708,438.4065,524.83295,541.4726,544.66266,547.63544,594.9918,529.8376,492.8426,512.64935,602.7346,676.7139,759.4817,1002.85455,1133.6075,1240.0714,1360.2935,1795.0306,0.019456552
5,0.0005270871,0.16195336,0.11572299,0.2285188,0.389233,1.0,1.8615267,2.816679,4.2483606,8.239892,13.244424,28.672024,58.364655,77.196724,92.57396,112.785095,138.98373,170.64227,204.28229,210.75899,212.00067,213.15779,231.59044,206.23027,191.8306,199.54004,234.60422,263.39938,295.61533,390.3441,441.23746,482.6767,529.4711,698.6852,0.007573132
6,0.00028314773,0.08700029,0.062165637,0.122758806,0.20909342,0.5371935,1.0,1.5131016,2.2821915,4.4264164,7.114818,15.402424,31.353111,41.469578,49.73013,60.587418,74.661156,91.667915,109.73911,113.21835,113.88538,114.50697,124.408875,110.78556,103.05015,107.191605,126.027855,141.49643,158.80263,209.69029,237.02988,259.29077,284.42844,375.32913,0.0040682373
7,0.00018713069,0.057497986,0.041084908,0.08113058,0.13818863,0.35502803,0.66089416,1.0,1.5082872,2.9253929,4.702142,10.179373,20.721088,27.407003,32.866352,40.041874,49.343124,60.58279,72.52594,74.825356,75.26618,75.676994,82.2211,73.21753,68.10524,70.84231,83.29108,93.51417,104.95173,138.5831,156.65167,171.36377,187.9771,248.05283,0.0026886743
8,0.00012406835,0.03812138,0.027239447,0.053789876,0.09161957,0.23538491,0.4381753,0.66300374,1.0,1.9395463,3.1175375,6.748962,13.738159,18.170944,21.790514,26.54791,32.714676,40.166615,48.08497,49.609486,49.90176,50.174126,54.512897,48.543495,45.15403,46.968716,55.22229,62.00024,69.58339,91.8811,103.86064,113.614815,124.62951,164.45995,0.001782601
9,6.396772e-05,0.019654792,0.014044235,0.027733225,0.04723763,0.12136081,0.22591639,0.34183443,0.51558447,1.0,1.6073539,3.47966,7.0831814,9.368657,11.234851,13.687691,16.867178,20.709284,24.791864,25.57788,25.728573,25.869001,28.106003,25.028273,23.280716,24.21634,28.471756,31.966362,35.876114,47.37247,53.548935,58.578033,64.25704,84.793,0.00091908145
10,3.9796905e-05,0.012228042,0.008737488,0.017253963,0.029388444,0.075503476,0.14055173,0.21266904,0.320766,0.6221405,1.0,2.1648374,4.406734,5.828621,6.9896555,8.515667,10.493754,12.884085,15.424023,15.913036,16.006788,16.094154,17.485884,15.571102,14.483876,15.065966,17.713432,19.887568,22.319984,29.472334,33.31496,36.443768,39.97691,52.75316,0.0005717978
11,1.8383324e-05,0.0056484803,0.0040360945,0.007970097,0.013575358,0.034877203,0.06492484,0.09823788,0.14817093,0.2873844,0.46192846,1.0,2.035596,2.692406,3.228721,3.9336288,4.847364,5.951525,7.124795,7.350684,7.3939905,7.4343476,8.077227,7.192735,6.6905146,6.9593983,8.182339,9.186634,10.310236,13.61411,15.389129,16.834414,18.46647,24.368185,0.00026412966
12,9.0309295e-06,0.0027748535,0.001982758,0.003915363,0.006668985,0.017133657,0.031894762,0.04826001,0.07278996,0.1411795,0.22692542,0.49125665,1.0,1.3226622,1.5861306,1.9324212,2.3812997,2.9237263,3.500103,3.6110725,3.632347,3.6521726,3.9679914,3.533479,3.2867599,3.4188507,4.019628,4.512995,5.064972,6.6880217,7.5600114,8.270018,9.071776,11.971033,0.00012975546
13,6.8278423e-06,0.0020979305,0.0014990661,0.0029602137,0.005042092,0.0129539175,0.024114063,0.036487024,0.055032913,0.10673889,0.17156717,0.37141502,0.7560509,1.0,1.1991954,1.4610088,1.8003838,2.210486,2.646256,2.7301545,2.7462392,2.7612283,3.0000033,2.67149,2.4849577,2.584825,3.0390437,3.4120538,3.8293765,5.0564847,5.7157536,6.252554,6.858725,9.05071,9.810173e-05
14,5.693686e-06,0.0017494484,0.0012500598,0.0024684998,0.0042045624,0.010802174,0.020108534,0.030426254,0.04589153,0.08900875,0.14306857,0.3097202,0.63046515,0.8338924,1.0,1.2183242,1.5013264,1.8433075,2.206693,2.2766552,2.2900681,2.3025675,2.5016801,2.2277353,2.0721874,2.155466,2.5342355,2.845286,3.193288,4.2165647,4.7663236,5.2139573,5.719439,7.5473185,8.180629e-05
15,4.6733753e-06,0.0014359466,0.0010260487,0.0020261435,0.003451103,0.00886642,0.016505077,0.024973858,0.037667748,0.073058344,0.11743062,0.2542182,0.5174855,0.68445855,0.8207996,1.0,1.2322881,1.512986,1.8112526,1.8686776,1.879687,1.8899465,2.053378,1.8285241,1.7008506,1.7692057,2.0800993,2.3354094,2.6210496,3.4609544,3.9121964,4.2796144,4.694513,6.194836,6.714657e-05
16,3.7924372e-06,0.0011652685,0.00083263696,0.0016442125,0.0028005652,0.0071950867,0.013393845,0.020266248,0.030567322,0.05928674,0.09529477,0.2062977,0.41993874,0.55543715,0.6660777,0.8114985,1.0,1.227786,1.4698288,1.5164292,1.5253632,1.5336888,1.6663133,1.4838446,1.3802377,1.4357078,1.6879976,1.8951813,2.126978,2.8085594,3.1747417,3.4729006,3.8095903,5.0271006,5.448934e-05
