Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,0.9478676,0.95149606,0.9741256,0.97520673,0.99017686,0.9970885,1.0005118,1.0028962,1.0051731,1.0042442,1.0020641,1.0004267,1.0002804,0.99921614,0.9992032,0.9979458,0.9989509,0.99693894,0.9949921,0.9935808,0.99181074,0.99127215,0.989384,0.9885578,0.989647,0.99359834,0.9934791,0.99097353,0.9936411,0.9920492,0.9917574,0.9870554,0.9904835,0.9290401
1,0.9478676,5.9604645e-08,0.009474456,0.014430523,0.017839193,0.039551497,0.04479319,0.049212277,0.053895712,0.060292363,0.06443077,0.068579435,0.07148969,0.07236558,0.07371968,0.07408208,0.07538998,0.07641035,0.07772267,0.07891852,0.08088839,0.08255923,0.08260834,0.08257288,0.08594358,0.08755922,0.08889133,0.090632915,0.0921613,0.08914518,0.09053028,0.09516513,0.09888387,0.10355818,0.9972915
2,0.95149606,0.009474456,0.0,0.008228421,0.02266848,0.04637009,0.06070918,0.070185065,0.07915348,0.09021413,0.0965575,0.10297626,0.10741246,0.1087271,0.11061841,0.111319244,0.11299378,0.11419916,0.115816236,0.11722165,0.11932236,0.12100053,0.120871544,0.12073219,0.12382418,0.1255995,0.12692392,0.12857354,0.12980592,0.12684256,0.12832367,0.13300067,0.13601977,0.14087719,0.9984652
3,0.9741256,0.014430523,0.008228421,0.0,0.009259939,0.022689939,0.03523767,0.044144988,0.05305749,0.06403059,0.070509315,0.07734156,0.082087815,0.08346611,0.08538389,0.086357415,0.08813667,0.08942646,0.09113389,0.09268105,0.09473562,0.09650338,0.09655738,0.096446574,0.09957671,0.10136926,0.10270971,0.104350924,0.105635405,0.10261667,0.10415161,0.10905415,0.11241424,0.11738491,0.9985061
4,0.97520673,0.017839193,0.02266848,0.009259939,5.9604645e-08,0.012096882,0.017416418,0.022548437,0.028328717,0.0360474,0.040790617,0.045968354,0.049778223,0.050838888,0.05252278,0.05327761,0.054709017,0.055863917,0.057331145,0.058713853,0.060657084,0.062316775,0.062491894,0.06244707,0.0655939,0.06721151,0.06861848,0.07049358,0.07202023,0.06883091,0.07025045,0.07522017,0.0791986,0.08415413,0.99474823
5,0.99017686,0.039551497,0.04637009,0.022689939,0.012096882,0.0,0.005771935,0.011837482,0.018289864,0.027168453,0.03265369,0.03912294,0.04370129,0.045036256,0.046745002,0.047964334,0.049679816,0.051073372,0.05281967,0.05429983,0.05601251,0.057823658,0.058333397,0.05814606,0.06132245,0.062907994,0.06424564,0.066286445,0.067974865,0.06491768,0.06627911,0.071347535,0.07607645,0.081038654,0.999
6,0.9970885,0.04479319,0.06070918,0.03523767,0.017416418,0.005771935,0.0,0.0026695728,0.0059739947,0.011413515,0.015199184,0.019828916,0.023420095,0.024359524,0.025802493,0.026873231,0.028382659,0.029492974,0.03085655,0.032120883,0.033655286,0.035591602,0.03621584,0.036173284,0.039445937,0.04092288,0.042480648,0.044581294,0.046465993,0.043265164,0.04465288,0.049832404,0.05505663,0.059798777,1.0004147
7,1.0005118,0.049212277,0.070185065,0.044144988,0.022548437,0.011837482,0.0026695728,5.9604645e-08,0.0018166304,0.0052940845,0.008155882,0.011839807,0.014752328,0.015592992,0.01681739,0.017794132,0.01909554,0.020144522,0.021424651,0.02248466,0.023958445,0.025770664,0.026522934,0.02663368,0.03008765,0.031516075,0.03298664,0.035287917,0.037190795,0.03391236,0.035234094,0.040230572,0.045376837,0.049936593,0.9971322
8,1.0028962,0.053895712,0.07915348,0.05305749,0.028328717,0.018289864,0.0059739947,0.0018166304,-1.1920929e-07,0.0018764138,0.0038214922,0.006648898,0.009145081,0.0098134875,0.010817409,0.011666656,0.012797713,0.013838887,0.0150078535,0.01602906,0.017477036,0.019263864,0.020052433,0.020264328,0.023730278,0.025117695,0.02662903,0.029009104,0.031102479,0.027822375,0.029110014,0.034138322,0.039226234,0.043887794,0.9999259
9,1.0051731,0.060292363,0.09021413,0.06403059,0.0360474,0.027168453,0.011413515,0.0052940845,0.0018764138,0.0,0.00094389915,0.0024172664,0.0040587783,0.0045306683,0.0052722692,0.0059548616,0.006837845,0.00770849,0.00874871,0.009654343,0.010965109,0.012643695,0.013449609,0.013833404,0.01742506,0.018806458,0.020334542,0.022705734,0.024907291,0.021576583,0.022801638,0.027695537,0.03296578,0.03743875,0.99918157
10,1.0042442,0.06443077,0.0965575,0.070509315,0.040790617,0.03265369,0.015199184,0.008155882,0.0038214922,0.00094389915,5.9604645e-08,0.0010657907,0.002340138,0.002695918,0.0032929778,0.0038551092,0.0045937896,0.0054340363,0.0064047575,0.007253349,0.008580685,0.010239363,0.011004567,0.011420608,0.015117884,0.016454339,0.01812905,0.020364106,0.022654891,0.0192886,0.02055031,0.025403678,0.030732334,0.035057187,0.9984264
11,1.0020641,0.068579435,0.10297626,0.07734156,0.045968354,0.03912294,0.019828916,0.011839807,0.006648898,0.0024172664,0.0010657907,0.0,0.0009738207,0.0011569858,0.0016034842,0.0020486116,0.0026604533,0.0033801198,0.004261732,0.0050040483,0.006249726,0.00783366,0.008591652,0.009039104,0.012789369,0.014091313,0.015813768,0.01804328,0.020448923,0.017134428,0.018442512,0.02340597,0.028828084,0.033004403,0.9987037
12,1.0004267,0.07148969,0.10741246,0.082087815,0.049778223,0.04370129,0.023420095,0.014752328,0.009145081,0.0040587783,0.002340138,0.0009738207,1.1920929e-07,0.0005867481,0.00096690655,0.0014361739,0.0019114614,0.0026506186,0.0033334494,0.0041172504,0.005326569,0.0069306493,0.007637739,0.008162439,0.011890054,0.013276696,0.015004754,0.017323792,0.01970458,0.016374707,0.01763755,0.022538304,0.027822196,0.031980395,0.9972291
13,1.0002804,0.07236558,0.1087271,0.08346611,0.050838888,0.045036256,0.024359524,0.015592992,0.0098134875,0.0045306683,0.002695918,0.0011569858,0.0005867481,0.0,0.0005528927,0.0010055304,0.001511395,0.002127707,0.0028876066,0.0035642982,0.004744172,0.0062894225,0.0070771575,0.007620573,0.011325479,0.012724221,0.01447463,0.016737461,0.019179761,0.015933394,0.01714003,0.022118628,0.027494669,0.03159231,0.9969828
14,0.99921614,0.07371968,0.11061841,0.08538389,0.05252278,0.046745002,0.025802493,0.01681739,0.010817409,0.0052722692,0.0032929778,0.0016034842,0.00096690655,0.0005528927,5.9604645e-08,0.00066149235,0.0011729598,0.0017881393,0.002558887,0.0032306314,0.0044584274,0.005993545,0.0067822337,0.007391095,0.011030912,0.012402654,0.014178038,0.016508877,0.018996656,0.015650034,0.016916513,0.021865427,0.027252734,0.031280637,0.9965856
15,0.9992032,0.07408208,0.111319244,0.086357415,0.05327761,0.047964334,0.026873231,0.017794132,0.011666656,0.0059548616,0.0038551092,0.0020486116,0.0014361739,0.0010055304,0.00066149235,0.0,0.0006532073,0.0013169646,0.0021372437,0.0028072,0.0040337443,0.005478859,0.00630486,0.007012427,0.010775328,0.012167275,0.013986409,0.016365945,0.018777072,0.015522897,0.0167135,0.02167964,0.027203858,0.031325042,0.9969059
16,0.9979458,0.07538998,0.11299378,0.08813667,0.054709017,0.049679816,0.028382659,0.01909554,0.012797713,0.006837845,0.0045937896,0.0026604533,0.0019114614,0.001511395,0.0011729598,0.0006532073,-1.1920929e-07,0.00082451105,0.0017302632,0.0023801923,0.0035170913,0.005023718,0.0058940053,0.006681919,0.010407567,0.011822283,0.013556182,0.015952647,0.018371642,0.015122473,0.016391516,0.021339,0.02659601,0.030655622,0.9944713
17,0.9989509,0.07641035,0.11419916,0.08942646,0.055863917,0.051073372,0.029492974,0.020144522,0.013838887,0.00770849,0.0054340363,0.0033801198,0.0026506186,0.002127707,0.0017881393,0.0013169646,0.00082451105,0.0,0.001058042,0.0016589165,0.0028697252,0.0043013096,0.0051864386,0.006087482,0.0097177625,0.0111884475,0.0130214095,0.015440702,0.017836332,0.014823973,0.01608318,0.021075606,0.026663005,0.030742228,0.9927646
18,0.99693894,0.07772267,0.115816236,0.09113389,0.057331145,0.05281967,0.03085655,0.021424651,0.0150078535,0.00874871,0.0064047575,0.004261732,0.0033334494,0.0028876066,0.002558887,0.0021372437,0.0017302632,0.001058042,0.0,0.0008804798,0.0020266175,0.0034987926,0.004314065,0.005376756,0.00880748,0.010179281,0.012257099,0.014747322,0.017067194,0.014287889,0.015616417,0.020597637,0.026266992,0.030445576,0.9901205
19,0.9949921,0.07891852,0.11722165,0.09268105,0.058713853,0.05429983,0.032120883,0.02248466,0.01602906,0.009654343,0.007253349,0.0050040483,0.0041172504,0.0035642982,0.0032306314,0.0028072,0.0023801923,0.0016589165,0.0008804798,5.9604645e-08,0.0013234615,0.002839446,0.003825605,0.0049783587,0.008414388,0.009749293,0.011790216,0.014304876,0.016619563,0.014057636,0.015304804,0.020209193,0.025985658,0.030101478,0.9866501
20,0.9935808,0.08088839,0.11932236,0.09473562,0.060657084,0.05601251,0.033655286,0.023958445,0.017477036,0.010965109,0.008580685,0.006249726,0.005326569,0.004744172,0.0044584274,0.0040337443,0.0035170913,0.0028697252,0.0020266175,0.0013234615,1.1920929e-07,0.0018582344,0.0031375885,0.0045108795,0.0078270435,0.0092304945,0.011436045,0.01403743,0.016504228,0.014162064,0.015426695,0.020241022,0.025880337,0.030057907,0.9816517
