Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,4416.1353,4611.7705,5694.6934,7710.446,10295.553,12821.202,15533.614,18155.324,22321.338,26808.252,33530.04,50088.348,54073.28,59131.215,67721.44,82113.98,99823.01,118156.07,131334.02,150972.0,168525.27,183684.88,180252.62,203123.52,215785.06,248119.4,285700.72,322226.7,359589.88,392573.7,427701.0,526661.4,599931.1,5392.7324
1,4416.1353,0.0,1507.4912,2756.3826,5399.8022,8061.3735,10651.887,13454.158,16110.969,20326.707,24946.518,31755.617,48232.77,52316.977,57624.027,66138.664,80692.05,98467.85,117008.25,130372.65,150227.0,167869.97,182954.61,179449.88,202269.62,215099.6,247157.53,284759.62,321274.44,358611.7,391736.8,426888.5,525539.75,598964.06,8058.5366
2,4611.7705,1507.4912,0.0,2280.3132,5157.466,7843.0254,10453.092,13326.467,16027.072,20287.344,24911.117,31736.074,48224.934,52318.64,57710.92,66228.52,80808.81,98549.85,117117.734,130484.41,150249.11,167906.72,183005.75,179518.1,202348.69,215182.4,247319.67,284918.22,321451.56,358752.0,391856.62,426947.44,525728.5,599171.6,8091.2935
3,5694.6934,2756.3826,2280.3132,0.0,4040.1172,6771.1143,9491.495,12461.373,15291.369,19611.139,24276.664,31226.902,47793.434,51841.86,57422.1,65975.17,80586.125,98333.2,116828.24,130192.375,149976.94,167703.72,182906.03,179358.97,202231.88,214997.81,247036.28,284595.34,321142.12,358433.97,391503.78,426607.0,525298.25,598727.8,8949.387
4,7710.446,5399.8022,5157.466,4040.1172,0.0,4656.5635,7823.7417,11161.619,14112.191,18552.7,23282.94,30401.54,47038.27,51155.895,56991.707,65598.69,80074.39,97875.7,116410.445,129775.09,149693.83,167482.2,182610.78,179026.86,201801.72,214564.34,246703.25,284158.84,320617.66,357918.1,391047.22,426119.62,524725.5,598254.94,10313.985
5,10295.553,8061.3735,7843.0254,6771.1143,4656.5635,0.0,5290.118,9288.246,12341.931,17007.027,21902.805,29021.703,45731.805,49888.992,55915.473,64550.906,79339.97,97196.92,115943.055,129537.12,149381.53,167114.0,182282.4,178589.78,201419.38,214217.34,246271.44,283790.94,320148.22,357528.72,390577.84,425614.2,524161.62,598008.06,12721.949
6,12821.202,10651.887,10453.092,9491.495,7823.7417,5290.118,0.0,6733.01,10276.252,15115.311,20322.902,27433.873,44367.707,48453.96,54769.117,63624.92,78753.984,96317.516,114956.68,128511.58,148386.62,166145.84,181409.34,177688.81,200419.03,213126.47,245286.55,282842.1,319189.38,356575.8,389607.44,424519.7,523669.75,597185.25,14957.517
7,15533.614,13454.158,13326.467,12461.373,11161.619,9288.246,6733.01,0.0,7643.8125,12932.59,18458.19,25921.637,42544.125,46849.43,53654.0,62464.945,77566.625,95270.445,114176.32,127523.01,147277.34,165089.75,180589.53,176838.19,199562.0,212311.66,244250.1,281987.72,318276.38,355611.56,388667.75,423565.94,522422.2,596030.75,17147.473
8,18155.324,16110.969,16027.072,15291.369,14112.191,12341.931,10276.252,7643.8125,0.0,9723.227,15778.02,23870.527,40962.562,45287.734,52256.527,61401.957,76550.85,94379.83,113207.47,126663.56,146405.02,164144.52,179734.25,176065.5,198759.81,211542.73,243343.08,281099.03,317472.8,354751.56,387801.66,422683.44,521567.84,595197.5,19302.797
9,22321.338,20326.707,20287.344,19611.139,18552.7,17007.027,15115.311,12932.59,9723.227,0.0,11586.602,20162.338,37528.7,42251.344,49475.23,58812.04,73971.47,91848.33,110666.125,124379.984,143728.81,161524.08,177175.69,173785.16,196566.03,209329.98,241246.55,278961.88,315314.62,352793.22,385584.0,420585.3,519510.0,593237.1,23215.592
10,26808.252,24946.518,24911.117,24276.664,23282.94,21902.805,20322.902,18458.19,15778.02,11586.602,0.0,16003.466,34193.74,39089.797,46704.363,56190.344,71289.516,89598.94,108466.77,122383.484,141788.97,159889.6,175311.47,171852.42,195081.45,207505.73,239747.47,277298.97,313910.84,351124.6,384046.16,418808.56,517525.12,591442.3,27564.562
