Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,831.3767,661.4727,959.7687,1317.4167,2112.0886,2959.3848,3660.6328,4550.041,6349.6562,7965.9766,11323.097,16867.033,19090.648,20965.594,23395.545,25986.521,28576.473,31434.713,32541.145,33267.93,32897.242,34280.92,32600.025,30837.977,31088.602,33734.617,36018.906,38322.65,46724.57,49275.35,47104.984,52403.67,56049.113,65.927376
1,831.3767,0.0,169.90399,128.39197,486.04004,1280.7119,2128.008,2829.256,3718.664,5518.28,7134.6,10491.72,16035.656,18259.271,20134.217,22564.168,25155.145,27745.096,30603.336,31709.768,32436.553,32065.865,33449.547,31768.648,30006.6,30257.225,32903.242,35187.53,37491.273,45893.195,48443.977,46273.61,51572.297,55217.734,831.416
2,661.4727,169.90399,0.0,298.29596,655.94403,1450.616,2297.912,2999.1602,3888.568,5688.1836,7304.504,10661.624,16205.561,18429.176,20304.121,22734.072,25325.049,27915.0,30773.24,31879.672,32606.457,32235.77,33619.45,31938.553,30176.504,30427.129,33073.145,35357.434,37661.176,46063.098,48613.88,46443.51,51742.2,55387.64,661.512
3,959.7687,128.39197,298.29596,0.0,357.64807,1152.32,1999.6161,2700.8643,3590.272,5389.8877,7006.208,10363.328,15907.265,18130.879,20005.824,22435.775,25026.752,27616.703,30474.943,31581.375,32308.16,31937.473,33321.152,31640.256,29878.207,30128.832,32774.848,35059.137,37362.88,45764.8,48315.582,46145.215,51443.902,55089.344,959.808
4,1317.4167,486.04004,655.94403,357.64807,0.0,794.6719,1641.968,2343.216,3232.624,5032.2397,6648.56,10005.68,15549.616,17773.23,19648.176,22078.129,24669.105,27259.055,30117.297,31223.727,31950.512,31579.824,32963.504,31282.61,29520.559,29771.184,32417.2,34701.49,37005.23,45407.152,47957.934,45787.566,51086.254,54731.695,1317.456
5,2112.0886,1280.7119,1450.616,1152.32,794.6719,0.0,847.29614,1548.5442,2437.9521,4237.568,5853.888,9211.008,14754.944,16978.559,18853.504,21283.457,23874.434,26464.383,29322.625,30429.055,31155.84,30785.152,32168.832,30487.938,28725.887,28976.512,31622.527,33906.816,36210.56,44612.48,47163.26,44992.895,50291.582,53937.023,2112.128
6,2959.3848,2128.008,2297.912,1999.6161,1641.968,847.29614,0.0,701.24805,1590.656,3390.2717,5006.592,8363.712,13907.648,16131.264,18006.209,20436.16,23027.137,25617.088,28475.328,29581.76,30308.545,29937.857,31321.537,29640.64,27878.592,28129.217,30775.232,33059.52,35363.26,43765.184,46315.965,44145.598,49444.285,53089.727,2959.424
7,3660.6328,2829.256,2999.1602,2700.8643,2343.216,1548.5442,701.24805,0.0,889.40796,2689.0237,4305.3438,7662.464,13206.4,15430.016,17304.96,19734.912,22325.889,24915.84,27774.08,28880.512,29607.297,29236.61,30620.29,28939.393,27177.344,27427.969,30073.984,32358.273,34662.016,43063.938,45614.72,43444.35,48743.04,52388.48,3660.672
8,4550.041,3718.664,3888.568,3590.272,3232.624,2437.9521,1590.656,889.40796,0.0,1799.6157,3415.936,6773.0557,12316.992,14540.607,16415.553,18845.504,21436.48,24026.432,26884.672,27991.104,28717.889,28347.201,29730.88,28049.984,26287.936,26538.56,29184.576,31468.865,33772.61,42174.53,44725.312,42554.945,47853.633,51499.07,4550.08
9,6349.6562,5518.28,5688.1836,5389.8877,5032.2397,4237.568,3390.2717,2689.0237,1799.6157,0.0,1616.3203,4973.44,10517.377,12740.992,14615.9375,17045.889,19636.865,22226.816,25085.057,26191.488,26918.273,26547.586,27931.266,26250.37,24488.32,24738.945,27384.96,29669.25,31972.992,40374.914,42925.695,40755.33,46054.016,49699.457,6349.696
10,7965.9766,7134.6,7304.504,7006.208,6648.56,5853.888,5006.592,4305.3438,3415.936,1616.3203,0.0,3357.1196,8901.057,11124.672,12999.617,15429.568,18020.545,20610.496,23468.736,24575.168,25301.953,24931.266,26314.945,24634.049,22872.0,23122.625,25768.64,28052.93,30356.672,38758.594,41309.375,39139.008,44437.695,48083.137,7966.016
11,11323.097,10491.72,10661.624,10363.328,10005.68,9211.008,8363.712,7662.464,6773.0557,4973.44,3357.1196,0.0,5543.9365,7767.552,9642.497,12072.448,14663.425,17253.375,20111.617,21218.047,21944.832,21574.145,22957.824,21276.93,19514.879,19765.504,22411.52,24695.809,26999.55,35401.473,37952.254,35781.887,41080.574,44726.016,11323.136
12,16867.033,16035.656,16205.561,15907.265,15549.616,14754.944,13907.648,13206.4,12316.992,10517.377,8901.057,5543.9365,0.0,2223.6152,4098.5605,6528.5117,9119.488,11709.439,14567.68,15674.111,16400.896,16030.209,17413.889,15732.992,13970.943,14221.568,16867.584,19151.873,21455.615,29857.537,32408.318,30237.951,35536.64,39182.08,16867.072
13,19090.648,18259.271,18429.176,18130.879,17773.23,16978.559,16131.264,15430.016,14540.607,12740.992,11124.672,7767.552,2223.6152,0.0,1874.9453,4304.8965,6895.873,9485.824,12344.064,13450.496,14177.281,13806.594,15190.273,13509.377,11747.328,11997.953,14643.969,16928.258,19232.0,27633.922,30184.703,28014.336,33313.023,36958.465,19090.688
14,20965.594,20134.217,20304.121,20005.824,19648.176,18853.504,18006.209,17304.96,16415.553,14615.9375,12999.617,9642.497,4098.5605,1874.9453,0.0,2429.9512,5020.9277,7610.879,10469.119,11575.551,12302.336,11931.648,13315.328,11634.432,9872.383,10123.008,12769.023,15053.3125,17357.055,25758.977,28309.758,26139.39,31438.078,35083.52,20965.633
15,23395.545,22564.168,22734.072,22435.775,22078.129,21283.457,20436.16,19734.912,18845.504,17045.889,15429.568,12072.448,6528.5117,4304.8965,2429.9512,0.0,2590.9766,5180.9277,8039.168,9145.6,9872.385,9501.697,10885.377,9204.48,7442.4316,7693.0566,10339.072,12623.361,14927.104,23329.025,25879.807,23709.44,29008.127,32653.568,23395.584
16,25986.521,25155.145,25325.049,25026.752,24669.105,23874.434,23027.137,22325.889,21436.48,19636.865,18020.545,14663.425,9119.488,6895.873,5020.9277,2590.9766,0.0,2589.9512,5448.1914,6554.623,7281.408,6910.7207,8294.4,6613.504,4851.455,5102.08,7748.0957,10032.385,12336.127,20738.049,23288.83,21118.463,26417.15,30062.592,25986.56
17,28576.473,27745.096,27915.0,27616.703,27259.055,26464.383,25617.088,24915.84,24026.432,22226.816,20610.496,17253.375,11709.439,9485.824,7610.879,5180.9277,2589.9512,0.0,2858.2402,3964.6719,4691.457,4320.7695,5704.449,4023.5527,2261.504,2512.129,5158.1445,7442.4336,9746.176,18148.098,20698.879,18528.512,23827.2,27472.64,28576.512
18,31434.713,30603.336,30773.24,30474.943,30117.297,29322.625,28475.328,27774.08,26884.672,25085.057,23468.736,20111.617,14567.68,12344.064,10469.119,8039.168,5448.1914,2858.2402,0.0,1106.4316,1833.2168,1462.5293,2846.209,1165.3125,596.7363,495.45602,2299.9043,4584.1934,6887.9355,15289.857,17840.639,15670.271,20968.959,24614.4,31434.752
19,32541.145,31709.768,31879.672,31581.375,31223.727,30429.055,29581.76,28880.512,27991.104,26191.488,24575.168,21218.047,15674.111,13450.496,11575.551,9145.6,6554.623,3964.6719,1106.4316,0.0,726.78516,356.09766,1739.7773,391.12604,1703.168,1452.543,1193.4727,3477.7617,5781.504,14183.426,16734.207,14563.84,19862.527,23507.969,32541.184
