Layer,Value
0,20.692516994476318
1,20.692517471313476
2,20.69251718521118
3,20.692517375946046
4,20.692517471313476
5,20.69253807067871
6,20.69257526397705
7,20.69249897003174
8,20.681806755065917
9,19.430058479309082
10,17.78162908554077
11,14.98314323425293
12,14.64799451828003
13,14.196612358093262
14,13.018002462387084
15,12.653665113449097
16,11.974818420410156
17,11.557363510131836
18,8.440858793258666
19,7.19900414943695
20,5.283136796951294
21,2.919793725013733
22,1.786556401848793
23,1.332342877984047
24,0.09098022095276974
25,0.1684380678634625
26,0.21251662902359386
27,0.05320767779339804
28,0.07824797169887461
29,0.0717263994491077
30,0.025616322488349396
31,0.02201722492900444
32,0.0037160327963647434
33,0.0031275599991204216
