Layer,SVD_Entropy_O_Proj
0,0.9341944456100464
1,0.9514470100402832
2,0.959544837474823
3,0.9580888152122498
4,0.9585782289505005
5,0.9653748869895935
6,0.9658089280128479
7,0.9599653482437134
8,0.9631285071372986
9,0.95899498462677
10,0.9592271447181702
11,0.9550794959068298
12,0.961028516292572
13,0.9589897394180298
14,0.9570267796516418
15,0.965050220489502
16,0.9641265869140625
17,0.9644090533256531
18,0.9693445563316345
19,0.9681442379951477
20,0.9700221419334412
21,0.9711793661117554
22,0.9657726883888245
23,0.9637468457221985
