Layer,Spectral_Norm
0,8.30281737115648
1,6.435077879163954
2,5.081106414397557
3,5.032588647471534
4,5.017275124788284
5,4.9886365334192915
6,5.348852879471249
7,4.5751184324423475
8,4.672923266887665
9,4.352019011974335
10,4.209189191460609
11,4.202864128682348
12,4.224075597193506
13,4.123598489496443
14,4.079868513676855
15,4.174645569589403
16,4.189520516329342
17,4.248596436447567
18,4.369614203770955
19,4.39572213921282
20,4.1881851851940155
21,4.357400071289804
22,5.034863312211302
23,6.34536239835951
