Layer,Frobenius_Norm
0,36.479690604739716
1,40.526531828774345
2,37.49532796608077
3,36.96492003732257
4,37.23411563038826
5,37.937043799294365
6,37.59875124692917
7,36.52962440583441
8,37.05200103256438
9,36.5764644742012
10,36.76474431322681
11,36.65523273415036
12,36.98115877641572
13,36.791655480861664
14,36.312517975767456
15,36.4753664980332
16,36.240114541517364
17,35.61204577154584
18,35.628412407305504
19,35.47734251783954
20,35.41770598457919
21,35.41320649617248
22,35.27528503123257
23,33.08190737830268
