Layer,Effective_Rank
0,982.9563407897949
1,1130.837432437473
2,1253.669116973877
3,1251.9501249525283
4,1258.0870679219563
5,1256.4774640401204
6,1268.620780520969
7,1258.3347379896377
8,1248.0675290425618
9,1220.299024793837
10,1221.9653884039985
11,1215.681911892361
12,1231.6629316541885
13,1237.20945570204
14,1234.7718853420681
15,1264.100676642524
16,1263.169587029351
17,1237.1760694715713
18,1255.1039581298828
19,1257.031566619873
20,1273.7936176723904
21,1286.081206003825
22,1283.0901217990452
23,1288.5255067613389
