Layer,SVD_Entropy_O_Proj
0,0.9438139200210571
1,0.9314452409744263
2,0.944035530090332
3,0.9487590789794922
4,0.9499145150184631
5,0.9544582962989807
6,0.9572389125823975
7,0.9584845900535583
8,0.9622295498847961
9,0.9624795317649841
10,0.9617001414299011
11,0.9614575505256653
12,0.9641938209533691
13,0.9658244848251343
14,0.9656320810317993
15,0.9675019383430481
16,0.9677086472511292
17,0.967424750328064
18,0.9673370122909546
19,0.9673629403114319
20,0.9671198725700378
21,0.9650747179985046
22,0.9633802771568298
23,0.9609163999557495
24,0.9584898948669434
25,0.9488295912742615
26,0.9176338315010071
27,0.9731932282447815
28,0.9755728244781494
29,0.9762011170387268
30,0.9714022278785706
31,0.9661365747451782
32,0.9748368859291077
33,0.9691441059112549
