Layer,Effective_Rank
0,1211.4652181772085
1,1236.7925602839543
2,1262.4962674654448
3,1294.7584017240083
4,1311.0332688551682
5,1310.154536320613
6,1333.2034020057092
7,1338.9443500225361
8,1350.4205791766826
9,1344.3387216421274
10,1349.111088679387
11,1333.8935077373799
12,1346.618919959435
13,1361.15134371244
14,1363.791006234976
15,1356.8895075871394
16,1365.7042846679688
17,1346.831082857572
18,1380.9010009765625
19,1371.177499624399
20,1376.1985426682693
21,1380.1998760516826
22,1375.7579956054688
23,1352.1583017202524
24,1386.4196120042068
25,1375.6556208683894
26,1329.3548020582932
27,1762.918247767857
28,1784.0482177734375
29,1701.3266775948662
30,1706.8131452287946
31,1763.7055925641741
32,1773.2186366489955
33,1774.219735281808
