Layer,SVD_Entropy_O_Proj
0,0.9580479264259338
1,0.9733473658561707
2,0.9764895439147949
3,0.982509434223175
4,0.9780164957046509
5,0.9776694774627686
6,0.9742080569267273
7,0.9750684499740601
8,0.9770586490631104
9,0.9779927730560303
10,0.9786888360977173
11,0.9741668701171875
12,0.9753797650337219
13,0.9755576848983765
14,0.9717627167701721
15,0.974430501461029
16,0.9717265963554382
17,0.9732310175895691
18,0.9725582599639893
19,0.9747391939163208
20,0.9740991592407227
21,0.9804581999778748
22,0.9740412831306458
23,0.9788742065429688
24,0.975419819355011
25,0.9782885909080505
26,0.9776415228843689
27,0.9778512120246887
28,0.9739643931388855
29,0.9693202376365662
30,0.9725342988967896
31,0.9422240853309631
