Layer,Spectral_Norm
0,3.362152796902069
1,3.2690348714998323
2,3.445112489674189
3,3.5814205783687227
4,3.4403145190787643
5,3.533569479641849
6,3.4338449158080637
7,3.5209471518046236
8,3.372869103738706
9,3.581940619096364
10,3.572833191858579
11,3.3338958637355125
12,3.477480324980331
13,3.457002396452917
14,3.434570715035478
15,3.5528791824432266
16,3.749749968636711
17,3.7637249118876905
18,3.8927468601262794
19,3.851574868526099
20,3.8583335853972525
21,3.897622567302776
22,3.8291384701458915
23,3.9189335062818706
24,3.8098730703569808
25,3.82938851275534
26,3.9053081094094044
27,4.108667025026286
28,4.56208725470417
29,4.517593289321324
30,4.8587655458810195
31,6.256845442753918
