Layer,Frobenius_Norm
0,20.621471607521787
1,22.275490724877134
2,23.04693652832345
3,23.10235537568184
4,23.09525789626657
5,23.19048467074355
6,23.408213243092575
7,23.311612886925268
8,23.474770464309273
9,23.222533542815953
10,23.45687009210456
11,23.245152950286865
12,23.09638538099315
13,23.228922354031916
14,23.17177584073315
15,23.129991031672855
16,23.97964863507253
17,24.326290238578366
18,24.355798433411795
19,24.650100833964796
20,24.554618196667366
21,25.0759712255226
22,24.803373903598427
23,25.24695237177723
24,25.305799898111594
25,25.301817763526486
26,25.29889766225275
27,25.131900922307427
28,25.39482545852661
29,25.41203513235416
30,25.1866910592565
31,25.84102242397812
