Layer,Effective_Rank
0,412.26516291213363
1,435.51870710555824
2,436.605141861798
3,440.69277899885833
4,442.88284785126984
5,442.36799127761634
6,443.05596181137923
7,443.39708466725807
8,444.51496942075966
9,442.058465702893
10,443.6472844946874
11,444.60005564885597
12,443.57358909633064
13,444.6728218026357
14,442.20527187765464
15,442.4782269294948
16,467.088697397484
17,467.39953262401076
18,467.65954113906287
19,468.4445933126054
20,469.9636040813518
21,470.81890395002546
22,470.3353464378501
23,470.6610311472191
24,472.3952667038396
25,473.4951994284144
26,471.3507841668039
27,471.5096517059038
28,471.50390038400326
29,469.03733459508646
30,468.953978439547
31,434.91670694891013
