Layer,Logit_Lens_KL,Top1_Match_Rate
0,6.2109375,0.0625
1,7.6015625,0.0625
2,7.728515625,0.0625
3,7.1328125,0.0625
4,7.310546875,0.0625
5,6.646484375,0.0625
6,8.345703125,0.0
7,8.525390625,0.0
8,8.392578125,0.0
9,7.966796875,0.0
10,8.05078125,0.015625
11,8.087890625,0.015625
12,8.099609375,0.015625
13,7.99609375,0.0
14,8.126953125,0.0
15,7.916015625,0.0
16,7.88671875,0.015625
17,7.4453125,0.109375
18,7.634765625,0.203125
19,8.83984375,0.203125
20,10.044921875,0.1875
21,7.796875,0.25
22,5.26171875,0.296875
23,1.634765625,0.125
