Layer,Logit_Lens_KL,Top1_Match_Rate
0,4.804845541715622,0.0
1,4.363673508167267,0.0
2,4.0695043206214905,0.0
3,4.213955521583557,0.0
4,5.037730395793915,0.0
5,4.298363417387009,0.0
6,4.343839317560196,0.0
7,4.272981494665146,0.0
8,5.138006627559662,0.0
9,4.087900727987289,0.0
10,3.517474338412285,0.0
11,3.4971268326044083,0.0
12,3.465282380580902,0.0
13,3.395061746239662,0.0
14,3.378254070878029,0.0
15,3.382508009672165,0.0
16,3.3747891038656235,0.0
17,3.314945951104164,0.0
18,3.3051512837409973,0.0
19,3.231328472495079,0.0
20,3.192964345216751,0.0
21,3.1469614803791046,0.00390625
22,3.101499229669571,0.00390625
23,3.0632907450199127,0.00390625
24,3.0436687022447586,0.00390625
25,3.0449167788028717,0.00390625
26,2.909994661808014,0.01171875
27,2.725374788045883,0.0078125
28,1.6774750649929047,0.11328125
29,0.9662117995321751,0.2578125
30,0.25164555571973324,0.46484375
31,2.189207971096039,0.63671875
