Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,4418.877,4601.2227,5711.5977,7687.1016,10318.057,12889.4,15653.534,17940.293,22589.17,27628.977,35137.516,51013.72,55192.71,60488.547,68295.97,82394.984,97913.97,113315.26,127274.17,143335.7,166186.12,179495.94,175795.56,196279.4,217371.12,247650.8,293979.8,333645.7,378722.2,421309.22,469785.44,531674.9,583885.1,6375.981
1,4418.877,0.0,1475.3152,2773.8706,5392.783,8086.017,10725.34,13565.865,15889.02,20630.602,25795.945,33361.54,49182.656,53475.492,59086.934,66760.33,81092.625,96574.09,112126.375,126239.27,142489.62,165468.47,178737.69,175054.66,195487.25,216674.33,246805.97,293314.8,333240.12,378223.25,420870.44,468846.28,530551.06,583200.0,9049.102
2,4601.2227,1475.3152,0.0,2307.6997,5155.468,7864.2715,10534.313,13443.65,15815.184,20597.582,25749.305,33333.46,49174.85,53468.16,59128.516,66811.94,81201.19,96673.63,112232.305,126348.11,142560.69,165485.16,178809.42,175101.81,195551.4,216688.7,246964.42,293378.3,333317.66,378306.97,420950.03,468948.94,530700.06,583380.2,9060.618
3,5711.5977,2773.8706,2307.6997,0.0,4033.201,6803.532,9570.417,12594.624,15101.696,19898.215,25124.477,32815.56,48705.523,53004.453,58863.996,66633.67,80995.79,96487.36,112031.625,126155.89,142377.53,165304.25,178711.67,174928.77,195453.44,216569.06,246737.03,293207.44,333083.4,378085.0,420695.6,468782.6,530431.06,583241.1,9974.707
4,7687.1016,5392.783,5155.468,4033.201,0.0,4694.66,7889.375,11284.668,13966.325,18796.23,24149.04,31957.201,48035.05,52314.438,58400.44,66236.39,80494.64,95977.36,111670.54,125747.66,142036.69,164954.56,178341.94,174597.33,195070.1,216103.72,246291.47,292859.2,332723.88,377765.5,420327.75,468341.88,530056.6,582709.3,11296.305
5,10318.057,8086.017,7864.2715,6803.532,4694.66,0.0,5355.453,9336.809,12171.553,17223.54,22728.09,30539.676,46768.586,51110.5,57327.773,65246.945,79691.67,95320.46,111258.45,125439.2,141703.53,164495.61,177959.17,174136.36,194573.14,215602.94,245791.61,292288.88,332379.72,377316.06,419930.4,467795.8,529609.94,582339.6,13577.299
6,12889.4,10725.34,10534.313,9570.417,7889.375,5355.453,0.0,6764.0786,10049.547,15284.143,21086.344,28912.383,45268.266,49608.98,56097.863,64302.543,79006.914,94481.07,110357.805,124430.89,140894.47,163552.39,177214.81,173325.67,193532.84,214405.34,244613.06,291093.16,331219.0,376141.34,418657.62,466541.25,528602.25,581408.1,15808.957
7,15653.534,13565.865,13443.65,12594.624,11284.668,9336.809,6764.0786,0.0,7505.0093,13040.791,19208.586,27362.906,43454.438,48038.977,54856.375,63201.938,77802.26,93439.805,109452.26,123404.17,139819.36,162464.72,176170.94,172355.61,192595.94,213660.12,243882.38,290405.2,330332.2,375324.56,418016.06,465733.2,527670.0,580687.94,17885.273
8,17940.293,15889.02,15815.184,15101.696,13966.325,12171.553,10049.547,7505.0093,0.0,9805.276,16452.992,25284.387,41782.258,46303.027,53522.5,61928.68,76822.54,92479.21,108287.98,122319.14,138693.47,161545.16,175171.61,171407.19,191429.22,212652.72,242909.34,289510.25,329404.2,374511.25,417299.06,464963.88,526863.25,579887.0,19863.223
9,22589.17,20630.602,20597.582,19898.215,18796.23,17223.54,15284.143,13040.791,9805.276,0.0,12208.219,21450.785,38265.64,43038.82,50668.336,59385.426,74312.016,89933.164,105950.97,120034.305,136352.58,159105.81,173034.19,169272.45,189448.84,210824.66,240872.28,287749.94,327590.25,372649.75,415488.7,462899.62,524834.56,577927.56,24193.422
10,27628.977,25795.945,25749.305,25124.477,24149.04,22728.09,21086.344,19208.586,16452.992,12208.219,0.0,16867.93,34457.164,39687.652,47716.13,56709.188,71669.06,87568.44,103601.49,117976.81,134051.66,156959.95,170973.69,166945.69,187427.47,208577.81,238803.38,285656.53,325466.62,370473.2,413388.06,460822.62,522736.1,575634.5,28879.342
11,35137.516,33361.54,33333.46,32815.56,31957.201,30539.676,28912.383,27362.906,25284.387,21450.785,16867.93,0.0,27702.055,33943.96,42505.203,52027.992,67345.234,83016.09,99543.695,113688.06,129584.23,152535.9,166562.64,162292.81,182898.75,204163.58,234596.97,281383.94,321297.3,366239.9,409061.25,456602.66,518143.94,571295.25,35971.54
12,51013.72,49182.656,49174.85,48705.523,48035.05,46768.586,45268.266,43454.438,41782.258,38265.64,34457.164,27702.055,0.0,25308.318,36184.02,47861.945,62039.094,78222.78,93074.97,108387.83,124280.16,146544.1,160643.88,157546.56,178035.77,199282.75,229370.3,277057.88,316399.97,361909.25,404065.1,452262.8,513687.12,566600.5,51429.656
13,55192.71,53475.492,53468.16,53004.453,52314.438,51110.5,49608.98,48038.977,46303.027,43038.82,39687.652,33943.96,25308.318,0.0,27919.125,41359.32,56491.727,72458.12,88724.23,103335.625,119399.766,141902.17,156859.52,153233.98,173835.19,195342.27,226039.67,272868.44,312817.2,358469.0,400498.88,448877.62,510199.06,562679.25,55349.61
