Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,315.97116,218.1292,435.70947,762.0272,1944.3412,3644.6714,5466.8564,8331.601,16008.622,25068.404,50391.35,111620.5,142879.53,172268.9,214485.66,264749.5,320476.06,388241.94,416558.53,436414.8,428038.3,465393.66,421373.6,379818.88,387114.9,457455.7,523766.06,595789.5,879344.9,980275.1,905095.6,1.1328141e+06,1.3065254e+06,9.15887
1,315.97116,0.0,14.082483,20.183878,113.80586,753.4264,1908.1198,3280.224,5572.8726,12090.781,20109.834,43263.094,100892.805,130712.65,158899.11,199536.66,248131.2,302180.06,368104.06,395717.8,415123.88,406996.94,443441.9,400502.56,360094.7,367233.6,435842.84,500662.75,571173.56,849265.9,948551.4,874782.5,1.0990145e+06,1.2703858e+06,325.0924
2,218.1292,14.082483,0.0,42.186985,183.05774,919.4935,2186.0698,3651.8,6063.6206,12821.567,21055.418,44654.285,103020.56,133135.84,161572.67,202534.86,251474.67,305868.1,372173.94,399936.34,419438.84,411262.94,447890.5,404729.03,364084.72,371259.56,440222.1,505346.06,576161.25,855364.9,954991.0,880940.8,1.1058702e+06,1.2777296e+06,226.97159
3,435.70947,20.183878,42.186985,0.0,56.04995,580.83356,1648.2922,2951.1436,5157.459,11498.157,19357.812,42178.035,99251.39,128849.875,156855.25,197255.16,245597.45,299390.4,365036.94,392550.7,411889.7,403804.53,440108.25,397334.12,357099.06,364219.03,432561.16,497147.7,567416.2,844658.1,943694.2,870157.7,1.093835e+06,1.2648615e+06,444.14297
4,762.0272,113.80586,183.05774,56.04995,0.0,301.09882,1130.8939,2237.5417,4195.0767,10033.951,17442.033,39325.44,94850.35,123828.08,151314.42,191035.25,238653.3,291723.12,356570.97,383777.38,402916.2,394932.3,430848.1,388540.1,348792.9,355839.44,423438.3,487388.4,557009.4,831897.94,930217.7,857287.4,1.079482e+06,1.249499e+06,770.08844
5,1944.3412,753.4264,919.4935,580.83356,301.09882,0.0,295.52545,967.46844,2372.7886,7096.6562,13504.289,33312.42,85388.49,112990.086,139321.86,177547.28,223573.95,275047.5,338143.34,364682.03,383372.03,375632.56,410697.38,369414.1,330759.75,337653.94,403594.06,466127.16,534304.7,803972.9,900708.8,829142.94,1.0480649e+06,1.215859e+06,1952.482
6,3644.6714,1908.1198,2186.0698,1648.2922,1130.8939,295.52545,0.0,207.8372,1020.85126,4550.198,9886.088,27469.566,75872.26,101998.51,127095.766,163718.23,208036.9,257789.38,318983.3,344789.0,362992.88,355514.7,389668.2,349493.75,312004.0,318726.72,382918.53,443938.2,510586.44,774683.7,869736.2,799618.0,1.0150596e+06,1.1804418e+06,3652.6938
7,5466.8564,3280.224,3651.8,2951.1436,2237.5417,967.46844,207.8372,0.0,325.13385,2864.237,7312.8936,23056.805,68414.03,93325.03,117396.15,152691.19,195588.7,243922.92,303553.06,328743.2,346547.75,339268.06,372674.06,333425.53,296912.03,303493.5,366220.53,426005.94,491381.34,750868.1,844517.0,775564.4,988071.5,1.15144e+06,5473.059
8,8331.601,5572.8726,6063.6206,5157.459,4195.0767,2372.7886,1020.85126,325.13385,0.0,1285.6779,4606.6064,18016.488,59521.99,82887.46,105655.266,139263.64,180359.67,226900.42,284543.75,308969.28,326271.06,319252.56,351703.38,313624.44,278332.7,284735.4,345619.53,403830.1,467617.1,721275.1,813151.06,745707.5,954507.8,1.1153848e+06,8338.541
9,16008.622,12090.781,12821.567,11498.157,10033.951,7096.6562,4550.198,2864.237,1285.6779,0.0,1049.4747,9733.448,43432.043,63673.836,83807.07,114003.95,151452.36,194343.83,247968.25,270835.84,287103.03,280600.6,311113.06,275411.3,242611.0,248659.0,305809.12,360814.2,421362.8,663203.9,751483.1,687056.3,888411.1,1.044155e+06,16014.211
10,25068.404,20109.834,21055.418,19357.812,17442.033,13504.289,9886.088,7312.8936,4606.6064,1049.4747,0.0,4452.0186,31143.379,48577.566,66343.02,93470.3,127638.836,167261.6,217275.16,238744.1,254100.4,248069.2,276830.84,243252.17,212698.45,218419.78,272246.0,324344.25,381992.94,613218.56,698289.94,636581.94,831243.2,982362.3,25073.105
11,50391.35,43263.094,44654.285,42178.035,39325.44,33312.42,27469.566,23056.805,18016.488,9733.448,4452.0186,0.0,12162.362,23763.66,36618.22,57379.664,84751.54,117570.42,160087.77,178642.22,192077.8,187010.27,212148.03,182976.53,157069.08,162117.05,209001.47,255110.28,306740.3,515959.06,594372.25,538376.75,719163.6,860702.0,50396.227
12,111620.5,100892.805,103020.56,99251.39,94850.35,85388.49,75872.26,68414.03,59521.99,43432.043,31143.379,12162.362,0.0,2075.2715,6822.4585,17093.654,33217.4,54832.062,84907.87,98697.77,108971.92,105531.875,124663.05,102796.234,84539.375,88521.69,123926.86,160187.61,201820.9,374647.56,442006.3,395360.25,553059.56,678822.8,111622.31
13,142879.53,130712.65,133135.84,128849.875,123828.08,112990.086,101998.51,93325.03,82887.46,63673.836,48577.566,23763.66,2075.2715,0.0,1546.9797,7599.6875,19232.996,36297.4,61434.49,73255.5,82249.27,79431.234,96195.72,77262.45,62069.836,65620.2,96424.37,128687.04,166341.19,324612.44,387499.94,344673.56,493209.9,612601.5,142880.16
14,172268.9,158899.11,161572.67,156855.25,151314.42,139321.86,127095.766,117396.15,105655.266,83807.07,66343.02,36618.22,6822.4585,1546.9797,0.0,2565.3953,10398.825,23657.314,44604.42,54799.168,62749.7,60472.6,75211.85,58781.24,46146.05,49313.945,76242.18,105195.586,139499.83,285384.1,344578.56,304907.7,445665.5,559650.25,172268.78
15,214485.66,199536.66,202534.86,197255.16,191035.25,177547.28,163718.23,152691.19,139263.64,114003.95,93470.3,57379.664,17093.654,7599.6875,2565.3953,0.0,2954.604,11295.662,26822.95,34908.926,41473.113,39850.29,51980.15,38818.84,29615.062,32315.344,54231.023,78881.83,108755.516,238740.88,293025.5,257489.47,388289.8,495452.66,214485.47
16,264749.5,248131.2,251474.67,245597.45,238653.3,223573.95,208036.9,195588.7,180359.67,151452.36,127638.836,84751.54,33217.4,19232.996,10398.825,2954.604,0.0,3139.4604,12893.192,18710.102,23731.252,22902.56,32249.926,22582.059,16956.959,19159.453,35621.477,55638.78,80818.59,193691.48,242855.4,211714.92,331422.12,431076.66,264742.47
17,320476.06,302180.06,305868.1,299390.4,291723.12,275047.5,257789.38,243922.92,226900.42,194343.83,167261.6,117570.42,54832.062,36297.4,23657.314,11295.662,3139.4604,0.0,3993.9106,7502.5127,11079.645,10956.422,17485.184,11369.251,9300.748,11027.778,22127.67,37495.582,57931.438,153850.23,197796.38,171132.22,280377.34,372641.4,320460.8
18,388241.94,368104.06,372173.94,365036.94,356570.97,338143.34,318983.3,303553.06,284543.75,247968.25,217275.16,160087.77,84907.87,61434.49,44604.42,26822.95,12893.192,3993.9106,0.0,1206.6729,3076.9126,3823.6382,7161.914,5028.202,6810.1123,7893.464,13168.521,23426.684,38555.082,115698.984,153958.81,132187.94,229547.47,313716.2,388217.3
19,416558.53,395717.8,399936.34,392550.7,383777.38,364682.03,344789.0,328743.2,308969.28,270835.84,238744.1,178642.22,98697.77,73255.5,54799.168,34908.926,18710.102,7502.5127,1206.6729,0.0,1360.0375,2476.0432,4722.932,4185.677,7541.6045,8369.461,11251.185,19495.287,32552.2,102468.04,138362.95,118426.21,211205.78,292045.4,416522.2
20,436414.8,415123.88,419438.84,411889.7,402916.2,383372.03,362992.88,346547.75,326271.06,287103.03,254100.4,192077.8,108971.92,82249.27,62749.7,41473.113,23731.252,11079.645,3076.9126,1360.0375,0.0,1646.7051,3293.7156,4000.8171,8337.409,9064.725,10466.9,17404.496,29210.209,94339.7,128732.984,109978.98,199390.19,278123.84,436359.9
21,428038.3,406996.94,411262.94,403804.53,394932.3,375632.56,355514.7,339268.06,319252.56,280600.6,248069.2,187010.27,105531.875,79431.234,60472.6,39850.29,22902.56,10956.422,3823.6382,2476.0432,1646.7051,0.0,2536.1738,3030.7334,7043.772,7920.8,9939.053,17614.639,29872.838,97613.6,132685.11,113349.7,204021.88,283799.06,427957.94
22,465393.66,443441.9,447890.5,440108.25,430848.1,410697.38,389668.2,372674.06,351703.38,311113.06,276830.84,212148.03,124663.05,96195.72,75211.85,51980.15,32249.926,17485.184,7161.914,4722.932,3293.7156,2536.1738,0.0,3000.1675,8819.396,9453.143,8539.87,13598.352,23337.072,82009.32,114257.984,97270.98,182337.03,258661.6,465297.94
23,421373.6,400502.56,404729.03,397334.12,388540.1,369414.1,349493.75,333425.53,313624.44,275411.3,243252.17,182976.53,102796.234,77262.45,58781.24,38818.84,22582.059,11369.251,5028.202,4185.677,4000.8171,3030.7334,3000.1675,0.0,3678.3828,4679.5747,7236.0337,15342.419,27764.088,97165.13,132649.4,112811.21,204474.1,285746.8,421254.1
24,379818.88,360094.7,364084.72,357099.06,348792.9,330759.75,312004.0,296912.03,278332.7,242611.0,212698.45,157069.08,84539.375,62069.836,46146.05,29615.062,16956.959,9300.748,6810.1123,7541.6045,8337.409,7043.772,8819.396,3678.3828,0.0,1386.0785,7267.9023,17792.63,33316.55,114374.29,153215.1,130419.9,228775.45,315177.3,379643.6
25,387114.9,367233.6,371259.56,364219.03,355839.44,337653.94,318726.72,303493.5,284735.4,248659.0,218419.78,162117.05,88521.69,65620.2,49313.945,32315.344,19159.453,11027.778,7893.464,8369.461,9064.725,7920.8,9453.143,4679.5747,1386.0785,0.0,5589.6606,15234.55,29990.89,109539.836,147844.55,125234.234,222579.92,308033.94,386911.94
26,457455.7,435842.84,440222.1,432561.16,423438.3,403594.06,382918.53,366220.53,345619.53,305809.12,272246.0,209001.47,123926.86,96424.37,76242.18,54231.023,35621.477,22127.67,13168.521,11251.185,10466.9,9939.053,8539.87,7236.0337,7267.9023,5589.6606,0.0,5214.9097,14962.705,76917.234,109724.96,91423.05,176585.03,253482.4,457173.84
27,523766.06,500662.75,505346.06,497147.7,487388.4,466127.16,443938.2,426005.94,403830.1,360814.2,324344.25,255110.28,160187.61,128687.04,105195.586,78881.83,55638.78,37495.582,23426.684,19495.287,17404.496,17614.639,13598.352,15342.419,17792.63,15234.55,5214.9097,0.0,5760.9443,52811.51,81038.8,66324.58,141698.9,212204.3,523420.9
28,595789.5,571173.56,576161.25,567416.2,557009.4,534304.7,510586.44,491381.34,467617.1,421362.8,381992.94,306740.3,201820.9,166341.19,139499.83,108755.516,80818.59,57931.438,38555.082,32552.2,29210.209,29872.838,23337.072,27764.088,33316.55,29990.89,14962.705,5760.9443,0.0,32257.791,55158.855,44081.676,109058.73,173287.34,595365.4
29,879344.9,849265.9,855364.9,844658.1,831897.94,803972.9,774683.7,750868.1,721275.1,663203.9,613218.56,515959.06,374647.56,324612.44,285384.1,238740.88,193691.48,153850.23,115698.984,102468.04,94339.7,97613.6,82009.32,97165.13,114374.29,109539.836,76917.234,52811.51,32257.791,0.0,6622.552,9737.76,39394.906,78475.89,878842.2
30,980275.1,948551.4,954991.0,943694.2,930217.7,900708.8,869736.2,844517.0,813151.06,751483.1,698289.94,594372.25,442006.3,387499.94,344578.56,293025.5,242855.4,197796.38,153958.81,138362.95,128732.984,132685.11,114257.984,132649.4,153215.1,147844.55,109724.96,81038.8,55158.855,6622.552,0.0,6932.431,25166.988,57488.77,979693.8
31,905095.6,874782.5,880940.8,870157.7,857287.4,829142.94,799618.0,775564.4,745707.5,687056.3,636581.94,538376.75,395360.25,344673.56,304907.7,257489.47,211714.92,171132.22,132187.94,118426.21,109978.98,113349.7,97270.98,112811.21,130419.9,125234.234,91423.05,66324.58,44081.676,9737.76,6932.431,0.0,25717.957,63340.176,904417.4
32,1.1328141e+06,1.0990145e+06,1.1058702e+06,1.093835e+06,1.079482e+06,1.0480649e+06,1.0150596e+06,988071.5,954507.8,888411.1,831243.2,719163.6,553059.56,493209.9,445665.5,388289.8,331422.12,280377.34,229547.47,211205.78,199390.19,204021.88,182337.03,204474.1,228775.45,222579.92,176585.03,141698.9,109058.73,39394.906,25166.988,25717.957,0.0,20520.203,1.1318528e+06
33,1.3065254e+06,1.2703858e+06,1.2777296e+06,1.2648615e+06,1.249499e+06,1.215859e+06,1.1804418e+06,1.15144e+06,1.1153848e+06,1.044155e+06,982362.3,860702.0,678822.8,612601.5,559650.25,495452.66,431076.66,372641.4,313716.2,292045.4,278123.84,283799.06,258661.6,285746.8,315177.3,308033.94,253482.4,212204.3,173287.34,78475.89,57488.77,63340.176,20520.203,0.0,1.3053102e+06
