Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,17.511423,14.549718,20.563457,27.194618,43.43942,59.473976,72.83942,89.92117,124.644936,155.97716,221.14426,329.13165,372.37692,408.88492,456.24362,506.89188,557.69336,613.8312,635.82227,650.79974,644.5239,672.0598,639.4865,607.1359,612.9395,666.3038,712.9621,760.40356,923.79865,975.3752,937.2275,1048.5208,1126.0474,2.9813888
1,0.9986523,0.0,0.21082889,0.25240204,0.5993394,1.5420943,2.4541059,3.2176764,4.194016,6.1775703,7.9670005,11.685552,17.845167,20.311844,22.395008,25.095848,27.985384,30.883282,34.085983,35.34137,36.197567,35.841496,37.41182,35.55439,33.71312,34.04566,37.08988,39.752384,42.45948,51.77408,54.716835,52.546112,58.89689,63.322548,1.012964
2,0.99902636,0.25383976,0.0,0.43934864,0.91519594,2.051136,3.1626573,4.0876493,5.267276,7.6593266,9.815262,14.293929,21.71111,24.681267,27.189674,30.441782,33.92089,37.409954,41.266068,42.777515,43.80809,43.379036,45.269547,43.033062,40.81514,41.21534,44.880325,48.085552,51.34428,62.559864,66.102776,63.488285,71.13316,76.460915,1.0190742
3,0.99992406,0.21521418,0.31114137,0.0,0.3586379,1.1545013,1.9448478,2.602338,3.4402215,5.136682,6.664947,9.838109,15.091654,17.19533,18.972214,21.275648,23.739988,26.21124,28.942562,30.013487,30.743906,30.440664,31.779585,30.195797,28.62615,28.910122,31.505934,33.77624,36.084396,44.025978,46.53548,44.6856,50.100777,53.875347,1.009555
4,0.99976426,0.3863622,0.4900116,0.27114397,0.0,0.6284445,1.2179325,1.7131598,2.345753,3.6278415,4.783116,7.1820617,11.15403,12.744473,14.088102,15.82957,17.69278,19.561302,21.626457,22.436342,22.98898,22.760075,23.772472,22.575132,21.389278,21.604258,23.567167,25.284237,27.029848,33.032955,34.93049,33.53324,37.628773,40.483704,1.0050384
5,1.0000392,0.6225169,0.68770957,0.5465836,0.39353675,0.0,0.38987747,0.7054221,1.1047403,1.9105461,2.635522,4.1393666,6.6272054,7.623437,8.465261,9.556255,10.723617,11.89418,13.1880665,13.695814,14.042386,13.899921,14.534218,13.784387,13.043286,13.178522,14.407982,15.483992,16.577736,20.335339,21.523998,20.651205,23.218004,25.00762,1.0021303
6,1.0000925,0.7236251,0.7745384,0.6725552,0.55708534,0.28477922,0.0,0.238821,0.5292879,1.1174449,1.6471119,2.7455964,4.56302,5.290635,5.9057674,6.702848,7.555812,8.410916,9.3561,9.727193,9.980676,9.877333,10.340899,9.793334,9.25318,9.352336,10.250949,11.037537,11.837107,14.580523,15.449153,14.813312,16.690008,17.99837,1.0011922
7,1.0001012,0.7746883,0.8173889,0.734802,0.6398243,0.42072037,0.19500099,0.0,0.24389689,0.72390175,1.1566974,2.0538783,3.5379171,4.1321325,4.6344914,5.285452,5.982009,6.6803856,7.452336,7.7553883,7.962633,7.878556,8.257332,7.810423,7.370365,7.4516063,8.185523,8.82842,9.481663,11.720795,12.430236,11.911982,13.445265,14.514292,1.0006685
8,1.0000942,0.8179301,0.85318387,0.7868546,0.70965385,0.53371096,0.35007226,0.19756398,0.0,0.3928645,0.7436477,1.4706581,2.6731014,3.1544309,3.5614126,4.088796,4.6531434,5.219084,5.8445506,6.0902376,6.2584376,6.190758,6.497779,6.135947,5.780411,5.8465195,6.441334,6.9626727,7.4924164,9.305232,9.880122,9.46152,10.704499,11.571483,1.0005105
9,1.0000737,0.86912495,0.8950052,0.84755754,0.7917554,0.6658584,0.5331756,0.42301863,0.28341392,0.0,0.25605956,0.7798093,1.6472524,1.9945067,2.288207,2.6687934,3.0760477,3.4845002,3.9359818,4.1134677,4.2352004,4.1869645,4.4087377,4.1480684,3.8932323,3.9414601,4.3709936,4.747848,5.130777,6.4369254,6.8519573,6.551659,7.4500985,8.076766,1.0002481
