Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1.0,307.61267,212.2086,423.11215,740.1929,1887.291,3537.0862,5305.1753,8085.041,15535.41,24328.104,48907.703,108337.78,138673.5,167199.31,208170.75,256956.75,311039.84,376812.16,404307.06,423596.0,415447.25,451744.9,408986.2,368649.22,375737.75,444012.38,508357.88,578229.1,853528.25,951488.0,878552.5,1.0994686e+06,1.2679595e+06,8.301468
1,0.0032508415,1.0,0.6898565,1.3754705,2.4062498,6.135284,11.498506,17.246283,26.283186,50.503155,79.08681,158.99118,352.18893,450.80554,543.53845,676.7301,835.3257,1011.1412,1224.9565,1314.3381,1377.0435,1350.5531,1468.551,1329.5492,1198.4202,1221.4637,1443.4138,1652.5908,1879.7312,2774.6848,3093.1365,2856.035,3574.1982,4121.9355,0.026986755
2,0.004712344,1.4495769,1.0,1.9938501,3.4880438,8.893565,16.667967,24.999811,38.099495,73.208206,114.6424,230.46994,510.52493,653.47723,787.9007,980.9722,1210.8688,1465.7268,1775.6686,1905.234,1996.1301,1957.7305,2128.7776,1927.2837,1737.202,1770.6056,2092.339,2395.5574,2724.8147,4022.119,4483.739,4140.042,5181.0747,5975.062,0.039119374
3,0.0023634396,0.72702396,0.5015422,1.0,1.7494012,4.4604983,8.35969,12.538461,19.108505,36.717003,57.498005,115.5904,256.0498,327.74643,395.16547,491.999,607.30176,735.12384,890.57275,955.5553,1001.14355,981.88446,1067.6718,966.61414,871.28015,888.03345,1049.3965,1201.4731,1366.6096,2017.2625,2248.7844,2076.4058,2598.5278,2996.7458,0.019620018
4,0.0013509992,0.41558447,0.28669366,0.57162416,1.0,2.5497286,4.7786,7.1672873,10.922884,20.988327,32.86725,66.074265,146.36426,187.34778,225.88612,281.23853,347.14838,420.21457,509.0729,546.2185,572.27783,561.26886,610.307,552.54,498.0448,507.62137,599.86035,686.7911,781.1871,1153.116,1285.4595,1186.9237,1485.3812,1713.0123,0.011215276
5,0.00052986,0.16299164,0.11244085,0.22419019,0.3921986,1.0,1.8741604,2.811,4.28394,8.231592,12.890489,25.914236,57.403854,73.47754,88.592224,110.30135,136.15111,164.80756,199.65768,214.22614,224.44658,220.12888,239.36154,216.70541,195.33247,199.0884,235.26439,269.3585,306.3805,452.25046,504.15543,465.50983,582.56445,671.84106,0.0043986156
6,0.0002827186,0.08696782,0.059995316,0.11962167,0.20926629,0.53357226,1.0,1.4998716,2.2857914,4.3921494,6.8780074,13.827117,30.629105,39.205574,47.27035,58.85374,72.646454,87.936745,106.5318,114.30512,119.75846,117.45466,127.71668,115.628,104.22398,106.22804,125.530556,143.72223,163.47612,241.3083,269.00336,248.38312,310.84024,358.47574,0.0023469792
7,0.00018849519,0.05798351,0.0400003,0.079754606,0.1395228,0.3557453,0.6667237,1.0,1.5239913,2.9283502,4.5857306,9.218867,20.42115,26.139286,31.516266,39.239185,48.435112,58.629513,71.027275,76.20994,79.84581,78.30981,85.15174,77.09193,69.4886,70.82476,83.6942,95.82301,108.99341,160.88597,179.3509,165.60292,207.24455,239.00429,0.0015647868
8,0.00012368521,0.03804714,0.026247066,0.052332714,0.09155092,0.23342998,0.43748525,0.6561717,1.0,1.9215006,3.0090268,6.0491595,13.399781,17.151861,20.680082,25.747644,31.781752,38.471027,46.60609,50.006805,52.39256,51.38468,55.874165,50.58554,45.59646,46.4732,54.917767,62.876354,71.518394,105.56882,117.68499,108.66395,135.988,156.82785,0.0010267688
9,6.436907e-05,0.019800743,0.013659672,0.027235337,0.04764553,0.12148318,0.22767895,0.34148923,0.52042663,1.0,1.5659776,3.1481435,6.973603,8.926285,10.762465,13.399758,16.54007,20.021347,24.255049,26.024872,27.266483,26.741955,29.078402,26.326063,23.729609,24.18589,28.580666,32.722527,37.220074,54.940823,61.246403,56.55161,70.77178,81.617386,0.0005343578
10,4.1104726e-05,0.012644334,0.008722777,0.017391909,0.030425426,0.07757658,0.14539094,0.21806777,0.3323334,0.6385788,1.0,2.0103376,4.4531946,5.7001357,6.8726816,8.556802,10.562137,12.785207,15.488759,16.61893,17.411797,17.076845,18.56885,16.811264,15.153225,15.444596,18.251007,20.89591,23.76795,35.08404,39.110653,36.11266,45.193356,52.11913,0.00034122955
11,2.0446676e-05,0.0062896567,0.0043389606,0.008651237,0.015134485,0.03858883,0.07232165,0.108473204,0.16531222,0.31764752,0.49742886,1.0,2.2151475,2.835412,3.4186702,4.2564,5.253912,6.3597307,7.704556,8.266736,8.661131,8.494515,9.236682,8.362409,7.5376515,7.682588,9.078578,10.394229,11.822865,17.451817,19.454767,17.963478,22.48048,25.92556,0.00016973744
12,9.23039e-06,0.002839385,0.001958768,0.0039054903,0.0068322695,0.017420432,0.032648686,0.048968837,0.074628085,0.1433979,0.22455789,0.45143718,1.0,1.2800105,1.5433148,1.9214972,2.3718112,2.8710191,3.4781232,3.731912,3.9099565,3.8347402,4.1697817,3.7751021,3.4027762,3.468206,4.0984077,4.692342,5.3372808,7.8783984,8.782605,8.109383,10.148525,11.703761,7.662579e-05
13,7.2111834e-06,0.0022182513,0.0015302752,0.0030511392,0.0053376667,0.013609602,0.025506577,0.03825659,0.058302715,0.112028696,0.17543443,0.3526824,0.7812436,1.0,1.2057049,1.5011575,1.8529624,2.2429652,2.7172616,2.9155324,3.0546284,2.9958663,3.2576153,2.9492743,2.6583972,2.7095137,3.2018547,3.665862,4.1697164,6.1549487,6.8613544,6.335403,7.92847,9.143489,5.986341e-05
14,5.9808863e-06,0.0018397963,0.0012691955,0.0025305855,0.0044270093,0.011287672,0.021154908,0.03172965,0.04835571,0.09291552,0.14550361,0.2925114,0.64795595,0.82939035,1.0,1.2450455,1.5368291,1.8602939,2.2536705,2.4181144,2.5334795,2.4847426,2.7018347,2.4460998,2.204849,2.2472446,2.6555874,3.0404305,3.4583225,5.104855,5.690741,5.2545223,6.5757966,7.583522,4.9650134e-05
15,4.8037487e-06,0.001477694,0.0010193968,0.0020325244,0.0035557006,0.009066072,0.016991273,0.025484728,0.038838506,0.07462821,0.1168661,0.23494032,0.52042747,0.6661526,0.80318344,1.0,1.2343557,1.4941572,1.8101109,1.9421896,2.0348487,1.9957042,2.170069,1.9646668,1.7708982,1.8049496,2.1329238,2.4420235,2.7776675,4.1001353,4.570709,4.2203455,5.2815714,6.090959,3.9878167e-05
16,3.8917055e-06,0.0011971379,0.0008258534,0.0016466278,0.0028806126,0.0073447805,0.013765297,0.02064618,0.0314646,0.06045924,0.09467781,0.19033436,0.42161873,0.53967637,0.65069044,0.81013924,1.0,1.2104754,1.4664419,1.573444,1.6485108,1.6167983,1.7580581,1.5916537,1.4346741,1.4622606,1.7279654,1.9783791,2.2502973,3.3216803,3.702911,3.4190674,4.278808,4.934525,3.2306867e-05
17,3.2150224e-06,0.0009889816,0.00068225537,0.001360315,0.0023797366,0.0060676825,0.011371811,0.017056257,0.025993587,0.04994669,0.0782154,0.15723936,0.34830838,0.44583836,0.5375495,0.6692736,0.8261217,1.0,1.2114594,1.2998562,1.3618705,1.3356721,1.4523699,1.3148997,1.1852155,1.2080052,1.4275097,1.6343819,1.8590195,2.7441123,3.059055,2.824566,3.5348163,4.076518,2.6689404e-05
