Layer,SVD_Entropy
0,0.4306657579210069
1,0.43246936798095703
2,0.43517335255940753
3,0.4367547829945882
4,0.43689356909857857
5,0.4368324014875624
6,0.43482769860161674
7,0.4328201346927219
8,0.4344068103366428
9,0.43462565210130477
10,0.43365033467610675
11,0.43262166447109646
12,0.4329928557078044
13,0.4324861897362603
14,0.43422823482089573
15,0.43338966369628906
16,0.43273332383897567
17,0.43494780858357746
18,0.4363822142283122
19,0.4364582167731391
20,0.43517610761854386
21,0.43503406312730575
22,0.43722862667507595
23,0.4336633152431912
