Layer,Effective_Rank
0,6.24783452351888
1,6.335533565945095
2,6.4697083367241754
3,6.549707200792101
4,6.5567821926540795
5,6.553663041856554
6,6.452373504638672
7,6.3527548048231335
8,6.431339263916016
9,6.442266252305773
10,6.393733130560981
11,6.343004014756945
12,6.361255221896702
13,6.336357964409722
14,6.422438727484809
15,6.380833095974392
16,6.348487854003906
17,6.45839097764757
18,6.530757904052734
19,6.534618377685547
20,6.4698465135362415
21,6.462716420491536
22,6.573900010850695
23,6.394376118977864
