Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,0.011337069794535637,0.013177959248423576,0.014485045336186886,0.01642783172428608,0.019490931183099747,0.06601206958293915,0.06831678003072739,0.06992347538471222,0.07187177985906601,0.07763320207595825,0.0792282223701477,0.08330167084932327,0.08781800419092178,0.10220074653625488,0.11294747143983841,0.12662282586097717,0.15246045589447021,0.1771179735660553,0.20425336062908173,0.23668289184570312,0.27963611483573914,0.3801855444908142,1.656290054321289
1,0.011337069794535637,0.0,0.004536243621259928,0.0066720410250127316,0.008615049533545971,0.012082704342901707,0.07005482912063599,0.07248788326978683,0.07405492663383484,0.07607287168502808,0.08193284273147583,0.08363425731658936,0.08776123076677322,0.09224209934473038,0.10672825574874878,0.11745677143335342,0.12945926189422607,0.1530483067035675,0.17759932577610016,0.2047252357006073,0.23682710528373718,0.2780159115791321,0.3793000280857086,1.6616939306259155
2,0.013177959248423576,0.004536243621259928,0.0,0.004226864315569401,0.006548574194312096,0.01059731189161539,0.07002099603414536,0.07247857004404068,0.07413744181394577,0.0761403888463974,0.08194101601839066,0.08360167592763901,0.08775438368320465,0.09215189516544342,0.10660187900066376,0.11729308217763901,0.12919974327087402,0.15255902707576752,0.17705008387565613,0.2041623294353485,0.23628632724285126,0.2774990499019623,0.3789319396018982,1.6618001461029053
3,0.014485045336186886,0.0066720410250127316,0.004226864315569401,0.0,0.005043524317443371,0.00965830683708191,0.07023312896490097,0.07267504930496216,0.07427920401096344,0.0762568935751915,0.08183074742555618,0.08347784727811813,0.08764273673295975,0.09198321402072906,0.1063745841383934,0.11709611117839813,0.1287863403558731,0.15191122889518738,0.1764616221189499,0.20364320278167725,0.2358340471982956,0.27687498927116394,0.3784804344177246,1.661729335784912
4,0.01642783172428608,0.008615049533545971,0.006548574194312096,0.005043524317443371,0.0,0.007614090107381344,0.0696982815861702,0.07204471528530121,0.07362242043018341,0.07577116787433624,0.08142481744289398,0.08301819860935211,0.08708588033914566,0.09136432409286499,0.10580132156610489,0.11653675138950348,0.12817318737506866,0.15126816928386688,0.17578405141830444,0.20308396220207214,0.235358327627182,0.2763851284980774,0.37803077697753906,1.661609172821045
5,0.019490931183099747,0.012082704342901707,0.01059731189161539,0.00965830683708191,0.007614090107381344,0.0,0.06760707497596741,0.07022596150636673,0.0716337338089943,0.07386243343353271,0.07930376380681992,0.08119811862707138,0.08529925346374512,0.08936896175146103,0.10374929010868073,0.11466849595308304,0.12599453330039978,0.14936408400535583,0.17376333475112915,0.20134341716766357,0.23366636037826538,0.27477073669433594,0.376531720161438,1.66041100025177
6,0.06601206958293915,0.07005482912063599,0.07002099603414536,0.07023312896490097,0.0696982815861702,0.06760707497596741,0.0,0.010121188126504421,0.01510462537407875,0.018891314044594765,0.028619129210710526,0.03211957961320877,0.038893308490514755,0.04742405563592911,0.06583767384290695,0.08160550892353058,0.09854082018136978,0.1301446259021759,0.15512461960315704,0.18275274336338043,0.2158290445804596,0.2705320417881012,0.37124189734458923,1.6730282306671143
7,0.06831678003072739,0.07248788326978683,0.07247857004404068,0.07267504930496216,0.07204471528530121,0.07022596150636673,0.010121188126504421,0.0,0.011551042087376118,0.016534633934497833,0.02666407823562622,0.030403049662709236,0.03718046844005585,0.0461995005607605,0.06464031338691711,0.08046454191207886,0.09739997982978821,0.12930850684642792,0.15456750988960266,0.18235236406326294,0.21541889011859894,0.2705346345901489,0.37133386731147766,1.6729497909545898
8,0.06992347538471222,0.07405492663383484,0.07413744181394577,0.07427920401096344,0.07362242043018341,0.0716337338089943,0.01510462537407875,0.011551042087376118,0.0,0.012920849025249481,0.02332240156829357,0.02783779613673687,0.03489018231630325,0.04400477558374405,0.06312527507543564,0.07890374213457108,0.0957588478922844,0.12764230370521545,0.1530388593673706,0.18070462346076965,0.2139616459608078,0.2693033516407013,0.37032651901245117,1.6728804111480713
9,0.07187177985906601,0.07607287168502808,0.0761403888463974,0.0762568935751915,0.07577116787433624,0.07386243343353271,0.018891314044594765,0.016534633934497833,0.012920849025249481,0.0,0.01961466856300831,0.02425987273454666,0.03167756646871567,0.0409659668803215,0.060544997453689575,0.07641340792179108,0.09314990788698196,0.1254591941833496,0.15102972090244293,0.1787661761045456,0.2121477723121643,0.2679198384284973,0.369151771068573,1.6725555658340454
10,0.07763320207595825,0.08193284273147583,0.08194101601839066,0.08183074742555618,0.08142481744289398,0.07930376380681992,0.028619129210710526,0.02666407823562622,0.02332240156829357,0.01961466856300831,0.0,0.016363343223929405,0.024427056312561035,0.03423844277858734,0.05361182987689972,0.07057280838489532,0.0878860354423523,0.1197584867477417,0.14548051357269287,0.17343752086162567,0.20743335783481598,0.26403096318244934,0.3660465478897095,1.6710299253463745
11,0.0792282223701477,0.08363425731658936,0.08360167592763901,0.08347784727811813,0.08301819860935211,0.08119811862707138,0.03211957961320877,0.030403049662709236,0.02783779613673687,0.02425987273454666,0.016363343223929405,0.0,0.018437020480632782,0.02947416715323925,0.04980852082371712,0.0666506215929985,0.08466070145368576,0.11686670035123825,0.14296472072601318,0.17104434967041016,0.2048894166946411,0.2615957260131836,0.3634311258792877,1.6696958541870117
12,0.08330167084932327,0.08776123076677322,0.08775438368320465,0.08764273673295975,0.08708588033914566,0.08529925346374512,0.038893308490514755,0.03718046844005585,0.03489018231630325,0.03167756646871567,0.024427056312561035,0.018437020480632782,0.0,0.02263762801885605,0.04397549107670784,0.061368681490421295,0.07948572188615799,0.11191592365503311,0.13830363750457764,0.16660650074481964,0.2011539489030838,0.25846150517463684,0.36101266741752625,1.6693737506866455
13,0.08781800419092178,0.09224209934473038,0.09215189516544342,0.09198321402072906,0.09136432409286499,0.08936896175146103,0.04742405563592911,0.0461995005607605,0.04400477558374405,0.0409659668803215,0.03423844277858734,0.02947416715323925,0.02263762801885605,0.0,0.03443538397550583,0.05177498608827591,0.07092379778623581,0.10543052107095718,0.13175909221172333,0.1606980264186859,0.1958804428577423,0.2537696063518524,0.3578450083732605,1.6689329147338867
14,0.10220074653625488,0.10672825574874878,0.10660187900066376,0.1063745841383934,0.10580132156610489,0.10374929010868073,0.06583767384290695,0.06464031338691711,0.06312527507543564,0.060544997453689575,0.05361182987689972,0.04980852082371712,0.04397549107670784,0.03443538397550583,0.0,0.03365364670753479,0.0547281876206398,0.08777257800102234,0.1151195615530014,0.14507079124450684,0.1809016764163971,0.24034059047698975,0.3471643626689911,1.6635048389434814
