Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-1.1920928955078125e-06,0.0010734200477600098,0.0026391148567199707,0.0038938522338867188,0.014833331108093262,0.020384669303894043,0.0233231782913208,0.02675926685333252,0.03005748987197876,0.0320931077003479,0.033915936946868896,0.0352092981338501,0.035973310470581055,0.03668314218521118,0.036985158920288086,0.037414729595184326,0.03785949945449829,0.038810789585113525,0.03965795040130615,0.04054909944534302,0.041530489921569824,0.04163724184036255,0.041817307472229004,0.04186606407165527,0.0423511266708374,0.042648911476135254,0.04316246509552002,0.04299992322921753,0.04271292686462402,0.042680323123931885,0.04283398389816284,0.043785810470581055,0.044464707374572754,0.9968390753492713
1,0.0010734200477600098,-9.5367431640625e-07,0.0009618401527404785,0.002083718776702881,0.012136697769165039,0.017750561237335205,0.020755887031555176,0.024281322956085205,0.02761983871459961,0.02969062328338623,0.031555891036987305,0.032883405685424805,0.033661067485809326,0.034390807151794434,0.034713566303253174,0.03516089916229248,0.035630106925964355,0.03661113977432251,0.03746682405471802,0.03836846351623535,0.0393528938293457,0.039478600025177,0.039678096771240234,0.03973996639251709,0.04024440050125122,0.040540993213653564,0.04108285903930664,0.040910184383392334,0.040631890296936035,0.040597498416900635,0.040781259536743164,0.04171252250671387,0.04239374399185181,0.9977575284428895
2,0.0026391148567199707,0.0009618401527404785,-1.0728836059570312e-06,0.0011034011840820312,0.010272681713104248,0.016001999378204346,0.019083738327026367,0.022700190544128418,0.02612370252609253,0.028287947177886963,0.030247032642364502,0.031652987003326416,0.032477498054504395,0.03326207399368286,0.03361654281616211,0.03410470485687256,0.03460204601287842,0.035647571086883545,0.03655129671096802,0.0375022292137146,0.03853541612625122,0.03866368532180786,0.03885453939437866,0.038923561573028564,0.03943389654159546,0.03974813222885132,0.040306806564331055,0.04013246297836304,0.039859890937805176,0.039836108684539795,0.040027737617492676,0.04100191593170166,0.041725337505340576,0.9981667023384944
3,0.0038938522338867188,0.002083718776702881,0.0011034011840820312,-4.76837158203125e-07,0.005619227886199951,0.009657502174377441,0.011955738067626953,0.014749526977539062,0.01748865842819214,0.019264817237854004,0.020885229110717773,0.02205711603164673,0.022747695446014404,0.023415684700012207,0.023720085620880127,0.024140536785125732,0.024599850177764893,0.02553457021713257,0.026334106922149658,0.027174949645996094,0.028127610683441162,0.028263509273529053,0.02846074104309082,0.02853327989578247,0.02902984619140625,0.029351770877838135,0.02989959716796875,0.02974545955657959,0.029475092887878418,0.029431641101837158,0.029625415802001953,0.030504584312438965,0.03115624189376831,0.9982761228457093
4,0.014833331108093262,0.012136697769165039,0.010272681713104248,0.005619227886199951,-9.5367431640625e-07,0.0011528730392456055,0.002182602882385254,0.003743112087249756,0.0054364800453186035,0.00662684440612793,0.007756173610687256,0.008567392826080322,0.009073734283447266,0.009563028812408447,0.009830772876739502,0.010173976421356201,0.010591566562652588,0.011397123336791992,0.012064754962921143,0.012663424015045166,0.013413786888122559,0.013588488101959229,0.013854801654815674,0.013956248760223389,0.014417767524719238,0.014697849750518799,0.015288949012756348,0.015160441398620605,0.014918506145477295,0.014846086502075195,0.015041232109069824,0.0157507061958313,0.016296744346618652,0.9985203301766887
5,0.020384669303894043,0.017750561237335205,0.016001999378204346,0.009657502174377441,0.0011528730392456055,-4.76837158203125e-07,0.00029724836349487305,0.000972449779510498,0.0019061565399169922,0.002645730972290039,0.0033515095710754395,0.0038817524909973145,0.004226028919219971,0.004575550556182861,0.004774630069732666,0.005033612251281738,0.0053893327713012695,0.006029665470123291,0.0065711140632629395,0.007050752639770508,0.007721900939941406,0.007888555526733398,0.008160173892974854,0.008245527744293213,0.008693039417266846,0.008964836597442627,0.009536206722259521,0.009410977363586426,0.00917738676071167,0.00909280776977539,0.009272158145904541,0.009882926940917969,0.010343074798583984,0.99865210079588
6,0.0233231782913208,0.020755887031555176,0.019083738327026367,0.011955738067626953,0.002182602882385254,0.00029724836349487305,-7.152557373046875e-07,0.00025665760040283203,0.000844419002532959,0.001381993293762207,0.0019071102142333984,0.0023155808448791504,0.0025861263275146484,0.002870321273803711,0.003035426139831543,0.003251314163208008,0.003568708896636963,0.004142105579376221,0.004625260829925537,0.0050498247146606445,0.005677223205566406,0.005848288536071777,0.006116390228271484,0.006202042102813721,0.006634831428527832,0.006914019584655762,0.007462143898010254,0.007353067398071289,0.0071100592613220215,0.007017970085144043,0.007199645042419434,0.007768452167510986,0.008199512958526611,0.9985566067043692
7,0.02675926685333252,0.024281322956085205,0.022700190544128418,0.014749526977539062,0.003743112087249756,0.000972449779510498,0.00025665760040283203,-5.960464477539062e-07,0.00020307302474975586,0.000517427921295166,0.0008373856544494629,0.0011126399040222168,0.0013036131858825684,0.0015167593955993652,0.0016447901725769043,0.0018158555030822754,0.002093374729156494,0.0025950074195861816,0.003015458583831787,0.0033867359161376953,0.003972470760345459,0.004138529300689697,0.004404187202453613,0.0044899582862854,0.004909336566925049,0.005192160606384277,0.005734264850616455,0.005638420581817627,0.005388736724853516,0.005299031734466553,0.005479335784912109,0.005994558334350586,0.006395399570465088,0.9986038922797889
8,0.03005748987197876,0.02761983871459961,0.02612370252609253,0.01748865842819214,0.0054364800453186035,0.0019061565399169922,0.000844419002532959,0.00020307302474975586,-1.430511474609375e-06,8.922815322875977e-05,0.0002465248107910156,0.0004181861877441406,0.0005446672439575195,0.0006906390190124512,0.0007922649383544922,0.00092315673828125,0.00117415189743042,0.0016204118728637695,0.001988053321838379,0.00231325626373291,0.0028690099716186523,0.0030342936515808105,0.0033087730407714844,0.003394782543182373,0.0038057565689086914,0.004088461399078369,0.00461578369140625,0.004527568817138672,0.004272937774658203,0.004179537296295166,0.004360377788543701,0.00484919548034668,0.005219638347625732,0.9994536591693759
9,0.0320931077003479,0.02969062328338623,0.028287947177886963,0.019264817237854004,0.00662684440612793,0.002645730972290039,0.001381993293762207,0.000517427921295166,8.922815322875977e-05,-1.1920928955078125e-06,7.414817810058594e-05,0.00017690658569335938,0.0002663135528564453,0.00036960840225219727,0.000459134578704834,0.0005649328231811523,0.0008008480072021484,0.0012094974517822266,0.0015469193458557129,0.001843094825744629,0.002381622791290283,0.002550780773162842,0.0028366446495056152,0.0029241442680358887,0.0033301115036010742,0.0036141276359558105,0.0041370391845703125,0.004052102565765381,0.003791511058807373,0.0036933422088623047,0.0038779377937316895,0.004346668720245361,0.004703879356384277,1.0002765607787296
10,0.033915936946868896,0.031555891036987305,0.030247032642364502,0.020885229110717773,0.007756173610687256,0.0033515095710754395,0.0019071102142333984,0.0008373856544494629,0.0002465248107910156,7.414817810058594e-05,-1.5497207641601562e-06,4.309415817260742e-05,8.863210678100586e-05,0.0001563429832458496,0.00022274255752563477,0.00029593706130981445,0.0004906058311462402,0.0008462667465209961,0.001143336296081543,0.0014085769653320312,0.0019084811210632324,0.0020766854286193848,0.0023589730262756348,0.002446293830871582,0.002845585346221924,0.0031321048736572266,0.003647148609161377,0.003573000431060791,0.0033232569694519043,0.0032262206077575684,0.0034015774726867676,0.003849923610687256,0.004203975200653076,0.9990418156958185
11,0.0352092981338501,0.032883405685424805,0.031652987003326416,0.02205711603164673,0.008567392826080322,0.0038817524909973145,0.0023155808448791504,0.0011126399040222168,0.0004181861877441406,0.00017690658569335938,4.309415817260742e-05,-1.6689300537109375e-06,2.4497509002685547e-05,6.526708602905273e-05,0.00011783838272094727,0.00017261505126953125,0.0003574490547180176,0.0006822943687438965,0.000956416130065918,0.0012035369873046875,0.0016831159591674805,0.0018520355224609375,0.002131640911102295,0.002212226390838623,0.0026106834411621094,0.0028938651084899902,0.003403007984161377,0.003332197666168213,0.0030850768089294434,0.0029854178428649902,0.003163456916809082,0.003596007823944092,0.003938615322113037,0.9989232834195718
12,0.035973310470581055,0.033661067485809326,0.032477498054504395,0.022747695446014404,0.009073734283447266,0.004226028919219971,0.0025861263275146484,0.0013036131858825684,0.0005446672439575195,0.0002663135528564453,8.863210678100586e-05,2.4497509002685547e-05,-1.430511474609375e-06,2.3126602172851562e-05,5.698204040527344e-05,0.00010204315185546875,0.0002747178077697754,0.0005823373794555664,0.0008365511894226074,0.001071631908416748,0.0015376806259155273,0.001706540584564209,0.0019832849502563477,0.002067863941192627,0.002462327480316162,0.0027434825897216797,0.0032572150230407715,0.0031879544258117676,0.0029448866844177246,0.002845168113708496,0.003026127815246582,0.003447115421295166,0.0037848949432373047,0.9985268567688763
13,0.03668314218521118,0.034390807151794434,0.03326207399368286,0.023415684700012207,0.009563028812408447,0.004575550556182861,0.002870321273803711,0.0015167593955993652,0.0006906390190124512,0.00036960840225219727,0.0001563429832458496,6.526708602905273e-05,2.3126602172851562e-05,-9.5367431640625e-07,1.919269561767578e-05,5.364418029785156e-05,0.00021708011627197266,0.0005157589912414551,0.0007599592208862305,0.000982522964477539,0.001438736915588379,0.0016108155250549316,0.0018872618675231934,0.0019693970680236816,0.0023689866065979004,0.002647221088409424,0.0031585693359375,0.0030937790870666504,0.002857208251953125,0.002755582332611084,0.0029402971267700195,0.0033537745475769043,0.003695249557495117,0.9986555201467127
14,0.036985158920288086,0.034713566303253174,0.03361654281616211,0.023720085620880127,0.009830772876739502,0.004774630069732666,0.003035426139831543,0.0016447901725769043,0.0007922649383544922,0.000459134578704834,0.00022274255752563477,0.00011783838272094727,5.698204040527344e-05,1.919269561767578e-05,-1.9073486328125e-06,2.753734588623047e-05,0.00017768144607543945,0.0004661083221435547,0.0006982684135437012,0.0009118914604187012,0.0013570189476013184,0.0015263557434082031,0.0017967820167541504,0.001880347728729248,0.0022812485694885254,0.0025563836097717285,0.0030753612518310547,0.00301206111907959,0.002781093120574951,0.002680480480194092,0.0028703808784484863,0.003278374671936035,0.003622710704803467,0.9980171760544181
15,0.037414729595184326,0.03516089916229248,0.03410470485687256,0.024140536785125732,0.010173976421356201,0.005033612251281738,0.003251314163208008,0.0018158555030822754,0.00092315673828125,0.0005649328231811523,0.00029593706130981445,0.00017261505126953125,0.00010204315185546875,5.364418029785156e-05,2.753734588623047e-05,-2.1457672119140625e-06,0.00011014938354492188,0.00035768747329711914,0.0005685687065124512,0.0007598400115966797,0.001164078712463379,0.0013277530670166016,0.0015856623649597168,0.0016672015190124512,0.0020546913146972656,0.0023194551467895508,0.0028300881385803223,0.0027815699577331543,0.002570033073425293,0.0024785399436950684,0.0026664137840270996,0.0030811429023742676,0.003437340259552002,0.9955099932849407
16,0.03785949945449829,0.035630106925964355,0.03460204601287842,0.024599850177764893,0.010591566562652588,0.0053893327713012695,0.003568708896636963,0.002093374729156494,0.00117415189743042,0.0008008480072021484,0.0004906058311462402,0.0003574490547180176,0.0002747178077697754,0.00021708011627197266,0.00017768144607543945,0.00011014938354492188,-1.6689300537109375e-06,0.0001296401023864746,0.00026667118072509766,0.00041353702545166016,0.0007243156433105469,0.0008636713027954102,0.001071631908416748,0.0011495351791381836,0.0014995932579040527,0.0017417669296264648,0.0022355318069458008,0.002225220203399658,0.0020626187324523926,0.0020075440406799316,0.0022045373916625977,0.002620875835418701,0.0030291080474853516,0.9868401624262333
