Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.0,0.07980070403630993,0.4677412129056462,0.7438859036539028,2.696554619764354,4.123314527690856,5.067572516853377,6.775477455495338,9.038669572064268,11.072171907165696,14.030585407644937,17.266628739659865,19.855370278068246,22.3523674107892,24.202126245724216,25.312823360164664,26.243550742710173,29.02654998366854,31.06858968460528,32.3707760838172,33.12794822336742,34.61527714732648,36.107626474168285,37.40712911669584,38.53476973811099,40.58518242125857,43.38787947678779,46.908674754883265,51.34572883453504,53.19314679021697,52.46134193650879,51.367740719012495,51.75247459524069,1.0011696459280615
1,0.07500844572606143,0.0,0.3753224731785809,0.6359379561682494,2.4725064105023464,3.8142484860043826,4.70212339500836,6.307805985409592,8.435337672371634,10.346876281202682,13.12776395219385,16.169573187329586,18.60289988372212,20.950002296112515,22.688711030693508,23.732752731006975,24.60763504414933,27.22358952745521,29.14305466420939,30.36710474331303,31.078870212782597,32.47690469513438,33.87966604865123,35.10114579208767,36.161102883529324,38.088409002979326,40.72284656051541,44.03217893140742,48.20277004063607,49.93924001019836,49.25141394155077,48.22353962605835,48.58519036379451,1.0010692324480839
2,0.32049591418220164,0.27360119238957,0.0,0.19548113983280624,1.5359091016752855,2.515489802615863,3.1634609853224593,4.334624210642734,5.886154482770376,7.2800182150471136,9.307525455383747,11.525136334911455,13.29909374321051,15.010225662620632,16.27775245223182,17.038969476729427,17.6768713813331,19.584109011847975,20.983601136786675,21.876188897026278,22.39537005121633,23.414509873483723,24.437093539204163,25.327536873621515,26.100353907594037,27.505372424777995,29.425946488923223,31.83827084637983,34.87840341791518,36.14423729065768,35.64289799134761,34.89391908319718,35.15779754510811,1.0005612439985205
3,0.42881510285850505,0.3900093752832516,0.16445676632935505,0.0,1.1297787917073907,1.9533598713866878,2.4983179190012286,3.4834787191931027,4.7887166364541836,5.96135890670994,7.667083797807092,9.532750759596317,11.025160043739275,12.464735066137276,13.53110934786669,14.171517764941173,14.708231744880425,16.31284266400932,17.490266827004756,18.241239534264192,18.678115337227908,19.535542298269235,20.395868164859845,21.14499774081326,21.79523266684982,22.977332169098133,24.59316943345463,26.622631065861334,29.180227089056395,30.24512751644931,29.82339044246517,29.193335608088997,29.415383313955733,1.0003915433943043
4,0.733506026542513,0.7155309893983796,0.609737799431904,0.5331189733133057,0.0,0.39086052726819115,0.6484501270633344,1.1138187128148633,1.730186179348556,2.283839738449557,3.088948453417709,3.9694134200962417,4.673730737535213,5.353142772043528,5.856418096169443,6.15876196701257,6.412238700447156,7.169768376415028,7.7256596034898575,8.080242850303797,8.286740838513587,8.691427121685592,9.097549657611982,9.451090450529367,9.75816144294465,10.31606849029367,11.078864554300804,12.036393769685178,13.243073304541705,13.745500771282682,13.546611621823006,13.249656577455443,13.354692635383003,1.0000777234585856
5,0.8088048978449691,0.7959812677352358,0.7201169105877929,0.6646849205683779,0.28185429492103364,0.0,0.18661216005732173,0.522017468777755,0.9664681945214783,1.365733905246598,1.946264445162251,2.581159377168441,3.0890545091460027,3.579001208822865,3.9419360686733405,4.159989261053363,4.342860226942653,4.889218499494535,5.290167014136325,5.545937709960485,5.695021958791255,5.986888245074078,6.279839497040018,6.534793147278322,6.756360299942234,7.158743626344553,7.708972347904778,8.399397456556935,9.269451919343112,9.631709782749478,9.48834596012755,9.274339800456335,9.350163402196422,1.0000373648894554
6,0.839044057394303,0.8282765617324096,0.7644171402905251,0.7175774010849807,0.39469980194522286,0.1575169976047513,0.0,0.2834859676675752,0.6587257680825633,0.9957893949896978,1.4858151111493514,2.021729132851787,2.450440819248921,2.864010634563274,3.1703673678691975,3.354434796422582,3.508833147504505,3.9700727680290178,4.308558405702713,4.524487706413547,4.650421311646242,4.896818450219692,5.1441430759978495,5.359359356318566,5.5464538507942125,5.886162743632604,6.350678239619181,6.933438308374648,7.667774083273183,7.973522926980454,7.852544953633461,7.671981183923649,7.736037608787541,1.0000239464579364
7,0.8748398675742852,0.8664899801258716,0.8168141529234183,0.7802577295122911,0.5286992651329716,0.34361838294281183,0.22107286242851928,0.0,0.29277720889372966,0.5556807646966728,0.9377747461587611,1.3556923427845158,1.690017146683467,2.012550428676012,2.2514700573427526,2.395033064049194,2.515505665018809,2.8753025356192046,3.1393434267657505,3.3078023286073246,3.4061674315397963,3.5983542171610505,3.791300365023691,3.9591503924385107,4.105165840395265,4.370157391852644,4.732542252049704,5.186951686214568,5.759508265579119,5.9979090210060635,5.90362057102783,5.762921023138057,5.812960954332691,1.0000127532045364
8,0.9033848207192181,0.8969480865727544,0.8585845615688189,0.8302782750138559,0.6357211385976114,0.4924459124368568,0.3976382352895263,0.22662973110605633,0.0,0.20361601260663134,0.4993742299068173,0.8228999770549196,1.0817022554235565,1.3313747564999237,1.5163398305677636,1.6274893479114132,1.720836518770581,1.999476227364564,2.2039497872119194,2.3344278404474608,2.410758464801642,2.5595691243786107,2.709018070155722,2.838961350684472,2.9521199323690905,3.1573166764043226,3.437963474967467,3.789644222430762,4.232712717760565,4.417204224647654,4.344283058352386,4.235516607780721,4.274339526796359,1.0000104359651973
9,0.9198275464931022,0.914490933466473,0.8826513657032936,0.8591225476295655,0.6975008671438949,0.578418765522252,0.49963895865827473,0.35752819258130575,0.16924554316148585,0.0,0.246042670397725,0.5149452360067158,0.7300707816861106,0.9375969346182873,1.091368310346383,1.1837719184622586,1.2614517214462138,1.4931624279279117,1.6631967233387261,1.7717120357701817,1.8353284579466032,1.9590594357274316,2.0833674935488986,2.1913859052506637,2.2855532237649636,2.4561712808256617,2.689557078467368,2.981804571369313,3.3499605374778243,3.5032645522223684,3.442710417062326,3.3524196041226566,3.3847672672415428,1.0000103154668456
