Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,1.0000002384185933,0.9978516923475844,0.9947265951106523,0.9922254389516674,0.970564757307816,0.9596663990510059,0.9539179892380254,0.9472195684580242,0.9408139108800562,0.9368689059314796,0.93334444462673,0.9308451360735184,0.9293722812131477,0.9280018766050127,0.9274169854944923,0.9265907135034155,0.9257344147137161,0.9239044065445547,0.9222765431837985,0.9205669614033383,0.9186843683895773,0.9184821397653309,0.9181362319034179,0.9180446252120333,0.9171141968590888,0.916551007729197,0.9155680672595032,0.9158882779289002,0.9164317488889004,0.9165009066588006,0.9162040944675596,0.9143745298486152,0.9130846022391239,9.235879583383846e-06
1,0.9978516923475844,1.0,0.9980752202233276,0.9958352388787581,0.9758880354434609,0.964832929150564,0.9589402786701271,0.9520498508720721,0.9455493754279729,0.9415257340922523,0.93791066075514,0.9353384873230084,0.9338363911098355,0.9324235598172983,0.9317979215596814,0.9309350788024382,0.9300292941370571,0.9281380791273683,0.926490309655069,0.924756648906456,0.9228630178824915,0.922624833089003,0.922240710379274,0.922123142456158,0.9211539220943656,0.9205914381927869,0.9195529476816233,0.9198913475078285,0.9204204506029932,0.9204922748936362,0.9201379841613608,0.9183435631733836,0.9170459292159308,4.493764592642237e-06
2,0.9947265951106523,0.9980752202233276,1.0000009536745438,0.9977938197373284,0.9795742047918452,0.9682736488612456,0.9622195147440529,0.9551384513570724,0.9484616287460454,0.9442511879989901,0.9404496032062184,0.937721333662612,0.9361266656408738,0.9346059580228747,0.933918759601827,0.9329754834643076,0.9320136946990374,0.9299963000239622,0.9282541922041219,0.9264239887252224,0.9244356938849627,0.9241921491303771,0.9238235120784033,0.9236932404749041,0.9227115150543206,0.9221138701345275,0.9210415717398099,0.9213855090024801,0.921903023256565,0.9219548742435677,0.9215849671023193,0.9197076206884311,0.9183285979839297,2.926175813537237e-06
3,0.9922254389516674,0.9958352388787581,0.9977938197373284,1.0000007152558652,0.988802247506456,0.9807936106028592,0.9762467755246149,0.9707363472264205,0.9653484475813379,0.9618624262025754,0.9586865107707041,0.9563909371755166,0.9550416384452411,0.9537340384013113,0.953137135362514,0.9523176294300271,0.9514196380907016,0.9495972783976505,0.9480401283637754,0.9464045824939973,0.9445506549127458,0.9442898785384592,0.943905209344905,0.9437661176181997,0.9427995917184298,0.9421813583206848,0.9411184989450341,0.9414253339463272,0.9419442799198805,0.9420341787596875,0.9416577198472034,0.9399437823076937,0.9386879101163146,2.534806184636748e-06
4,0.970564757307816,0.9758880354434609,0.9795742047918452,0.988802247506456,0.9999988079074598,0.997693201602047,0.9956369411120249,0.992526836609219,0.9891535126355713,0.9867876210314677,0.9845442624704539,0.9829343598051175,0.9819317927713342,0.9809596085086838,0.9804277800385854,0.9797497751356445,0.9789222072616646,0.9773292838222147,0.9760098065303424,0.9748270408053941,0.9733447112517446,0.9730013209868993,0.972475886558243,0.9722762845439235,0.9713662274715631,0.9708171559452694,0.969650219382757,0.9699088387841392,0.9703823789038921,0.9705283507197784,0.9701431873641333,0.9687409231112412,0.967671743383395,1.7232374851681786e-06
5,0.9596663990510059,0.964832929150564,0.9682736488612456,0.9807936106028592,0.997693201602047,1.000000476837215,0.9994047574127904,0.9980546169796902,0.9961892976589617,0.9947135167526291,0.9933060748997526,0.9922470506566903,0.9915636647839996,0.9908671052840532,0.9904687913541501,0.9899538428218335,0.9892450438649156,0.9879722863112228,0.9868964512324716,0.985944301667562,0.9846112126177253,0.9842801509672796,0.9837418659055999,0.9835720859649797,0.9826847631855209,0.982147387166382,0.9810149836227744,0.9812659032434112,0.9817268523723364,0.9818964729869641,0.9815409480012285,0.98032638893757,0.9794208295991211,1.3755610694731282e-06
6,0.9539179892380254,0.9589402786701271,0.9622195147440529,0.9762467755246149,0.9956369411120249,0.9994047574127904,1.0,0.9994862739576007,0.9983106839524716,0.997235661472903,0.996186680058063,0.995371345828918,0.9948331274837905,0.9942652188556167,0.9939344395705838,0.9935047345339889,0.9928715168098314,0.9917292657024177,0.9907679049322269,0.9899228861199596,0.9886742284800363,0.9883334774868366,0.9878011938512579,0.987630353146475,0.9867706871654072,0.9862162129484773,0.9851280828458044,0.9853478144712859,0.985827948825829,0.9860126014978619,0.9856524264528765,0.984518831473963,0.9836682060957038,1.601039994119128e-06
7,0.9472195684580242,0.9520498508720721,0.9551384513570724,0.9707363472264205,0.992526836609219,0.9980546169796902,0.9994862739576007,1.0000011920932508,0.9995921074137328,0.9989638629707684,0.9983236668272752,0.9977742910870724,0.997394234927814,0.996966877313131,0.9967096736093026,0.9963689684846635,0.995813707091898,0.9948139845275819,0.9939755611285115,0.9932357408435486,0.992067751876565,0.9917365073484383,0.9912074619351188,0.9910365642608667,0.990202700100383,0.98963967256282,0.9885610333749959,0.9887553062344665,0.9892494308306965,0.9894313206223728,0.9890709958825461,0.9880423152681175,0.9872505757823866,1.4772417291765514e-06
8,0.9408139108800562,0.9455493754279729,0.9484616287460454,0.9653484475813379,0.9891535126355713,0.9961892976589617,0.9983106839524716,0.9995921074137328,1.0000009536745438,0.9998184524926366,0.9995042700170451,0.9991603468834889,0.9989095324426813,0.998616578152852,0.9984122861356468,0.9981508466687536,0.997649145554135,0.9967577554448894,0.9960239196304634,0.9953764599579387,0.9942666452598701,0.9939368165160865,0.9933900750843918,0.9932168508709225,0.9923990517140489,0.9918351625694868,0.9907855850140415,0.9909629878553119,0.9914679905558934,0.991656257141674,0.9912964769757906,0.9903197853383894,0.9895864262980467,1.3012711092246304e-07
9,0.9368689059314796,0.9415257340922523,0.9442511879989901,0.9618624262025754,0.9867876210314677,0.9947135167526291,0.997235661472903,0.9989638629707684,0.9998184524926366,0.9999992847443906,0.9998481331314366,0.999643476797818,0.9994654177999998,0.9992578215123196,0.9990781287049835,0.998867236672826,0.9983952528180886,0.9975794913550864,0.9969058166973355,0.996313875641718,0.9952377884602015,0.9949018534030962,0.9943311911229991,0.9941558642424297,0.9933465893968929,0.992780530626991,0.9917386442326439,0.9919094837020026,0.9924277907225054,0.9926241059047811,0.9922570253691596,0.9913205710674369,0.9906128253377666,2.1490308355934468e-07
10,0.93334444462673,0.93791066075514,0.9404496032062184,0.9586865107707041,0.9845442624704539,0.9933060748997526,0.996186680058063,0.9983236668272752,0.9995042700170451,0.9998481331314366,0.9999991655351472,0.9999102374193889,0.9998210748606517,0.9996847162840119,0.9995502739252835,0.9994051149342376,0.9990152162096742,0.998304490317171,0.9977115387303002,0.9971810208380703,0.9961820397740127,0.9958464212245453,0.9952836940784806,0.995108758908092,0.9943135983043625,0.993742035259416,0.9927135408544565,0.9928634395388123,0.9933591835144853,0.9935549966687631,0.9932054456914017,0.9923082059324315,0.9916077049688852,5.921160659968205e-07
11,0.9308451360735184,0.9353384873230084,0.937721333662612,0.9563909371755166,0.9829343598051175,0.9922470506566903,0.995371345828918,0.9977742910870724,0.9991603468834889,0.999643476797818,0.9999102374193889,1.000000476837215,0.9999489790748726,0.9998668476562536,0.9997605228763327,0.9996512240352473,0.9992818929961835,0.9986328985914952,0.9980849859969112,0.9975922313431198,0.9966336257470552,0.996295432373703,0.9957376934186222,0.9955771106907072,0.9947824763361304,0.9942161273994863,0.9932012875693239,0.9933446884049459,0.9938360365212908,0.9940358188206488,0.9936807169839454,0.9928158080646341,0.9921376883476682,7.911224781874225e-07
12,0.9293722812131477,0.9338363911098355,0.9361266656408738,0.9550416384452411,0.9819317927713342,0.9915636647839996,0.9948331274837905,0.997394234927814,0.9989095324426813,0.9994654177999998,0.9998210748606517,0.9999489790748726,1.000002384187212,0.99995219764617,0.9998831783082665,0.9997946129411481,0.999448494677754,0.9988342346799897,0.9983265254532512,0.9978560983557969,0.996924146588313,0.9965875700016937,0.9960359358448301,0.9958659309994324,0.9950790297822643,0.9945177083455405,0.9934933277016889,0.9936336600556075,0.9941169972579509,0.9943164511832983,0.993956901819061,0.9931142066126455,0.9924445355432567,1.6536268662470816e-06
13,0.9280018766050127,0.9324235598172983,0.9346059580228747,0.9537340384013113,0.9809596085086838,0.9908671052840532,0.9942652188556167,0.996966877313131,0.998616578152852,0.9992578215123196,0.9996847162840119,0.9998668476562536,0.99995219764617,1.0000002384185933,0.9999576811499402,0.9998899728524044,0.9995629073081638,0.9989670799562624,0.9984789914352064,0.9980338948566647,0.9971223344162219,0.9967782262813216,0.9962270152900601,0.9960621100280065,0.9952654982015794,0.9947097121555295,0.9936898670716268,0.9938214190925834,0.9942908942887243,0.9944954775226087,0.994127219082376,0.9932996591900611,0.9926236308294847,1.341804730865088e-06
14,0.9274169854944923,0.9317979215596814,0.933918759601827,0.953137135362514,0.9804277800385854,0.9904687913541501,0.9939344395705838,0.9967096736093026,0.9984122861356468,0.9990781287049835,0.9995502739252835,0.9997605228763327,0.9998831783082665,0.9999576811499402,0.9999991655351472,0.9999407538606455,0.9996407354748413,0.9990640685436212,0.9986003769734033,0.9981738329120304,0.9972847083720957,0.9969454523227093,0.9964063325321924,0.9962392706992809,0.9954391388389503,0.9948898440315048,0.9938546946962248,0.9939830486713532,0.9944416252756696,0.9946442028904698,0.9942655754565841,0.9934488892086826,0.992766989958799,3.2339036672374627e-06
