Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,1.0000001192092896,0.9989252686500549,0.9973598122596741,0.9961051344871521,0.98517245054245,0.9796256422996521,0.9766872525215149,0.9732520580291748,0.9699556231498718,0.9679198861122131,0.9660975337028503,0.964803159236908,0.9640395641326904,0.9633285403251648,0.963024914264679,0.9625958204269409,0.9621509313583374,0.9611994624137878,0.9603523015975952,0.9594618082046509,0.9584802389144897,0.9583747386932373,0.9581942558288574,0.9581464529037476,0.9576607942581177,0.9573667049407959,0.9568532109260559,0.9570205211639404,0.9573044180870056,0.9573405385017395,0.9571855068206787,0.9562293291091919,0.9555546045303345,0.0030390589963644743
1,0.9989252686500549,1.0,0.9990371465682983,0.9979154467582703,0.987870454788208,0.9822590947151184,0.979254961013794,0.9757304191589355,0.9723936319351196,0.9703224897384644,0.9684578776359558,0.9671289920806885,0.966352105140686,0.9656208157539368,0.9652968049049377,0.9648497700691223,0.9643802642822266,0.9633992314338684,0.9625436663627625,0.9616426825523376,0.9606575965881348,0.960533618927002,0.9603336453437805,0.9602724313735962,0.9597676396369934,0.9594745635986328,0.9589332342147827,0.9591096639633179,0.9593854546546936,0.9594228863716125,0.9592382311820984,0.9583024382591248,0.957625150680542,0.0021198501344770193
2,0.9973598122596741,0.9990371465682983,1.0000004768371582,0.9988963007926941,0.989734411239624,0.9840089678764343,0.9809278845787048,0.9773118495941162,0.973889946937561,0.9717258810997009,0.9697678089141846,0.9683601260185242,0.9675363898277283,0.9667502045631409,0.9663947224617004,0.96590656042099,0.9654085636138916,0.964363157749176,0.9634594917297363,0.9625092148780823,0.9614757895469666,0.9613491296768188,0.9611573815345764,0.9610896110534668,0.9605787396430969,0.9602676033973694,0.959709107875824,0.9598882794380188,0.9601578116416931,0.9601848125457764,0.9599921703338623,0.9590138792991638,0.9582946300506592,0.001710606855340302
3,0.9961051344871521,0.9979154467582703,0.9988963007926941,1.0000003576278687,0.9943853616714478,0.9903502464294434,0.9880520105361938,0.9852595329284668,0.9825214743614197,0.9807458519935608,0.9791253805160522,0.9779524207115173,0.9772623181343079,0.9765930771827698,0.9762874245643616,0.9758676290512085,0.9754074215888977,0.9744728207588196,0.9736735224723816,0.9728332757949829,0.9718799591064453,0.9717457890510559,0.9715478420257568,0.9714762568473816,0.9709786772727966,0.9706602692604065,0.9701126217842102,0.9702707529067993,0.9705381393432617,0.9705844521522522,0.9703904986381531,0.9695069789886475,0.968859076499939,0.0015921074664220214
4,0.98517245054245,0.987870454788208,0.989734411239624,0.9943853616714478,0.9999994039535522,0.9988459348678589,0.9978160858154297,0.996256411075592,0.9945619702339172,0.993371844291687,0.9922420382499695,0.9914304614067078,0.9909247159957886,0.9904340505599976,0.9901655316352844,0.9898231029510498,0.9894049763679504,0.9885996580123901,0.9879320859909058,0.9873332977294922,0.986582338809967,0.9864082932472229,0.9861419200897217,0.9860407114028931,0.9855791330337524,0.9853005409240723,0.9847081899642944,0.9848394989967346,0.9850798845291138,0.9851539731025696,0.9849584698677063,0.9842463731765747,0.983703076839447,0.001312721404246986
5,0.9796256422996521,0.9822590947151184,0.9840089678764343,0.9903502464294434,0.9988459348678589,1.000000238418579,0.9997023344039917,0.9990268349647522,0.9980928301811218,0.9973532557487488,0.9966474175453186,0.9961159825325012,0.9957728981971741,0.9954230785369873,0.9952229857444763,0.9949642419815063,0.9946079850196838,0.9939679503440857,0.9934266209602356,0.9929472804069519,0.9922757744789124,0.992108941078186,0.9918376207351685,0.991752028465271,0.9913045763969421,0.9910334944725037,0.9904620051383972,0.9905886650085449,0.9908213019371033,0.9909068942070007,0.9907274842262268,0.9901143312454224,0.989656925201416,0.0011728431563824415
6,0.9766872525215149,0.979254961013794,0.9809278845787048,0.9880520105361938,0.9978160858154297,0.9997023344039917,1.0,0.9997431039810181,0.9991549849510193,0.9986168742179871,0.9980915188789368,0.9976829886436462,0.9974132180213928,0.9971284866333008,0.9969626069068909,0.9967470765113831,0.9964293837547302,0.9958560466766357,0.9953732490539551,0.99494868516922,0.9943209886550903,0.9941496253013611,0.99388188123703,0.9937959313392639,0.9933633208274841,0.993084192276001,0.992536187171936,0.9926468729972839,0.9928886890411377,0.9929816722869873,0.9928002953529358,0.9922292232513428,0.9918004870414734,0.0012653220910578966
7,0.9732520580291748,0.9757304191589355,0.9773118495941162,0.9852595329284668,0.996256411075592,0.9990268349647522,0.9997431039810181,1.0000005960464478,0.9997960329055786,0.9994817972183228,0.9991614818572998,0.9988865256309509,0.9986962676048279,0.9984822869300842,0.9983534812927246,0.9981828331947327,0.9979046583175659,0.997403621673584,0.9969832301139832,0.9966121315956116,0.9960259795188904,0.995859682559967,0.9955940246582031,0.9955081939697266,0.9950892925262451,0.9948063492774963,0.9942640662193298,0.9943617582321167,0.9946101903915405,0.994701623916626,0.9945204854011536,0.994003176689148,0.993604838848114,0.0012154183350503445
8,0.9699556231498718,0.9723936319351196,0.973889946937561,0.9825214743614197,0.9945619702339172,0.9980928301811218,0.9991549849510193,0.9997960329055786,1.0000004768371582,0.9999092221260071,0.9997521042823792,0.9995800852775574,0.9994546175003052,0.9993080496788025,0.9992058277130127,0.9990749955177307,0.998823881149292,0.9983775615692139,0.998009979724884,0.9976855516433716,0.9971292018890381,0.9969637989997864,0.9966895580291748,0.9966026544570923,0.9961922764778137,0.9959092140197754,0.9953821301460266,0.9954712390899658,0.9957248568534851,0.9958193898200989,0.9956387281417847,0.9951481223106384,0.9947795867919922,0.00036073135561309755
9,0.9679198861122131,0.9703224897384644,0.9717258810997009,0.9807458519935608,0.993371844291687,0.9973532557487488,0.9986168742179871,0.9994817972183228,0.9999092221260071,0.9999996423721313,0.9999240636825562,0.9998217225074768,0.9997326731681824,0.9996288418769836,0.9995389580726624,0.9994334578514099,0.9991973042488098,0.9987890124320984,0.9984517097473145,0.9981552362442017,0.9976160526275635,0.997447669506073,0.9971615672111511,0.9970736503601074,0.996667742729187,0.9963837265968323,0.995860755443573,0.9959465265274048,0.9962067008018494,0.9963052272796631,0.9961209893226624,0.9956508278846741,0.9952953457832336,-0.0004635764053091407
10,0.9660975337028503,0.9684578776359558,0.9697678089141846,0.9791253805160522,0.9922420382499695,0.9966474175453186,0.9980915188789368,0.9991614818572998,0.9997521042823792,0.9999240636825562,0.9999995827674866,0.9999551177024841,0.9999105334281921,0.9998423457145691,0.9997751116752625,0.999702513217926,0.999507486820221,0.999151885509491,0.9988551139831543,0.9985895156860352,0.9980891942977905,0.9979210495948792,0.9976390600204468,0.9975513815879822,0.9971527457237244,0.9968661069869995,0.996350109577179,0.9964253306388855,0.9966740608215332,0.996772289276123,0.9965969324111938,0.9961466789245605,0.9957950115203857,0.0007694907835684717
11,0.964803159236908,0.9671289920806885,0.9683601260185242,0.9779524207115173,0.9914304614067078,0.9961159825325012,0.9976829886436462,0.9988865256309509,0.9995800852775574,0.9998217225074768,0.9999551177024841,1.000000238418579,0.9999744892120361,0.9999334216117859,0.9998802542686462,0.9998255968093872,0.9996408820152283,0.9993162155151367,0.9990420341491699,0.9987953901290894,0.9983153939247131,0.9981459975242615,0.9978665709495544,0.9977861046791077,0.9973878264427185,0.9971038699150085,0.9965948462486267,0.9966667890548706,0.9969132542610168,0.9970134496688843,0.9968353509902954,0.9964014291763306,0.9960610866546631,0.0008894506609067321
12,0.9640395641326904,0.966352105140686,0.9675363898277283,0.9772623181343079,0.9909247159957886,0.9957728981971741,0.9974132180213928,0.9986962676048279,0.9994546175003052,0.9997326731681824,0.9999105334281921,0.9999744892120361,1.0000011920928955,0.9999760985374451,0.9999415874481201,0.999897301197052,0.9997242093086243,0.9994169473648071,0.9991629123687744,0.9989274740219116,0.9984608888626099,0.9982923269271851,0.9980159997940063,0.9979308247566223,0.9975364804267883,0.9972550868988037,0.9967413544654846,0.9968117475509644,0.9970541596412659,0.997154176235199,0.9969738721847534,0.9965511560440063,0.9962151050567627,0.0012859342386946082
13,0.9633285403251648,0.9656208157539368,0.9667502045631409,0.9765930771827698,0.9904340505599976,0.9954230785369873,0.9971284866333008,0.9984822869300842,0.9993080496788025,0.9996288418769836,0.9998423457145691,0.9999334216117859,0.9999760985374451,1.0000001192092896,0.9999788403511047,0.9999449849128723,0.9997814297676086,0.9994834065437317,0.9992392063140869,0.9990164637565613,0.9985601305961609,0.9983878135681152,0.9981117248535156,0.9980291128158569,0.9976299405097961,0.997351348400116,0.9968399405479431,0.9969059228897095,0.9971413612365723,0.9972439408302307,0.9970592856407166,0.9966441988945007,0.996304988861084,0.00115836295299232
14,0.963024914264679,0.9652968049049377,0.9663947224617004,0.9762874245643616,0.9901655316352844,0.9952229857444763,0.9969626069068909,0.9983534812927246,0.9992058277130127,0.9995389580726624,0.9997751116752625,0.9998802542686462,0.9999415874481201,0.9999788403511047,0.9999995827674866,0.9999703764915466,0.999820351600647,0.9995319247245789,0.999299943447113,0.9990864992141724,0.9986414313316345,0.9984715580940247,0.9982015490531921,0.9981178641319275,0.9977169632911682,0.9974416494369507,0.9969226121902466,0.996986985206604,0.9972169399261475,0.9973185062408447,0.9971286654472351,0.9967190623283386,0.9963769316673279,0.0017983057769015431
15,0.9625958204269409,0.9648497700691223,0.96590656042099,0.9758676290512085,0.9898231029510498,0.9949642419815063,0.9967470765113831,0.9981828331947327,0.9990749955177307,0.9994334578514099,0.999702513217926,0.9998255968093872,0.999897301197052,0.9999449849128723,0.9999703764915466,1.0000003576278687,0.999888002872467,0.9996407628059387,0.999430239200592,0.9992388486862183,0.998834490776062,0.9986703395843506,0.9984130263328552,0.9983310103416443,0.9979438781738281,0.9976785778999329,0.9971677660942078,0.9972178339958191,0.9974281191825867,0.9975209832191467,0.9973333477973938,0.9969171285629272,0.996562659740448,0.004305836278945208
16,0.9621509313583374,0.9643802642822266,0.9654085636138916,0.9754074215888977,0.9894049763679504,0.9946079850196838,0.9964293837547302,0.9979046583175659,0.998823881149292,0.9991973042488098,0.999507486820221,0.9996408820152283,0.9997242093086243,0.9997814297676086,0.999820351600647,0.999888002872467,1.0,0.9998693466186523,0.9997323751449585,0.9995854496955872,0.999274492263794,0.9991350769996643,0.9989270567893982,0.998849093914032,0.9984993934631348,0.9982571005821228,0.9977626800537109,0.9977744817733765,0.9979357719421387,0.9979916214942932,0.9977952241897583,0.9973774552345276,0.9969709515571594,0.012977516278624535
17,0.9611994624137878,0.9633992314338684,0.964363157749176,0.9744728207588196,0.9885996580123901,0.9939679503440857,0.9958560466766357,0.997403621673584,0.9983775615692139,0.9987890124320984,0.999151885509491,0.9993162155151367,0.9994169473648071,0.9994834065437317,0.9995319247245789,0.9996407628059387,0.9998693466186523,1.000000238418579,0.9999294877052307,0.9998406767845154,0.9996118545532227,0.9995003938674927,0.9993211627006531,0.9992602467536926,0.9989620447158813,0.9987449645996094,0.9982858300209045,0.9982646703720093,0.998377799987793,0.9984034299850464,0.9982036352157593,0.9977871179580688,0.997330904006958,0.022338058799505234
18,0.9603523015975952,0.9625436663627625,0.9634594917297363,0.9736735224723816,0.9879320859909058,0.9934266209602356,0.9953732490539551,0.9969832301139832,0.998009979724884,0.9984517097473145,0.9988551139831543,0.9990420341491699,0.9991629123687744,0.9992392063140869,0.999299943447113,0.999430239200592,0.9997323751449585,0.9999294877052307,1.0000001192092896,0.9999337196350098,0.9997604489326477,0.999670684337616,0.9995166063308716,0.999460756778717,0.9991902709007263,0.998995840549469,0.9985414147377014,0.998512327671051,0.9985979795455933,0.9986087679862976,0.9984132051467896,0.9980016350746155,0.9975367784500122,0.028161276131868362
19,0.9594618082046509,0.9616426825523376,0.9625092148780823,0.9728332757949829,0.9873332977294922,0.9929472804069519,0.99494868516922,0.9966121315956116,0.9976855516433716,0.9981552362442017,0.9985895156860352,0.9987953901290894,0.9989274740219116,0.9990164637565613,0.9990864992141724,0.9992388486862183,0.9995854496955872,0.9998406767845154,0.9999337196350098,1.0000004768371582,0.999853253364563,0.9997647404670715,0.9996195435523987,0.9995724558830261,0.9993232488632202,0.999149739742279,0.9986982941627502,0.9986647367477417,0.9987345337867737,0.9987393617630005,0.9985488057136536,0.9981376528739929,0.9976671934127808,0.03208044916391373
20,0.9584802389144897,0.9606575965881348,0.9614757895469666,0.9718799591064453,0.986582338809967,0.9922757744789124,0.9943209886550903,0.9960259795188904,0.9971292018890381,0.9976160526275635,0.9980891942977905,0.9983153939247131,0.9984608888626099,0.9985601305961609,0.9986414313316345,0.998834490776062,0.999274492263794,0.9996118545532227,0.9997604489326477,0.999853253364563,1.0000008344650269,0.9998944997787476,0.9997631311416626,0.999714732170105,0.9994930028915405,0.9993599653244019,0.9989514946937561,0.9989131689071655,0.9989309310913086,0.9989134073257446,0.9987340569496155,0.9983093738555908,0.9977769255638123,0.038759272545576096
21,0.9583747386932373,0.960533618927002,0.9613491296768188,0.9717457890510559,0.9864082932472229,0.992108941078186,0.9941496253013611,0.995859682559967,0.9969637989997864,0.997447669506073,0.9979210495948792,0.9981459975242615,0.9982923269271851,0.9983878135681152,0.9984715580940247,0.9986703395843506,0.9991350769996643,0.9995003938674927,0.999670684337616,0.9997647404670715,0.9998944997787476,1.0000008344650269,0.9998517632484436,0.999798059463501,0.9995993375778198,0.9994666576385498,0.9990839958190918,0.9990289807319641,0.9990370869636536,0.9990026950836182,0.9988269209861755,0.99839848279953,0.9978459477424622,0.04168200492858887
22,0.9581942558288574,0.9603336453437805,0.9611573815345764,0.9715478420257568,0.9861419200897217,0.9918376207351685,0.99388188123703,0.9955940246582031,0.9966895580291748,0.9971615672111511,0.9976390600204468,0.9978665709495544,0.9980159997940063,0.9981117248535156,0.9982015490531921,0.9984130263328552,0.9989270567893982,0.9993211627006531,0.9995166063308716,0.9996195435523987,0.9997631311416626,0.9998517632484436,1.000000238418579,0.9998754262924194,0.9997174739837646,0.9995893239974976,0.9992181062698364,0.9991480112075806,0.9991584420204163,0.9991000890731812,0.9989164471626282,0.9984897971153259,0.9979187846183777,0.04573802649974823
23,0.9581464529037476,0.9602724313735962,0.9610896110534668,0.9714762568473816,0.9860407114028931,0.991752028465271,0.9937959313392639,0.9955081939697266,0.9966026544570923,0.9970736503601074,0.9975513815879822,0.9977861046791077,0.9979308247566223,0.9980291128158569,0.9981178641319275,0.9983310103416443,0.998849093914032,0.9992602467536926,0.999460756778717,0.9995724558830261,0.999714732170105,0.999798059463501,0.9998754262924194,1.0,0.9998185038566589,0.9996858239173889,0.999345600605011,0.9992541074752808,0.9992258548736572,0.999194860458374,0.9990230798721313,0.9986063838005066,0.998029351234436,0.04743087664246559
24,0.9576607942581177,0.9597676396369934,0.9605787396430969,0.9709786772727966,0.9855791330337524,0.9913045763969421,0.9933633208274841,0.9950892925262451,0.9961922764778137,0.996667742729187,0.9971527457237244,0.9973878264427185,0.9975364804267883,0.9976299405097961,0.9977169632911682,0.9979438781738281,0.9984993934631348,0.9989620447158813,0.9991902709007263,0.9993232488632202,0.9994930028915405,0.9995993375778198,0.9997174739837646,0.9998185038566589,1.0000004768371582,0.9997736811637878,0.9995041489601135,0.9993664026260376,0.9993001818656921,0.9992542266845703,0.9990913271903992,0.9986891746520996,0.9980473518371582,0.052188385277986526
25,0.9573667049407959,0.9594745635986328,0.9602676033973694,0.9706602692604065,0.9853005409240723,0.9910334944725037,0.993084192276001,0.9948063492774963,0.9959092140197754,0.9963837265968323,0.9968661069869995,0.9971038699150085,0.9972550868988037,0.997351348400116,0.9974416494369507,0.9976785778999329,0.9982571005821228,0.9987449645996094,0.998995840549469,0.999149739742279,0.9993599653244019,0.9994666576385498,0.9995893239974976,0.9996858239173889,0.9997736811637878,0.9999997615814209,0.999701976776123,0.9996170997619629,0.9995342493057251,0.9994931221008301,0.9993054270744324,0.9989181756973267,0.9983094930648804,0.05676959082484245
26,0.9568532109260559,0.9589332342147827,0.959709107875824,0.9701126217842102,0.9847081899642944,0.9904620051383972,0.992536187171936,0.9942640662193298,0.9953821301460266,0.995860755443573,0.996350109577179,0.9965948462486267,0.9967413544654846,0.9968399405479431,0.9969226121902466,0.9971677660942078,0.9977626800537109,0.9982858300209045,0.9985414147377014,0.9986982941627502,0.9989514946937561,0.9990839958190918,0.9992181062698364,0.999345600605011,0.9995041489601135,0.999701976776123,1.0,0.999772846698761,0.9996448755264282,0.9995652437210083,0.9993987679481506,0.9990564584732056,0.9983002543449402,0.060551777482032776
