Layer,LogitLens
0,0.020844513416290282
1,0.02232582759857178
2,0.006888448817655444
3,0.0028835385020356623
4,2.4773968702155346e-12
5,2.677737733843688e-17
6,4.012344493504176e-21
7,1.2270734216883496e-24
8,0.0071769375686872505
9,2.9823471843040508e-21
10,0.0008876980910863494
11,1.5318160759152933e-40
12,1.8569368964474678e-14
13,6.306887791112703e-05
14,0.00013427734375456813
15,5.282212621359895e-30
16,0.03624804687500133
17,4.124256491877997e-15
18,5.77315972812705e-17
19,0.03805664062500026
20,0.009528320312516943
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,3.561906325444423e-14
29,0.006977539062518467
30,9.325873406854648e-17
31,0.0
32,0.00089453125
33,1.979078125
