Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,315.58188,225.65715,446.42148,760.21405,1954.5183,3639.0364,5506.4736,8305.658,16108.846,25892.02,56047.25,114086.02,150900.95,180957.44,220466.97,271675.44,333562.44,399318.25,411965.3,414382.03,416673.94,452650.44,403123.53,374964.56,390025.9,458571.5,514899.34,577895.6,763063.9,862604.6,943558.7,1.0350417e+06,1.3659696e+06,15.317798
1,315.58188,0.0,11.912403,21.554865,113.413185,760.07117,1904.6832,3311.4617,5552.8174,12180.838,20851.926,48520.633,103245.875,138399.28,167257.81,205317.16,254847.66,314900.3,378899.8,391251.25,393651.62,395924.88,431017.66,382729.3,355366.38,370082.5,436950.9,492066.0,553758.9,735253.3,833095.6,912740.4,1.002908e+06,1.3289534e+06,330.92184
2,225.65715,11.912403,0.0,42.112537,174.68146,909.3633,2153.94,3647.0747,5993.5435,12841.378,21719.508,49849.273,105187.06,140648.16,169731.72,208061.3,257905.8,318299.7,382628.62,395038.97,397446.72,399722.72,434975.94,386458.75,358947.28,373728.7,440906.0,496245.3,558176.7,740344.5,838505.4,918388.4,1.0087998e+06,1.3357575e+06,240.62842
3,446.42148,21.554865,42.112537,0.0,51.660057,573.1165,1620.9177,2947.6855,5093.581,11518.211,19996.996,47235.016,101382.8,136247.56,164901.84,202715.78,251959.97,311697.44,375398.4,387707.16,390107.28,392377.03,427315.56,379240.7,352015.72,366674.34,433249.8,488155.2,549614.4,730463.6,828014.1,907434.4,997383.8,1.3225872e+06,461.03058
4,760.21405,113.413185,174.68146,51.660057,0.0,305.66815,1128.8008,2264.0369,4178.0005,10116.155,18134.56,44347.566,97133.48,131313.7,159474.56,196693.48,245242.66,304224.56,367196.7,379379.12,381766.66,384024.66,418600.06,371037.7,344136.94,358646.72,424529.06,478939.3,539867.25,719214.4,816056.7,894957.8,984370.3,1.3075498e+06,774.515
5,1954.5183,760.07117,909.3633,573.1165,305.66815,0.0,289.5384,975.5881,2344.4587,7139.286,14077.94,37886.508,87461.086,120035.39,147033.34,182865.78,229798.9,287016.28,348299.12,360202.1,362551.72,364795.03,398536.6,352161.06,326036.8,340201.44,404448.38,457695.16,517355.66,693154.6,788346.56,866035.3,954206.2,1.2726425e+06,1968.8027
6,3639.0364,1904.6832,2153.94,1620.9177,1128.8008,289.5384,0.0,216.51175,1013.5879,4608.6826,10414.6,31700.55,77925.99,108814.96,134596.5,168974.17,214208.4,269564.1,329051.28,340640.88,342949.38,345179.7,378039.94,332924.78,307587.9,321386.2,383939.56,435957.3,494290.16,666394.75,759852.06,836278.4,923153.5,1.2366205e+06,3652.5972
7,5506.4736,3311.4617,3647.0747,2947.6855,2264.0369,975.5881,216.51175,0.0,310.29547,2876.9243,7713.5146,26841.146,70194.3,99646.28,124381.516,157513.31,201283.22,255051.28,313009.34,324328.3,326602.72,328807.78,360914.56,316880.3,292240.03,305735.56,366850.22,417833.2,475024.8,643968.5,735952.7,811282.2,897018.5,1.206204e+06,5519.0605
8,8305.658,5552.8174,5993.5435,5093.581,4178.0005,2344.4587,1013.5879,310.29547,0.0,1323.6907,4983.6865,21499.691,61389.32,89098.71,112567.375,144186.03,186188.6,238037.12,294142.94,305139.8,307377.66,309563.84,340756.78,298019.5,274209.84,287330.94,346709.38,396430.3,452269.06,617387.4,707589.6,781613.9,865979.5,1.1700362e+06,8319.084
9,16108.846,12180.838,12841.378,11518.211,10116.155,7139.286,4608.6826,2876.9243,1323.6907,0.0,1196.8726,12216.557,44806.08,68854.44,89659.13,118101.6,156383.33,204181.47,256391.8,266706.5,268854.22,270980.62,300264.8,260285.95,238242.83,250581.53,306288.5,353361.2,406329.5,563398.6,649827.94,721081.7,802566.5,1.0957645e+06,16122.185
10,25892.02,20851.926,21719.508,19996.996,18134.56,14077.94,10414.6,7713.5146,4983.6865,1196.8726,0.0,5835.1987,31526.1,52111.375,70396.38,95829.42,130591.14,174563.97,223092.55,232761.33,234833.58,236913.58,264365.6,226987.03,206601.34,218191.4,270443.72,314990.8,365234.56,514676.16,597560.8,666170.5,744940.5,1.0278433e+06,25903.684
11,56047.25,48520.633,49849.273,47235.016,44347.566,37886.508,31700.55,26841.146,21499.691,12216.557,5835.1987,0.0,10348.657,23214.79,35888.336,54626.938,81554.26,116994.96,157319.61,165538.62,167422.55,169379.62,192797.6,161180.34,144487.95,154433.2,198948.47,237866.78,282066.0,414542.03,489490.5,552268.9,624960.3,884955.7,56056.98
12,114086.02,103245.875,105187.06,101382.8,97133.48,87461.086,77925.99,70194.3,61389.32,44806.08,31526.1,10348.657,0.0,2725.8936,7958.797,17834.418,34337.957,58486.074,87856.66,94202.74,95848.08,97672.34,115690.73,91790.945,79969.516,87735.83,121978.73,153492.38,189618.44,299603.22,364028.8,419113.06,483818.94,713441.94,114094.27
13,150900.95,138399.28,140648.16,136247.56,131313.7,120035.39,108814.96,99646.28,89098.71,68854.44,52111.375,23214.79,2725.8936,0.0,1542.3544,6932.5674,18218.996,36634.855,60555.855,65910.8,67425.72,69145.64,84487.63,64441.04,55090.195,61763.758,90840.94,118522.95,150670.3,249230.8,308304.8,359496.2,420079.75,634441.56,150905.2
14,180957.44,167257.81,169731.72,164901.84,159474.56,147033.34,134596.5,124381.516,112567.375,89659.13,70396.38,35888.336,7958.797,1542.3544,0.0,2210.097,9689.175,23963.309,43895.73,48548.105,49996.01,51657.836,65012.938,47825.49,40239.844,46088.28,71448.89,96437.484,125678.67,216010.84,271302.53,319703.7,377344.94,580472.1,180963.25
15,220466.97,205317.16,208061.3,202715.78,196693.48,182865.78,168974.17,157513.31,144186.03,118101.6,95829.42,54626.938,17834.418,6932.5674,2210.097,0.0,2985.31,12312.882,27483.193,31307.0,32635.848,34196.79,45231.992,31453.49,26069.7,30993.906,51900.9,73601.52,99266.234,179772.33,230386.33,275386.34,329624.3,519568.3,220470.78
16,271675.44,254847.66,257905.8,251959.97,245242.66,229798.9,214208.4,201283.22,186188.6,156383.33,130591.14,81554.26,34337.957,18218.996,9689.175,2985.31,0.0,3608.582,13240.028,16059.439,17236.13,18776.8,27076.707,17271.809,14414.472,18233.406,33865.074,51719.508,73286.92,142226.17,187541.53,228602.2,278533.2,452977.56,271672.56
17,333562.44,314900.3,318299.7,311697.44,304224.56,287016.28,269564.1,255051.28,238037.12,204181.47,174563.97,116994.96,58486.074,36634.855,23963.309,12312.882,3608.582,0.0,3592.707,5293.074,6364.9414,7800.056,13118.706,7708.427,7655.208,10284.099,20188.45,33855.688,50855.77,107326.15,146794.55,183794.08,229275.38,386895.38,333554.7
18,399318.25,378899.8,382628.62,375398.4,367196.7,348299.12,329051.28,313009.34,294142.94,256391.8,223092.55,157319.61,87856.66,60555.855,43895.73,27483.193,13240.028,3592.707,0.0,821.10156,1744.0446,3092.4043,5442.711,4379.9937,6893.331,8341.131,12798.919,22335.621,34993.14,79359.12,113099.836,146196.39,187304.66,328820.6,399301.22
19,411965.3,391251.25,395038.97,387707.16,379379.12,360202.1,340640.88,324328.3,305139.8,266706.5,232761.33,165538.62,94202.74,65910.8,48548.105,31307.0,16059.439,5293.074,821.10156,0.0,996.1299,2368.6633,4318.1895,4075.931,7067.2017,8267.419,11718.549,20410.77,32290.082,74468.625,107144.625,139446.7,179663.03,318493.1,411934.4
20,414382.03,393651.62,397446.72,390107.28,381766.66,362551.72,342949.38,326602.72,307377.66,268854.22,234833.58,167422.55,95848.08,67425.72,49996.01,32635.848,17236.13,6364.9414,1744.0446,996.1299,0.0,1543.6324,3578.4343,3696.0234,6705.9404,7893.164,11176.326,19873.781,31633.37,73476.88,105910.14,138036.38,178134.34,316616.97,414333.78
21,416673.94,395924.88,399722.72,392377.03,384024.66,364795.03,345179.7,328807.78,309563.84,270980.62,236913.58,169379.62,97672.34,69145.64,51657.836,34196.79,18776.8,7800.056,3092.4043,2368.6633,1543.6324,0.0,2477.587,2971.4028,6056.1577,7237.5977,10230.956,18668.277,30379.355,71906.39,103966.39,136235.95,176402.12,314670.06,416586.28
22,452650.44,431017.66,434975.94,427315.56,418600.06,398536.6,378039.94,360914.56,340756.78,300264.8,264365.6,192797.6,115690.73,84487.63,65012.938,45231.992,27076.707,13118.706,5442.711,4318.1895,3578.4343,2477.587,0.0,3260.224,7528.302,8049.714,8220.033,14257.178,23887.297,59148.28,88312.39,118318.06,156125.12,286792.44,452533.4
23,403123.53,382729.3,386458.75,379240.7,371037.7,352161.06,332924.78,316880.3,298019.5,260285.95,226987.03,161180.34,91790.945,64441.04,47825.49,31453.49,17271.809,7708.427,4379.9937,4075.931,3696.0234,2971.4028,3260.224,0.0,2768.2375,4259.7314,8357.8125,17411.781,29783.02,73602.55,106716.375,139263.69,180105.78,321990.06,402982.78
