Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,17.500631,14.7986555,20.814705,27.162245,43.552948,59.42798,73.1029,89.78107,125.03446,158.51875,233.22484,332.7468,382.68698,419.06937,462.56155,513.47906,568.9658,622.52576,632.30695,634.159,635.9103,662.79486,625.4848,603.2437,615.2398,667.1159,706.90137,748.8975,860.5541,914.96313,956.9345,1002.2511,1151.3787,3.8556345
1,0.9986077,0.0,0.19401653,0.2609826,0.59864676,1.5497658,2.4532979,3.23481,4.188857,6.2040815,8.117308,12.382321,18.062391,20.912495,22.989632,25.471329,28.377829,31.544634,34.60199,35.16144,35.269135,35.370834,36.905106,34.7764,33.5102,34.197006,37.15825,39.432156,41.831093,48.201153,51.308147,53.704716,56.29496,64.802795,1.02259
2,0.9989797,0.22952603,0.0,0.43155664,0.87893236,2.0053988,3.0863762,4.0160995,5.1484194,7.535948,9.8007,14.847778,21.56817,24.940155,27.397669,30.333868,33.77246,37.518913,41.135883,41.797672,41.924854,42.044724,43.859604,41.34126,39.842575,40.654655,44.157578,46.846844,49.684162,57.220154,60.895477,63.7302,66.79358,76.859215,1.0315864
3,0.9998804,0.21970914,0.30710098,0.0,0.34013626,1.132914,1.9052677,2.5693073,3.377436,5.07888,6.69203,10.285075,15.068069,17.467865,19.217117,21.306852,23.754244,26.42057,28.994905,29.466425,29.557486,29.643345,30.934978,29.14291,28.07738,28.656015,31.149044,33.06394,35.08363,40.445923,43.062016,45.079926,47.261395,54.42364,1.0161091
4,0.9997436,0.38614678,0.47923005,0.26061425,0.0,0.6339366,1.2182299,1.7252913,2.3437157,3.6469388,4.882859,7.6358175,11.300695,13.139403,14.479928,16.081097,17.956373,19.999437,21.972023,22.333534,22.403696,22.469858,23.459589,22.086637,21.270924,21.714714,23.625141,25.093477,26.641836,30.750338,32.755245,34.302204,35.974926,41.461956,1.0091033
5,1.0000275,0.62361896,0.68211997,0.5415188,0.39547336,0.0,0.38489753,0.7065215,1.0952501,1.9112588,2.683871,4.402854,6.689591,7.8369446,8.673612,9.6729355,10.843416,12.118401,13.349602,13.575792,13.619999,13.662072,14.279934,13.423409,12.91592,13.193505,14.385456,15.30313,16.269968,18.832466,20.084019,21.050379,22.095978,25.517925,1.0036752
6,1.0000807,0.72352445,0.7694113,0.6674555,0.5569938,0.28209466,0.0,0.24393971,0.5278037,1.1254601,1.691855,2.95172,4.627889,5.468726,6.082171,6.814782,7.672907,8.607417,9.50985,9.675875,9.708605,9.740122,10.193203,9.565659,9.194464,9.398433,10.27243,10.94621,11.655552,13.533421,14.451281,15.16063,15.928643,18.435719,1.0019425
7,1.000085,0.77555025,0.8139025,0.7317127,0.64127123,0.42095274,0.19830823,0.0,0.23740384,0.72287667,1.1836579,2.208008,3.5706801,4.254324,4.7531123,5.3488274,6.0464964,6.8063426,7.5401273,7.675249,7.702113,7.7280703,8.096591,7.5866084,7.2856765,7.452003,8.162898,8.711671,9.28877,10.815145,11.561789,12.139087,12.764409,14.801657,1.001227
8,1.0000842,0.8177229,0.84955466,0.7831792,0.7093062,0.5313378,0.3493656,0.1933024,0.0,0.39924803,0.7746844,1.6090355,2.7189162,3.275558,3.6817627,4.1668806,4.7350655,5.35392,5.9515324,6.0617633,6.0839505,6.105548,6.4057765,5.990622,5.7463355,5.882214,6.461484,6.9092813,7.379856,8.622405,9.230819,9.70165,10.2118225,11.869957,1.0008922
9,1.0000656,0.86963105,0.8928988,0.84564656,0.7925091,0.6657694,0.534915,0.42263028,0.28667492,0.0,0.27259657,0.8709051,1.6678802,2.0675802,2.3593574,2.7078476,3.1159582,3.5604475,3.9897764,4.0692406,4.0855904,4.101716,4.3176622,4.019962,3.8459742,3.9443088,4.360756,4.683881,5.022681,5.914314,6.3517823,6.690963,7.058898,8.24812,1.0004798
10,1.0000402,0.89744455,0.91592413,0.87885433,0.83692783,0.7374015,0.6342432,0.54583406,0.4387426,0.21500988,0.0,0.47474703,1.1034931,1.4187331,1.648958,1.9239063,2.2459052,2.5966403,2.9354665,2.9984026,3.0117202,3.0250285,3.195486,2.9609764,2.8248866,2.9030416,3.2320125,3.4880555,3.7559555,4.4586306,4.8042502,5.0725594,5.36408,6.300834,1.0002654
11,1.000016,0.9304499,0.94310313,0.91804045,0.8895384,0.8221897,0.75207853,0.69203883,0.619364,0.4668789,0.32266927,0.0,0.4297064,0.6435944,0.8002147,0.98726374,1.206294,1.4448189,1.6754104,1.7186184,1.7283702,1.7384427,1.8547297,1.6958443,1.6056306,1.6599694,1.8840832,2.0601401,2.2433922,2.719657,2.9553025,3.1390996,3.3393044,3.9736588,1.0001029
