Layer,Value
0,20.70056858062744
1,20.700569248199464
2,20.70056858062744
3,20.700569248199464
4,20.70056858062744
5,20.700168991088866
6,20.281773567199707
7,18.88679552078247
8,16.613689756393434
9,13.761673784255981
10,12.830387592315674
11,11.43570318222046
12,11.983425617218018
13,12.010336112976074
14,11.298630666732787
15,10.522789525985718
16,10.02805666923523
17,10.182355499267578
18,8.407891869544983
19,7.003070521354675
20,5.711565279960633
21,3.2303192257881164
22,2.863814514875412
23,2.3950153291225433
24,0.32475795187056067
25,0.1964296931400895
26,0.2791424872353673
27,0.24372379784472287
28,0.17785664530238138
29,0.1374403501395136
30,0.11348101696930826
31,0.10031859104055911
32,0.07149375234730541
33,0.024250649448367766
