Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1.0,0.05199934,0.048473585,0.02576504,0.024602804,0.009485906,0.0025225175,-0.00092637306,-0.0033307774,-0.0056123566,-0.0046952395,-0.002494957,-0.0008531492,-0.0007244607,0.00034193078,0.00034695503,0.0016059957,0.00059690175,0.002608593,0.004569175,0.0060007772,0.007744061,0.008333825,0.010177754,0.010996429,0.009918852,0.0059750183,0.0060771764,0.008551223,0.005951369,0.0075378884,0.007853665,0.012490238,0.009022349,0.071009815
1,0.05199934,0.9999997,0.99053663,0.98556954,0.9821623,0.9604816,0.9552604,0.9508521,0.94617707,0.93978137,0.93564904,0.931489,0.92857575,0.9277094,0.926354,0.92599607,0.92468745,0.9236688,0.92235667,0.9211537,0.91917276,0.9175163,0.91744107,0.91749936,0.91413206,0.9125095,0.91117275,0.909439,0.9079294,0.9109091,0.90952617,0.90488017,0.90119416,0.8965408,0.0027185017
2,0.048473585,0.99053663,1.0,0.9917771,0.9773556,0.95371616,0.9394068,0.92994606,0.9209896,0.9099293,0.9035937,0.8971597,0.89272,0.891418,0.8895249,0.88882995,0.8871545,0.88595146,0.8843349,0.8829195,0.8808048,0.8791459,0.8792394,0.8794092,0.8763227,0.8745386,0.8732072,0.8715693,0.87036145,0.8732757,0.87179816,0.8671051,0.8641314,0.8593022,0.0015376874
3,0.02576504,0.98556954,0.9917771,0.9999999,0.9907464,0.9773592,0.96483445,0.95593864,0.9470363,0.9360627,0.92959,0.92274487,0.91799545,0.9166268,0.9147083,0.9137393,0.911959,0.91067106,0.90896386,0.90740865,0.9053421,0.90358984,0.90350795,0.90364325,0.9005175,0.89871734,0.89737123,0.8957392,0.8944755,0.8974542,0.8959222,0.89100605,0.88768256,0.88273513,0.0015017677
4,0.024602804,0.9821623,0.9773556,0.9907464,0.9999998,0.98792243,0.982619,0.9774947,0.9717225,0.96400315,0.9592651,0.9540768,0.95026463,0.94921166,0.9475267,0.94677544,0.9453431,0.9441891,0.9427226,0.94133425,0.93938124,0.9377335,0.93753684,0.9376002,0.934456,0.93283266,0.93142146,0.9295533,0.9280425,0.9312016,0.929784,0.9248044,0.92085224,0.91591483,0.0052653546
5,0.009485906,0.9604816,0.95371616,0.9773592,0.98792243,1.0,0.9942286,0.9881644,0.9817132,0.9728322,0.9673477,0.96087325,0.9562924,0.95495975,0.95325065,0.9520325,0.95031595,0.9489225,0.9471757,0.94569325,0.9439775,0.94216895,0.9416531,0.9418455,0.9386697,0.9370815,0.9357422,0.9337034,0.93202084,0.9350684,0.93370694,0.9286354,0.9239123,0.91895604,0.0010232524
6,0.0025225175,0.9552604,0.9394068,0.96483445,0.982619,0.9942286,1.0,0.9973306,0.99402606,0.9885851,0.98479885,0.9801661,0.9765732,0.9756349,0.9741912,0.9731208,0.97161084,0.97049993,0.96913666,0.9678708,0.96633476,0.96439886,0.9637732,0.96381664,0.9605437,0.9590651,0.95750654,0.9554058,0.95352453,0.9567215,0.9553336,0.95015216,0.944928,0.94018877,-0.00038827758
7,-0.00092637306,0.9508521,0.92994606,0.95593864,0.9774947,0.9881644,0.9973306,1.0,0.9981828,0.99470466,0.99184257,0.9881558,0.985242,0.9844023,0.98317736,0.9822005,0.9808979,0.979849,0.9785685,0.9775074,0.9760332,0.9742204,0.9734681,0.9733566,0.9699019,0.96847266,0.9670016,0.9646997,0.9627982,0.966076,0.9647535,0.9597565,0.95460725,0.9500492,0.0028964523
8,-0.0033307774,0.94617707,0.9209896,0.9470363,0.9717225,0.9817132,0.99402606,0.9981828,0.9999999,0.9981227,0.9961774,0.9933486,0.9908512,0.99018246,0.9891784,0.9883289,0.9871974,0.986156,0.9849858,0.9839647,0.9825169,0.9807289,0.9799416,0.97972804,0.9762604,0.97487247,0.97336125,0.9709795,0.9688866,0.9721687,0.9708794,0.96585166,0.9607586,0.95609695,0.00010352442
9,-0.0056123566,0.93978137,0.9099293,0.9360627,0.96400315,0.9728322,0.9885851,0.99470466,0.9981227,1.0,0.99905586,0.9975817,0.99593985,0.99546736,0.99472594,0.9940431,0.9931599,0.9922887,0.9912476,0.99034214,0.9890311,0.987351,0.9865468,0.98616064,0.98256797,0.981186,0.9796575,0.9772853,0.9750838,0.9784162,0.9771903,0.972297,0.96702147,0.9625477,0.0008482379
10,-0.0046952395,0.93564904,0.9035937,0.92959,0.9592651,0.9673477,0.98479885,0.99184257,0.9961774,0.99905586,0.9999998,0.99893427,0.9976596,0.9973029,0.99670595,0.9961428,0.9954037,0.9945637,0.9935925,0.9927438,0.9914168,0.9897562,0.9889943,0.9885748,0.98487586,0.98353887,0.98186386,0.9796272,0.9773363,0.98070586,0.9794429,0.9745904,0.9692549,0.9649288,0.0016044322
11,-0.002494957,0.931489,0.8971597,0.92274487,0.9540768,0.96087325,0.9801661,0.9881558,0.9933486,0.9975817,0.99893427,1.0,0.9990255,0.9988429,0.9983962,0.9979511,0.9973381,0.9966191,0.9957374,0.9949939,0.99374765,0.9921633,0.9914068,0.9909574,0.9872057,0.98590314,0.9841805,0.9819494,0.97954506,0.9828596,0.9815506,0.9765874,0.9711614,0.96698564,0.001325726
12,-0.0008531492,0.92857575,0.89272,0.91799545,0.95026463,0.9562924,0.9765732,0.985242,0.9908512,0.99593985,0.9976596,0.9990255,0.9999999,0.999413,0.99903244,0.99856305,0.9980881,0.9973489,0.9966659,0.9958812,0.9946711,0.9930665,0.99236,0.9918336,0.9881055,0.98671824,0.98498935,0.98267007,0.9802906,0.98361945,0.98235613,0.9774549,0.97216785,0.96801037,0.0028003736
13,-0.0007244607,0.9277094,0.891418,0.9166268,0.94921166,0.95495975,0.9756349,0.9844023,0.99018246,0.99546736,0.9973029,0.9988429,0.999413,0.9999997,0.9994468,0.998994,0.9984877,0.9978712,0.99711126,0.9964342,0.9952543,0.99370766,0.9929223,0.99237585,0.98866975,0.98727036,0.9855202,0.9832554,0.98081344,0.98406184,0.9828546,0.9778762,0.9724937,0.9683958,0.0030479443
14,0.00034193078,0.926354,0.8895249,0.9147083,0.9475267,0.95325065,0.9741912,0.98317736,0.9891784,0.99472594,0.99670595,0.9983962,0.99903244,0.9994468,1.0,0.9993383,0.9988263,0.9982119,0.9974402,0.9967682,0.99554044,0.994004,0.9932176,0.99260587,0.9889648,0.9875926,0.9858165,0.98348415,0.98099667,0.98434585,0.98307765,0.9781298,0.9727363,0.9687083,0.0034451198
15,0.00034695503,0.92599607,0.88882995,0.9137393,0.94677544,0.9520325,0.9731208,0.9822005,0.9883289,0.9940431,0.9961428,0.9979511,0.99856305,0.998994,0.9993383,1.0,0.99934673,0.9986823,0.99786204,0.99719137,0.99596596,0.9945188,0.99369574,0.9929847,0.98922014,0.9878279,0.9860088,0.9836272,0.9812158,0.9844734,0.98328114,0.97831637,0.97278464,0.9686625,0.003125287
16,0.0016059957,0.92468745,0.8871545,0.911959,0.9453431,0.95031595,0.97161084,0.9808979,0.9871974,0.9931599,0.9954037,0.9973381,0.9980881,0.9984877,0.9988263,0.99934673,0.99999964,0.99917537,0.99826926,0.99761885,0.9964828,0.9949742,0.9941067,0.993315,0.9895882,0.9881729,0.9864389,0.9840406,0.9816212,0.9848737,0.98360324,0.978657,0.97339314,0.9693322,0.005560327
17,0.00059690175,0.9236688,0.88595146,0.91067106,0.9441891,0.9489225,0.97049993,0.979849,0.986156,0.9922887,0.9945637,0.9966191,0.9973489,0.9978712,0.9982119,0.9986823,0.99917537,1.0,0.9989414,0.99834085,0.9971305,0.99569684,0.9948145,0.99391013,0.9902786,0.98880726,0.9869742,0.9845527,0.9821569,0.98517245,0.9839121,0.9789205,0.97332597,0.9692455,0.0072676456
18,0.002608593,0.92235667,0.8843349,0.90896386,0.9427226,0.9471757,0.96913666,0.9785685,0.9849858,0.9912476,0.9935925,0.9957374,0.9966659,0.99711126,0.9974402,0.99786204,0.99826926,0.9989414,1.0,0.99911934,0.99797386,0.9964997,0.9956878,0.99462104,0.9911893,0.98981684,0.98773855,0.9852466,0.9829261,0.985709,0.9843795,0.9793988,0.9737218,0.96954185,0.009912477
19,0.004569175,0.9211537,0.8829195,0.90740865,0.94133425,0.94569325,0.9678708,0.9775074,0.9839647,0.99034214,0.9927438,0.9949939,0.9958812,0.9964342,0.9967682,0.99719137,0.99761885,0.99834085,0.99911934,1.0,0.9986762,0.99715966,0.9961745,0.9950195,0.99158245,0.99024665,0.9882054,0.98568976,0.9833754,0.9859386,0.9846906,0.9797865,0.97400415,0.96988785,0.013382535
20,0.0060007772,0.91917276,0.8808048,0.9053421,0.93938124,0.9439775,0.96633476,0.9760332,0.9825169,0.9890311,0.9914168,0.99374765,0.9946711,0.9952543,0.99554044,0.99596596,0.9964828,0.9971305,0.99797386,0.9986762,0.9999999,0.9981419,0.99686205,0.9954876,0.9921711,0.99076635,0.98856014,0.98595774,0.9834927,0.98583347,0.98456794,0.97975284,0.97411096,0.969935,0.01838027
21,0.007744061,0.9175163,0.8791459,0.90358984,0.9377335,0.94216895,0.96439886,0.9742204,0.9807289,0.987351,0.9897562,0.9921633,0.9930665,0.99370766,0.994004,0.9945188,0.9949742,0.99569684,0.9964997,0.99715966,0.9981419,1.0,0.99803627,0.9964613,0.9930486,0.99153006,0.98931783,0.9864899,0.98411673,0.9859388,0.9846385,0.97985756,0.9742529,0.96997905,0.025833162
22,0.008333825,0.91744107,0.8792394,0.90350795,0.93753684,0.9416531,0.9637732,0.9734681,0.9799416,0.9865468,0.9889943,0.9914068,0.99236,0.9929223,0.9932176,0.99369574,0.9941067,0.9948145,0.9956878,0.9961745,0.99686205,0.99803627,1.0,0.99784815,0.9946775,0.9931059,0.9907807,0.9879724,0.98547804,0.9869345,0.98558915,0.9808733,0.97499615,0.9703162,0.028949926
23,0.010177754,0.91749936,0.8794092,0.90364325,0.9376002,0.9418455,0.96381664,0.9733566,0.97972804,0.98616064,0.9885748,0.9909574,0.9918336,0.99237585,0.99260587,0.9929847,0.993315,0.99391013,0.99462104,0.9950195,0.9954876,0.9964613,0.99784815,1.0,0.99674916,0.995104,0.9926001,0.989587,0.9873238,0.9885985,0.9872373,0.9826153,0.9767767,0.97181636,0.03717356
24,0.010996429,0.91413206,0.8763227,0.9005175,0.934456,0.9386697,0.9605437,0.9699019,0.9762604,0.98256797,0.98487586,0.9872057,0.9881055,0.98866975,0.9889648,0.98922014,0.9895882,0.9902786,0.9911893,0.99158245,0.9921711,0.9930486,0.9946775,0.99674916,1.0,0.99823755,0.995607,0.9929864,0.9904193,0.99043447,0.98893875,0.98452115,0.9786245,0.97321427,0.05473575
25,0.009918852,0.9125095,0.8745386,0.89871734,0.93283266,0.9370815,0.9590651,0.96847266,0.97487247,0.981186,0.98353887,0.98590314,0.98671824,0.98727036,0.9875926,0.9878279,0.9881729,0.98880726,0.98981684,0.99024665,0.99076635,0.99153006,0.9931059,0.995104,0.99823755,0.9999999,0.9968432,0.9945274,0.99210227,0.99145246,0.98985624,0.9857421,0.97954637,0.9741537,0.061504737
26,0.0059750183,0.91117275,0.8732072,0.89737123,0.93142146,0.9357422,0.95750654,0.9670016,0.97336125,0.9796575,0.98186386,0.9841805,0.98498935,0.9855202,0.9858165,0.9860088,0.9864389,0.9869742,0.98773855,0.9882054,0.98856014,0.98931783,0.9907807,0.9926001,0.995607,0.9968432,0.99999964,0.9969638,0.9944089,0.9932196,0.9915635,0.98772675,0.98190063,0.97691244,0.07541586
27,0.0060771764,0.909439,0.8715693,0.8957392,0.9295533,0.9337034,0.9554058,0.9646997,0.9709795,0.9772853,0.9796272,0.9819494,0.98267007,0.9832554,0.98348415,0.9836272,0.9840406,0.9845527,0.9852466,0.98568976,0.98595774,0.9864899,0.9879724,0.989587,0.9929864,0.9945274,0.9969638,0.9999999,0.99691963,0.99483633,0.9929618,0.9894694,0.9833292,0.97800714,0.08565441
28,0.008551223,0.9079294,0.87036145,0.8944755,0.9280425,0.93202084,0.95352453,0.9627982,0.9688866,0.9750838,0.9773363,0.97954506,0.9802906,0.98081344,0.98099667,0.9812158,0.9816212,0.9821569,0.9829261,0.9833754,0.9834927,0.98411673,0.98547804,0.9873238,0.9904193,0.99210227,0.9944089,0.99691963,1.0,0.9967233,0.99506825,0.9919266,0.9856788,0.97985697,0.098835066
29,0.005951369,0.9109091,0.8732757,0.8974542,0.9312016,0.9350684,0.9567215,0.966076,0.9721687,0.9784162,0.98070586,0.9828596,0.98361945,0.98406184,0.98434585,0.9844734,0.9848737,0.98517245,0.985709,0.9859386,0.98583347,0.9859388,0.9869345,0.9885985,0.99043447,0.99145246,0.9932196,0.99483633,0.9967233,0.99999976,0.99790925,0.9946451,0.9882932,0.98305565,0.09523676
30,0.0075378884,0.90952617,0.87179816,0.8959222,0.929784,0.93370694,0.9553336,0.9647535,0.9708794,0.9771903,0.9794429,0.9815506,0.98235613,0.9828546,0.98307765,0.98328114,0.98360324,0.9839121,0.9843795,0.9846906,0.98456794,0.9846385,0.98558915,0.9872373,0.98893875,0.98985624,0.9915635,0.9929618,0.99506825,0.99790925,0.99999994,0.99711573,0.9906733,0.98493683,0.104500525
