Layer,Attn_vs_MLP_Ratio
MoE_Layer_0,0.5559972268673071
MoE_Layer_1,0.06246333678711472
MoE_Layer_2,0.39972905809357345
MoE_Layer_3,0.48873767009714075
MoE_Layer_4,0.3963914378498016
MoE_Layer_5,0.25823419072044485
MoE_Layer_6,0.2603580843688376
MoE_Layer_7,0.4839467298869437
MoE_Layer_8,0.5273392600644901
MoE_Layer_9,0.5669940660213891
MoE_Layer_10,0.5402969035619932
MoE_Layer_11,0.48701840143616276
MoE_Layer_12,0.5193468125150066
MoE_Layer_13,0.402006873026847
MoE_Layer_14,0.5378157136239512
MoE_Layer_15,0.5232862547313097
MoE_Layer_16,0.34522557552631034
MoE_Layer_17,0.18791661200432652
MoE_Layer_18,0.4422695797022001
MoE_Layer_19,0.45792428084281267
MoE_Layer_20,0.4286246707100243
MoE_Layer_21,0.3072706175590789
MoE_Layer_22,0.40532293644290823
MoE_Layer_23,0.5937060697774428
