Layer,Attn_vs_MLP_Ratio
Layer_0,17.511105411063667
Layer_1,3.9574518155890495
Layer_2,4.937847149328215
Layer_3,3.3579272585269018
Layer_4,11.327582916388469
Layer_5,4.503034109548842
Layer_6,1.8278241142015026
Layer_7,4.518085384088799
Layer_8,2.765168479807681
Layer_9,4.542004749140512
Layer_10,1.1350783876420958
Layer_11,1.4852908062854429
Layer_12,8.469851271784536
Layer_13,6.767616782023995
Layer_14,6.322685033569109
Layer_15,7.8751814194473
Layer_16,3.116376832307434
Layer_17,3.51171814036698
Layer_18,6.158541251877996
Layer_19,3.4343350973932014
Layer_20,7.48029678231496
Layer_21,8.710046716273515
Layer_22,3.437492267345233
Layer_23,6.572799940922374
Layer_24,6.881902554410399
Layer_25,8.375872917188092
Layer_26,3.0701671142239144
Layer_27,3.609600238078437
Layer_28,4.027473170875376
Layer_29,2.6650488413481614
Layer_30,3.4203946835381065
Layer_31,4.205820875447147
Layer_32,1.1260134655193637
Layer_33,0.9480196891460406
