Layer,Outlier_IoU
Layer_0,0.025575707361102103
Layer_1,0.7817287679910659
Layer_2,0.7522616314888001
Layer_3,0.7941402971744538
Layer_4,0.703049458026886
Layer_5,0.7423926620483399
Layer_6,0.8085596885681152
Layer_7,0.8126444430351257
Layer_8,0.8036779925823212
Layer_9,0.7933626168966293
Layer_10,0.6830530283451081
Layer_11,0.7125729902982711
Layer_12,0.7297167946100235
Layer_13,0.6833613879680633
Layer_14,0.6759338719844818
Layer_15,0.6374629455804824
Layer_16,0.5577055221796036
Layer_17,0.6231118396520615
Layer_18,0.6585167506933213
Layer_19,0.6223289721012115
Layer_20,0.5772666981220246
Layer_21,0.5794722820520402
Layer_22,0.5343350167274475
Layer_23,0.544896926164627
Layer_24,0.5386735771894455
Layer_25,0.5246418241262436
Layer_26,0.5459236604571343
Layer_27,0.5604077877998352
Layer_28,0.563008330464363
Layer_29,0.5923356786966324
Layer_30,0.58768425822258
Layer_31,0.5408294323682785
Layer_32,0.516062509059906
Layer_33,0.481369313955307
