Layer,Outlier_IoU
Layer_0,0.023587314557284116
Layer_1,0.8043375812768936
Layer_2,0.7735052580833435
Layer_3,0.7979693194627762
Layer_4,0.7252786302566528
Layer_5,0.7454887741804123
Layer_6,0.811679989695549
Layer_7,0.8039107385873795
Layer_8,0.797892662525177
Layer_9,0.8139393923282623
Layer_10,0.7120375685691833
Layer_11,0.7380388481616974
Layer_12,0.7752964098453522
Layer_13,0.721045887708664
Layer_14,0.7251199097633362
Layer_15,0.6641621117591858
Layer_16,0.6116151076555252
Layer_17,0.6756897490024567
Layer_18,0.7030709437131881
Layer_19,0.6684502207040787
Layer_20,0.6328021188974381
Layer_21,0.6413610105514527
Layer_22,0.6027126647233964
Layer_23,0.615243012547493
Layer_24,0.6085341995954514
Layer_25,0.5720251466631889
Layer_26,0.6021042428016663
Layer_27,0.6158107023239136
Layer_28,0.5908409538269043
Layer_29,0.6368877741098404
Layer_30,0.6169513374567032
Layer_31,0.5960131365060807
Layer_32,0.5269696819782257
Layer_33,0.5111509463191033
