Layer,Variance_Shift
MoE_Layer_0,5.179200483322144
MoE_Layer_1,76.99474942016602
MoE_Layer_2,1.82091153550148
MoE_Layer_3,1.5134592287540436
MoE_Layer_4,1.394894624710083
MoE_Layer_5,1.5431497135162353
MoE_Layer_6,2.54562012386322
MoE_Layer_7,1.352519822359085
MoE_Layer_8,1.313596020936966
MoE_Layer_9,1.194861609697342
MoE_Layer_10,1.338877505302429
MoE_Layer_11,1.2441047790050506
MoE_Layer_12,1.3276251864433288
MoE_Layer_13,1.319508534669876
MoE_Layer_14,1.3772731745243072
MoE_Layer_15,1.440784166574478
MoE_Layer_16,1.3773224527835846
MoE_Layer_17,1.3914820277690887
MoE_Layer_18,1.3574405975341797
MoE_Layer_19,1.3442973625659942
MoE_Layer_20,1.2700058500766753
MoE_Layer_21,1.3616103355884552
MoE_Layer_22,1.5503989701271057
MoE_Layer_23,1.561237577676773
