Layer,Variance_Shift
MoE_Layer_0,10.313643006324767
MoE_Layer_1,168.3455431137085
MoE_Layer_2,1.6691801211833954
MoE_Layer_3,1.4365291349887848
MoE_Layer_4,1.4965554511547088
MoE_Layer_5,1.5721819515228272
MoE_Layer_6,4.406358286380768
MoE_Layer_7,1.2428044486045837
MoE_Layer_8,1.2887912118434905
MoE_Layer_9,1.1696486115455627
MoE_Layer_10,1.283989367723465
MoE_Layer_11,1.222590223312378
MoE_Layer_12,1.305441174030304
MoE_Layer_13,1.3331581254005431
MoE_Layer_14,1.465196685552597
MoE_Layer_15,1.4961454274654389
MoE_Layer_16,1.4287894897460938
MoE_Layer_17,1.5013446309566498
MoE_Layer_18,1.4501797978878022
MoE_Layer_19,1.3858209152221679
MoE_Layer_20,1.2784492280483246
MoE_Layer_21,1.2937150614261628
MoE_Layer_22,1.4215094487667084
MoE_Layer_23,1.8579429037570954
