Layer,Variance_Shift
Layer_0,1822.7427856445313
Layer_1,1.0603619918823242
Layer_2,1.6816220996379851
Layer_3,1.2503949842453004
Layer_4,4.102341854095459
Layer_5,1.575059799194336
Layer_6,1.2892633230686188
Layer_7,1.9489861059188842
Layer_8,2.3314546041488646
Layer_9,1.6571872692108154
Layer_10,2.09583762383461
Layer_11,1.589630341053009
Layer_12,1.3399092066287994
Layer_13,1.2460359978675841
Layer_14,1.1591882405281067
Layer_15,1.1062651612758636
Layer_16,1.1696403341293335
Layer_17,1.1637493710517883
Layer_18,1.1519144310951233
Layer_19,1.1036146023273468
Layer_20,1.101373631477356
Layer_21,1.1239016313552856
Layer_22,1.1491067657470704
Layer_23,1.064681266784668
Layer_24,1.0540934784412384
Layer_25,1.183295437335968
Layer_26,1.1816957428455352
Layer_27,1.2161415865421294
Layer_28,1.28812659740448
Layer_29,1.0996020815372467
Layer_30,0.933645090341568
Layer_31,1.064388822555542
Layer_32,1.106828896522522
Layer_33,0.9905599062442779
